,ticker,open,high,low,close,volume,timestamp
0,REPX,32.09,32.09,22.4046,24.21,80503.0,2021-03-01
1,REPX,24.58,24.6,20.815,20.94,76621.0,2021-03-02
2,REPX,20.18,23.93,19.64,19.94,85385.0,2021-03-03
3,REPX,19.82,20.0,16.88,16.89,55031.0,2021-03-04
4,REPX,16.88,18.24,16.0601,17.75,39586.0,2021-03-05
5,REPX,17.51,18.35,16.724,17.0,34877.0,2021-03-08
6,REPX,17.46,20.65,17.0,20.5,77706.0,2021-03-09
7,REPX,20.0,25.46,19.31,24.23,107868.0,2021-03-10
8,REPX,24.25,27.29,23.1026,26.69,35387.0,2021-03-11
9,REPX,27.5,27.5,25.8201,26.82,30617.0,2021-03-12
10,REPX,26.9,26.9,24.46,25.03,22520.0,2021-03-15
11,REPX,24.02,25.25,23.18,24.36,16588.0,2021-03-16
12,REPX,24.05,24.84,23.27,23.75,19796.0,2021-03-17
13,REPX,23.71,24.0,22.8739,23.53,11899.0,2021-03-18
14,REPX,23.0,24.32,23.0,24.03,14437.0,2021-03-19
15,REPX,24.74,24.74,23.45,23.91,11756.0,2021-03-22
16,REPX,23.01,23.2,21.1,22.15,15028.0,2021-03-23
17,REPX,21.77,23.1299,21.01,22.0,16592.0,2021-03-24
18,REPX,21.0,21.5,20.278,20.78,8234.0,2021-03-25
19,REPX,21.96,23.85,20.84,23.2,12329.0,2021-03-26
20,REPX,22.39,22.86,21.69,22.57,12406.0,2021-03-29
21,REPX,22.52,26.72,22.19,26.72,6501.0,2021-03-30
22,REPX,26.5,27.41,25.35,26.0,13924.0,2021-03-31
23,REPX,26.33,29.4293,26.33,28.99,20253.0,2021-04-01
24,REPX,29.0,30.0,28.44,29.01,19436.0,2021-04-05
25,REPX,29.03,29.6,27.53,27.53,11336.0,2021-04-06
26,REPX,26.43,27.84,25.02,25.32,12662.0,2021-04-07
27,REPX,24.44,26.99,24.335,24.61,32172.0,2021-04-08
28,REPX,24.95,45.0,24.95,31.95,1104365.0,2021-04-09
29,REPX,30.32,31.49,28.1303,29.5,102180.0,2021-04-12
30,REPX,29.32,29.68,27.36,27.7393,30168.0,2021-04-13
31,REPX,28.0,28.33,25.68,26.8,53891.0,2021-04-14
32,REPX,27.1,27.5,26.01,26.53,16411.0,2021-04-15
33,REPX,25.77,26.38,24.57,25.1,23021.0,2021-04-16
34,REPX,24.25,25.08,23.4,23.56,31514.0,2021-04-19
35,REPX,23.08,25.4899,23.08,24.25,33618.0,2021-04-20
36,REPX,23.25,25.44,23.25,25.24,40860.0,2021-04-21
37,REPX,24.4663,26.79,24.04,26.08,32453.0,2021-04-22
38,REPX,26.92,30.1748,26.5,29.72,36619.0,2021-04-23
39,REPX,30.9,30.9,28.05,29.46,17165.0,2021-04-26
40,REPX,30.39,33.54,30.39,33.54,24277.0,2021-04-27
41,REPX,34.23,35.96,31.64,32.38,32961.0,2021-04-28
42,REPX,31.64,33.89,30.39,33.16,19170.0,2021-04-29
