,ticker,open,high,low,close,volume,timestamp
0,RRBI,55.37,58.9,55.0,55.18,18448,2020-01-02
1,RRBI,54.82,56.1,53.67,56.0,18454,2020-01-03
2,RRBI,56.0,56.0,54.32,56.0,25064,2020-01-06
3,RRBI,55.52,56.5,55.14,56.4,16656,2020-01-07
4,RRBI,56.27,56.48,55.13,56.25,10314,2020-01-08
5,RRBI,56.34,56.5,55.59,56.36,10364,2020-01-09
6,RRBI,55.69,56.3,55.58,55.93,9114,2020-01-10
7,RRBI,55.99,56.0,55.38,55.99,18752,2020-01-13
8,RRBI,55.81,57.17,55.32,55.59,22292,2020-01-14
9,RRBI,55.64,56.63,55.185,55.76,11159,2020-01-15
10,RRBI,55.86,55.86,55.175,55.53,10019,2020-01-16
11,RRBI,55.74,55.97,54.42,55.29,11930,2020-01-17
12,RRBI,55.17,55.55,55.11,55.47,10027,2020-01-21
13,RRBI,55.6,55.6,54.589,55.26,4782,2020-01-22
14,RRBI,55.1938,55.5,54.71,55.14,5053,2020-01-23
15,RRBI,54.8143,55.2668,52.51,54.57,7953,2020-01-24
16,RRBI,54.27,55.095,53.1,53.74,8874,2020-01-27
17,RRBI,54.3,55.4699,53.7735,54.12,6831,2020-01-28
18,RRBI,53.6801,55.48,53.645,55.39,13864,2020-01-29
19,RRBI,54.96,55.0,54.05,54.44,4821,2020-01-30
20,RRBI,54.37,54.96,52.95,52.95,8515,2020-01-31
21,RRBI,54.07,54.92,52.85,53.24,9891,2020-02-03
22,RRBI,53.63,54.59,53.63,53.71,1657,2020-02-04
23,RRBI,54.06,54.975,54.06,54.88,1916,2020-02-05
24,RRBI,54.69,54.75,54.11,54.53,3710,2020-02-06
25,RRBI,54.14,54.97,53.81,54.86,4040,2020-02-07
26,RRBI,55.0,55.0,54.11,54.62,9642,2020-02-10
27,RRBI,54.75,55.0,54.2209,54.87,7213,2020-02-11
28,RRBI,54.9,55.0,54.05,54.65,7449,2020-02-12
29,RRBI,54.52,55.0,54.52,54.95,4820,2020-02-13
30,RRBI,54.71,55.0,53.945,55.0,8312,2020-02-14
31,RRBI,54.3793,54.96,53.67,53.67,3616,2020-02-18
32,RRBI,54.23,55.0,54.23,54.73,3848,2020-02-19
33,RRBI,54.6,54.89,54.6,54.89,1852,2020-02-20
34,RRBI,54.98,54.98,54.5412,54.61,3298,2020-02-21
35,RRBI,53.79,54.98,53.485,54.65,10060,2020-02-24
36,RRBI,54.59,54.7,53.572,54.6,7356,2020-02-25
37,RRBI,53.968,54.8,53.6143,54.3,12390,2020-02-26
38,RRBI,53.81,53.99,51.69,51.7,8559,2020-02-27
39,RRBI,50.45,51.98,49.33,51.98,8310,2020-02-28
40,RRBI,52.0,52.0,50.06,52.0,12785,2020-03-02
41,RRBI,51.99,52.0,49.49,51.93,8436,2020-03-03
42,RRBI,51.0,51.125,48.5,49.78,16675,2020-03-04
43,RRBI,49.51,49.88,45.02,45.98,5980,2020-03-05
44,RRBI,45.07,49.58,45.07,49.15,6380,2020-03-06
45,RRBI,47.95,47.95,43.26,44.01,10723,2020-03-09
46,RRBI,44.2,46.13,38.65,45.0,21158,2020-03-10
47,RRBI,44.995,45.0,43.41,44.0,8410,2020-03-11
48,RRBI,39.8065,43.5,38.555,39.52,30934,2020-03-12
49,RRBI,41.649,41.78,38.5,39.95,20786,2020-03-13
50,RRBI,38.5,38.55,29.9,29.9,12992,2020-03-16
51,RRBI,29.91,42.06,29.91,42.06,20737,2020-03-17
52,RRBI,39.45,39.9,36.58,39.0,14723,2020-03-18
53,RRBI,39.0,40.0,37.33,39.01,16813,2020-03-19
54,RRBI,37.73,40.075,32.64,39.39,47107,2020-03-20
55,RRBI,40.0,40.0,37.7,38.3,11423,2020-03-23
56,RRBI,40.8,40.8,37.57,40.08,16071,2020-03-24
57,RRBI,40.0,40.0,37.41,38.26,9369,2020-03-25
58,RRBI,41.25,41.25,37.43,39.28,19565,2020-03-26
59,RRBI,37.5,38.0,35.09,35.83,23787,2020-03-27
60,RRBI,35.73,35.9,33.5,35.26,8670,2020-03-30
61,RRBI,33.7,38.07,33.7,37.22,23564,2020-03-31
62,RRBI,36.25,36.3,33.92,34.79,15952,2020-04-01
63,RRBI,34.875,38.0,34.875,36.6,20237,2020-04-02
64,RRBI,36.0,38.48,35.0,35.3,12408,2020-04-03
65,RRBI,37.5655,39.625,36.14,38.85,27619,2020-04-06
66,RRBI,39.34,40.0,35.93,36.81,13697,2020-04-07
67,RRBI,36.8,38.9,36.01,38.32,11208,2020-04-08
68,RRBI,40.82,42.99,37.42,41.44,30828,2020-04-09
69,RRBI,41.07,41.4145,38.755,39.8,18788,2020-04-13
70,RRBI,40.13,40.59,38.5,38.5,16153,2020-04-14
71,RRBI,37.01,38.87,34.69,34.69,16974,2020-04-15
72,RRBI,34.82,34.82,30.8,32.7,21077,2020-04-16
73,RRBI,33.05,35.31,31.2,33.0,27998,2020-04-17
74,RRBI,32.33,35.2894,31.56,32.0,25076,2020-04-20
75,RRBI,31.61,33.9,30.49,33.9,23884,2020-04-21
76,RRBI,33.45,35.29,33.45,34.93,6614,2020-04-22
77,RRBI,34.5,34.5,33.72,34.45,9683,2020-04-23
78,RRBI,34.47,35.32,33.06,35.32,10705,2020-04-24
79,RRBI,35.06,39.49,33.985,38.15,10878,2020-04-27
80,RRBI,39.145,39.145,36.53,37.55,9296,2020-04-28
81,RRBI,39.29,42.6,39.1856,41.9,7784,2020-04-29
82,RRBI,40.53,40.8,38.29,38.29,17675,2020-04-30
83,RRBI,38.1,39.1,35.915,37.8,21710,2020-05-01
84,RRBI,37.5,39.07,37.1,37.1,8734,2020-05-04
85,RRBI,40.2058,40.2058,37.7,38.0,8904,2020-05-05
86,RRBI,38.54,39.12,37.5,37.5,11296,2020-05-06
87,RRBI,38.53,38.53,36.0,37.07,8074,2020-05-07
88,RRBI,37.67,40.24,37.0001,38.1,11273,2020-05-08
89,RRBI,38.45,39.98,37.1,37.1,7036,2020-05-11
90,RRBI,38.54,39.41,36.75,36.75,8516,2020-05-12
91,RRBI,37.06,37.73,34.29,37.73,13569,2020-05-13
92,RRBI,36.51,37.32,34.75,37.15,13353,2020-05-14
93,RRBI,37.13,38.18,36.21,37.98,9653,2020-05-15
94,RRBI,38.8,43.69,38.8,42.3,18102,2020-05-18
95,RRBI,41.87,42.075,40.1,41.7,12095,2020-05-19
96,RRBI,41.5,42.4,41.02,41.64,9497,2020-05-20
97,RRBI,42.0,42.0,40.075,40.77,16989,2020-05-21
98,RRBI,40.6,41.26,40.0,40.05,10335,2020-05-22
99,RRBI,41.5,41.9,40.84,41.27,7006,2020-05-26
100,RRBI,40.51,42.493,40.51,41.98,15591,2020-05-27
101,RRBI,42.7,42.87,40.51,40.51,12785,2020-05-28
102,RRBI,40.54,41.0,39.38,40.25,8186,2020-05-29
103,RRBI,40.17,40.26,39.25,39.25,12830,2020-06-01
104,RRBI,39.9,40.45,39.0,39.0,3769,2020-06-02
105,RRBI,39.26,41.0,39.26,39.43,9357,2020-06-03
106,RRBI,40.0,40.155,38.52,38.52,5889,2020-06-04
107,RRBI,39.24,40.77,39.24,40.5,12934,2020-06-05
108,RRBI,40.5,40.5,39.22,40.5,13046,2020-06-08
109,RRBI,40.0,40.5,39.56,40.14,8532,2020-06-09
110,RRBI,40.21,40.99,39.73,40.35,99678,2020-06-10
111,RRBI,38.96,40.49,38.57,38.88,14198,2020-06-11
112,RRBI,39.28,40.45,36.49,38.96,13402,2020-06-12
113,RRBI,37.51,42.05,37.51,40.75,75599,2020-06-15
114,RRBI,40.75,42.395,40.55,41.37,52423,2020-06-16
115,RRBI,41.11,42.5,40.5,42.05,40487,2020-06-17
116,RRBI,41.2,44.0,41.2,43.21,45945,2020-06-18
117,RRBI,43.95,49.23,42.955,44.51,259817,2020-06-19
118,RRBI,44.72,45.38,42.745,42.79,14312,2020-06-22
119,RRBI,43.3,44.05,42.52,43.11,10920,2020-06-23
120,RRBI,43.357,43.8,42.01,42.07,10645,2020-06-24
121,RRBI,41.98,44.51,41.98,44.17,11673,2020-06-25
122,RRBI,44.17,45.8,41.0,41.84,43442,2020-06-26
123,RRBI,41.61,43.32,41.35,43.26,21394,2020-06-29
124,RRBI,42.71,43.89,41.68,43.89,11991,2020-06-30
125,RRBI,43.3,43.7,42.2,42.35,12321,2020-07-01
126,RRBI,42.93,43.2293,41.759,42.21,10706,2020-07-02
127,RRBI,42.8,42.89,41.7,42.3,17657,2020-07-06
128,RRBI,42.0,42.0,40.51,40.72,14558,2020-07-07
129,RRBI,40.1,41.99,39.775,40.0,9484,2020-07-08
130,RRBI,40.25,40.875,38.05,38.05,16379,2020-07-09
131,RRBI,38.3125,40.48,38.25,40.15,20962,2020-07-10
132,RRBI,40.55,41.29,39.92,40.54,7092,2020-07-13
133,RRBI,40.54,40.92,39.9825,40.72,5461,2020-07-14
134,RRBI,41.48,42.95,41.1,41.1,8184,2020-07-15
135,RRBI,41.44,41.87,40.565,41.05,8938,2020-07-16
136,RRBI,41.07,42.08,39.8,41.3,9897,2020-07-17
137,RRBI,41.22,41.35,40.7,40.89,6114,2020-07-20
138,RRBI,40.89,41.72,40.75,41.13,10854,2020-07-21
139,RRBI,41.13,41.5,41.13,41.17,7230,2020-07-22
140,RRBI,41.0,41.9,40.66,41.46,7855,2020-07-23
141,RRBI,41.3,41.89,40.89,41.51,5548,2020-07-24
142,RRBI,41.51,42.745,41.51,42.47,4246,2020-07-27
143,RRBI,42.0,42.0,41.38,41.38,3829,2020-07-28
144,RRBI,41.59,42.39,41.24,41.24,9352,2020-07-29
145,RRBI,41.13,41.3,40.71,41.3,5682,2020-07-30
146,RRBI,41.3,41.9,40.0,40.04,10663,2020-07-31
147,RRBI,42.0,42.0,40.77,41.3,4962,2020-08-03
148,RRBI,41.01,41.2,40.27,41.2,5288,2020-08-04
149,RRBI,41.14,41.9,40.945,41.9,5738,2020-08-05
150,RRBI,41.56,41.74,41.47,41.74,1787,2020-08-06
151,RRBI,41.5,41.75,40.9284,41.55,10328,2020-08-07
152,RRBI,41.7,41.86,41.15,41.21,21239,2020-08-10
153,RRBI,41.8,45.2,41.8,44.3,12118,2020-08-11
154,RRBI,44.55,44.55,43.5,43.5,4744,2020-08-12
155,RRBI,42.86,43.91,42.86,43.91,3043,2020-08-13
156,RRBI,43.37,44.25,43.1,44.25,5491,2020-08-14
157,RRBI,43.67,44.7,43.405,44.5,11003,2020-08-17
158,RRBI,44.28,44.6,42.98,43.69,12238,2020-08-18
159,RRBI,43.53,43.97,42.79,43.4,4976,2020-08-19
160,RRBI,42.88,43.98,42.208,43.98,9501,2020-08-20
161,RRBI,43.52,44.8,43.125,44.78,18080,2020-08-21
162,RRBI,44.61,46.85,43.51,45.9,8829,2020-08-24
163,RRBI,46.01,46.8,44.41,45.51,12103,2020-08-25
164,RRBI,46.01,47.0,44.715,44.95,9183,2020-08-26
165,RRBI,44.89,45.88,44.64,44.7,9467,2020-08-27
166,RRBI,44.7,45.47,43.02,44.15,10758,2020-08-28
167,RRBI,43.93,44.49,43.51,43.52,12564,2020-08-31
168,RRBI,43.1,43.1,42.5,42.85,6545,2020-09-01
169,RRBI,42.57,44.72,42.0,43.92,18811,2020-09-02
170,RRBI,43.48,44.0,43.23,43.9,5261,2020-09-03
171,RRBI,43.65,44.47,43.51,44.2,4761,2020-09-04
172,RRBI,43.7,49.24,43.49,49.16,31749,2020-09-08
173,RRBI,48.98,50.77,47.81,47.81,23253,2020-09-09
174,RRBI,49.29,49.29,47.44,48.0,14681,2020-09-10
175,RRBI,48.22,48.485,46.02,46.02,12705,2020-09-11
176,RRBI,46.45,48.71,45.605,47.13,20007,2020-09-14
177,RRBI,48.0,48.8602,46.32,46.81,18066,2020-09-15
178,RRBI,47.01,48.875,46.81,46.95,38913,2020-09-16
179,RRBI,47.1,47.5,45.21,45.4,36148,2020-09-17
180,RRBI,46.1,46.96,44.84,45.6,62429,2020-09-18
181,RRBI,45.0,46.09,43.02,43.12,36241,2020-09-21
182,RRBI,43.56,43.73,42.785,43.14,38831,2020-09-22
183,RRBI,43.26,43.77,41.5,41.76,15092,2020-09-23
184,RRBI,41.76,41.9,40.98,40.98,7428,2020-09-24
185,RRBI,41.25,43.025,41.25,41.4,9270,2020-09-25
186,RRBI,42.26,43.43,42.26,43.05,4868,2020-09-28
187,RRBI,43.12,43.24,41.76,42.96,3382,2020-09-29
188,RRBI,43.52,43.78,42.73,43.0,4344,2020-09-30
189,RRBI,43.775,43.93,42.93,42.93,5516,2020-10-01
190,RRBI,42.58,44.23,42.58,43.51,5262,2020-10-02
191,RRBI,44.57,45.0,43.63,43.85,7472,2020-10-05
192,RRBI,43.85,45.82,43.85,44.92,10760,2020-10-06
193,RRBI,45.13,46.35,44.94,46.25,9221,2020-10-07
194,RRBI,45.85,47.15,45.82,46.27,7869,2020-10-08
195,RRBI,46.045,46.31,45.6,46.0,2732,2020-10-09
196,RRBI,46.69,47.0,45.71,46.7,7212,2020-10-12
