,ticker,open,high,low,close,volume,timestamp
0,RXRX,30.0,33.0,25.17,31.3,5687264.0,2021-04-16
1,RXRX,28.6774,29.05,25.21,28.0,1016627.0,2021-04-19
2,RXRX,27.32,31.92,26.9201,29.94,895359.0,2021-04-20
3,RXRX,29.5,35.0,28.85,32.55,1077658.0,2021-04-21
4,RXRX,33.64,34.1,30.0854,31.25,2341602.0,2021-04-22
5,RXRX,31.48,32.05,29.42,29.85,274223.0,2021-04-23
6,RXRX,30.0,31.27,29.8,30.42,341597.0,2021-04-26
7,RXRX,30.81,33.49,30.81,31.44,244896.0,2021-04-27
8,RXRX,31.82,32.99,31.02,31.37,223751.0,2021-04-28
9,RXRX,31.78,34.77,31.04,34.02,291215.0,2021-04-29
10,RXRX,34.47,35.78,31.56,33.4,509161.0,2021-04-30
11,RXRX,33.81,34.24,32.43,33.02,198909.0,2021-05-03
12,RXRX,32.54,33.45,30.55,33.42,328888.0,2021-05-04
13,RXRX,33.37,33.3941,31.735,32.42,127868.0,2021-05-05
14,RXRX,32.27,32.435,26.9,28.0,389419.0,2021-05-06
15,RXRX,28.42,29.26,26.66,27.73,365538.0,2021-05-07
16,RXRX,28.18,28.7,22.77,23.04,495750.0,2021-05-10
17,RXRX,22.01,23.23,21.06,22.66,506740.0,2021-05-11
18,RXRX,22.59,23.38,21.3069,22.23,640856.0,2021-05-12
19,RXRX,22.32,23.795,19.68,21.06,303911.0,2021-05-13
20,RXRX,21.29,22.35,20.02,21.18,599555.0,2021-05-14
21,RXRX,21.49,22.3399,21.1903,21.84,454264.0,2021-05-17
22,RXRX,22.38,23.897,21.86,22.82,445493.0,2021-05-18
23,RXRX,22.21,22.98,20.85,21.09,604985.0,2021-05-19
24,RXRX,21.54,23.07,21.51,22.75,309569.0,2021-05-20
25,RXRX,23.29,25.79,23.09,25.25,467834.0,2021-05-21
26,RXRX,25.62,25.62,24.0,24.53,201116.0,2021-05-24
27,RXRX,24.68,25.84,23.91,24.07,263184.0,2021-05-25
28,RXRX,24.07,25.12,23.61,24.64,239215.0,2021-05-26
29,RXRX,24.9,25.42,24.2396,25.27,130965.0,2021-05-27
30,RXRX,25.59,26.9,25.17,26.36,414084.0,2021-05-28
31,RXRX,26.69,28.795,25.52,28.48,267677.0,2021-06-01
32,RXRX,28.73,29.695,28.26,29.04,247512.0,2021-06-02
33,RXRX,28.64,29.16,28.3,28.42,221324.0,2021-06-03
34,RXRX,28.73,29.965,28.58,29.42,199913.0,2021-06-04
35,RXRX,29.87,29.9,27.63,27.71,195122.0,2021-06-07
36,RXRX,27.7,29.8889,27.37,29.8,224498.0,2021-06-08
37,RXRX,30.0,30.63,28.38,30.2,232550.0,2021-06-09
38,RXRX,30.0,30.945,29.475,30.23,331846.0,2021-06-10
39,RXRX,30.0,31.74,29.96,31.23,430813.0,2021-06-11
40,RXRX,31.44,34.2,31.44,33.16,431743.0,2021-06-14
41,RXRX,33.09,33.83,31.64,32.76,538587.0,2021-06-15
42,RXRX,32.9,34.19,32.9,33.8,555762.0,2021-06-16
43,RXRX,33.63,35.74,33.29,35.04,723276.0,2021-06-17
44,RXRX,35.45,37.71,34.6,36.43,1846060.0,2021-06-18
45,RXRX,37.0,37.85,36.43,37.42,559267.0,2021-06-21
46,RXRX,37.72,37.72,35.535,35.71,474507.0,2021-06-22
47,RXRX,35.88,36.8,33.21,33.51,307196.0,2021-06-23
48,RXRX,33.46,35.01,33.02,34.81,240356.0,2021-06-24
49,RXRX,34.86,35.0,33.27,33.77,2882735.0,2021-06-25
50,RXRX,34.44,37.01,33.83,36.99,353783.0,2021-06-28
51,RXRX,37.37,38.39,36.4,37.31,336151.0,2021-06-29
52,RXRX,37.37,38.0,34.68,36.5,353208.0,2021-06-30
53,RXRX,36.72,37.5899,35.6,35.99,262162.0,2021-07-01
54,RXRX,36.18,36.84,35.18,36.7,243129.0,2021-07-02
55,RXRX,37.25,38.85,36.74,37.96,321042.0,2021-07-06
56,RXRX,38.19,38.45,37.31,38.13,495059.0,2021-07-07
57,RXRX,37.4,39.24,35.2,38.83,347536.0,2021-07-08
58,RXRX,38.87,42.06,38.83,40.15,490188.0,2021-07-09
59,RXRX,40.51,42.11,39.3611,40.63,327049.0,2021-07-12
60,RXRX,40.61,42.81,40.1401,41.33,366307.0,2021-07-13
61,RXRX,41.19,41.19,33.15,33.31,820740.0,2021-07-14
62,RXRX,33.28,34.65,30.94,32.49,405544.0,2021-07-15
63,RXRX,32.76,34.82,32.52,33.02,229402.0,2021-07-16
64,RXRX,32.69,35.69,32.59,33.67,387153.0,2021-07-19
65,RXRX,33.81,37.47,33.81,34.91,490660.0,2021-07-20
66,RXRX,34.78,36.88,34.0,35.99,216683.0,2021-07-21
67,RXRX,36.65,37.61,35.44,35.99,189732.0,2021-07-22
68,RXRX,35.74,36.9718,34.52,35.06,200696.0,2021-07-23
69,RXRX,35.16,35.61,32.56,33.21,203498.0,2021-07-26
70,RXRX,32.99,33.0,29.2,30.72,518816.0,2021-07-27
71,RXRX,30.9,32.81,30.87,32.6,220528.0,2021-07-28
72,RXRX,32.81,33.97,31.94,32.36,256242.0,2021-07-29
73,RXRX,32.38,32.649,30.01,30.35,127568.0,2021-07-30
74,RXRX,30.62,31.07,29.82,30.24,148403.0,2021-08-02
75,RXRX,29.95,31.82,29.605,31.35,196473.0,2021-08-03
76,RXRX,31.2,31.84,30.07,30.44,225306.0,2021-08-04
77,RXRX,30.55,31.45,30.11,31.38,271421.0,2021-08-05
78,RXRX,31.43,31.43,28.25,28.41,268221.0,2021-08-06
79,RXRX,28.5,28.85,27.89,28.1,273956.0,2021-08-09
80,RXRX,28.32,28.86,25.89,26.3,230608.0,2021-08-10
81,RXRX,26.21,26.6537,24.352,26.19,356855.0,2021-08-11
82,RXRX,25.75,27.47,22.5,22.99,631519.0,2021-08-12
83,RXRX,22.86,23.5,21.44,22.47,753699.0,2021-08-13
84,RXRX,22.73,22.73,20.27,20.5,411368.0,2021-08-16
85,RXRX,20.2,20.5,19.52,19.9,332142.0,2021-08-17
86,RXRX,20.01,20.28,18.88,19.03,272803.0,2021-08-18
87,RXRX,18.89,19.7,17.8,19.15,468511.0,2021-08-19
88,RXRX,19.06,20.03,19.03,19.85,187648.0,2021-08-20
89,RXRX,20.33,21.9482,20.05,21.6,665585.0,2021-08-23
90,RXRX,21.79,22.77,20.8,21.2,232695.0,2021-08-24
91,RXRX,21.2,23.11,20.93,22.0,377528.0,2021-08-25
92,RXRX,22.4,23.08,21.59,21.67,246976.0,2021-08-26
93,RXRX,21.69,22.8,21.5,22.51,302639.0,2021-08-27
94,RXRX,22.67,24.95,22.18,24.6,322867.0,2021-08-30
95,RXRX,24.85,25.63,24.11,25.22,370846.0,2021-08-31
96,RXRX,25.24,26.77,24.48,24.78,360697.0,2021-09-01
97,RXRX,25.05,27.31,24.06,26.64,288921.0,2021-09-02
98,RXRX,26.2,28.275,25.85,27.01,395341.0,2021-09-03
99,RXRX,27.34,29.12,27.16,28.19,565600.0,2021-09-07
100,RXRX,27.97,27.99,25.92,26.76,299467.0,2021-09-08
101,RXRX,26.5,29.4,26.44,28.83,546263.0,2021-09-09
102,RXRX,28.54,29.06,26.44,28.29,1098613.0,2021-09-10
103,RXRX,28.59,29.36,25.93,26.09,623599.0,2021-09-13
104,RXRX,26.09,27.8,25.55,25.77,544918.0,2021-09-14
105,RXRX,25.87,25.87,23.84,23.95,749522.0,2021-09-15
106,RXRX,23.69,25.29,22.805,24.26,1430329.0,2021-09-16
107,RXRX,24.33,27.38,24.13,26.81,3063665.0,2021-09-17
108,RXRX,25.98,27.65,24.95,26.09,1173489.0,2021-09-20
109,RXRX,26.93,27.2567,24.78,25.48,456160.0,2021-09-21
110,RXRX,25.29,25.67,24.26,24.4,416066.0,2021-09-22
111,RXRX,24.42,24.88,23.6,24.65,283097.0,2021-09-23
112,RXRX,24.35,25.44,24.29,24.52,199155.0,2021-09-24
113,RXRX,24.48,26.0,23.98,24.67,201967.0,2021-09-27
114,RXRX,24.31,24.61,22.37,22.92,263878.0,2021-09-28
115,RXRX,22.92,23.1,21.19,22.13,304757.0,2021-09-29
116,RXRX,22.22,23.74,21.39,23.06,513781.0,2021-09-30
117,RXRX,22.97,23.86,20.66,21.86,673001.0,2021-10-01
118,RXRX,21.89,23.39,20.115,20.61,747324.0,2021-10-04
119,RXRX,20.59,21.99,20.48,21.34,491258.0,2021-10-05
120,RXRX,21.1,21.98,18.09,18.49,1135793.0,2021-10-06
121,RXRX,18.8,20.15,18.5706,20.0,1189196.0,2021-10-07
122,RXRX,20.03,20.38,18.11,18.68,574903.0,2021-10-08
123,RXRX,18.83,19.015,17.14,18.37,927958.0,2021-10-11
124,RXRX,18.55,18.94,17.6,17.86,610831.0,2021-10-12
125,RXRX,17.7,20.4,17.7,19.74,1148816.0,2021-10-13
126,RXRX,19.87,20.1641,19.52,19.9,718837.0,2021-10-14
127,RXRX,19.9,20.16,18.75,19.04,903147.0,2021-10-15
128,RXRX,18.79,19.73,18.03,19.3,1280467.0,2021-10-18
129,RXRX,19.47,19.93,19.0696,19.72,914682.0,2021-10-19
130,RXRX,19.72,20.01,18.28,18.45,1135744.0,2021-10-20
131,RXRX,18.55,19.56,18.08,18.36,1008557.0,2021-10-21
132,RXRX,18.15,18.15,16.5,17.77,1269806.0,2021-10-22
133,RXRX,17.8,18.37,17.41,18.26,836127.0,2021-10-25
134,RXRX,18.35,19.29,17.8,18.56,1760421.0,2021-10-26
135,RXRX,18.48,19.58,18.25,18.85,1046277.0,2021-10-27
136,RXRX,18.98,19.41,18.48,19.36,795251.0,2021-10-28
137,RXRX,19.1,19.59,18.66,19.15,713280.0,2021-10-29
138,RXRX,19.25,20.2,19.09,20.18,1429306.0,2021-11-01
139,RXRX,19.78,20.81,19.42,20.68,1547531.0,2021-11-02
140,RXRX,20.79,20.79,19.59,20.09,858480.0,2021-11-03
141,RXRX,20.17,20.64,19.36,19.52,1776998.0,2021-11-04
142,RXRX,19.2,19.9,18.54,19.22,798583.0,2021-11-05
143,RXRX,19.35,20.1499,19.29,19.43,628707.0,2021-11-08
144,RXRX,19.49,19.75,18.8,19.6,1227064.0,2021-11-09
145,RXRX,16.68,18.0,15.72,16.14,2039761.0,2021-11-10
146,RXRX,16.5,18.37,16.23,17.81,1725400.0,2021-11-11
