,ticker,open,high,low,close,volume,timestamp
0,SBXC,9.95,10.05,9.95,10.05,796.0,2023-05-01
1,SBXC,10.04,10.04,10.04,10.04,100.0,2023-05-04
2,SBXC,10.04,10.06,10.04,10.05,171514.0,2023-05-08
3,SBXC,10.05,10.07,10.05,10.06,116376.0,2023-05-10
4,SBXC,10.06,10.06,10.06,10.06,140100.0,2023-05-11
5,SBXC,10.07,10.08,10.06,10.06,60838.0,2023-05-12
6,SBXC,10.06,10.06,10.05,10.05,132865.0,2023-05-15
7,SBXC,10.05,10.05,10.05,10.05,414338.0,2023-05-16
8,SBXC,10.05,10.07,10.05,10.07,1465.0,2023-05-18
9,SBXC,10.06,10.07,10.06,10.07,766.0,2023-05-22
10,SBXC,10.07,10.09,10.07,10.09,45100.0,2023-05-24
11,SBXC,10.09,10.09,10.09,10.09,3713.0,2023-05-30
12,SBXC,10.09,10.09,10.085,10.085,237464.0,2023-05-31
13,SBXC,10.08,10.08,10.08,10.08,142.0,2023-06-01
14,SBXC,10.1,10.1,10.08,10.09,121198.0,2023-06-02
15,SBXC,10.1,10.1,10.085,10.085,105598.0,2023-06-05
16,SBXC,10.1,10.1,10.09,10.09,272550.0,2023-06-06
17,SBXC,10.08,10.09,10.08,10.09,318.0,2023-06-07
18,SBXC,10.11,10.11,10.08,10.09,50747.0,2023-06-08
19,SBXC,10.1,10.1,10.1,10.1,178.0,2023-06-09
20,SBXC,10.09,10.09,10.09,10.09,368.0,2023-06-12
21,SBXC,10.1,10.1,10.0807,10.0807,201.0,2023-06-13
22,SBXC,10.09,10.1,10.09,10.09,44983.0,2023-06-14
23,SBXC,10.09,10.09,10.08,10.08,106496.0,2023-06-15
24,SBXC,10.09,10.09,10.08,10.08,46567.0,2023-06-21
25,SBXC,10.11,10.11,10.08,10.08,6099.0,2023-06-22
26,SBXC,10.11,10.11,10.09,10.09,50504.0,2023-06-26
27,SBXC,10.1,10.111,10.095,10.1,82586.0,2023-06-27
28,SBXC,10.11,10.11,10.1,10.1,385608.0,2023-06-28
29,SBXC,10.11,10.11,10.11,10.11,120374.0,2023-06-29
30,SBXC,10.29,10.29,10.11,10.11,91050.0,2023-06-30
31,SBXC,10.1,10.1,10.1,10.1,138.0,2023-07-03
