,ticker,open,high,low,close,volume,timestamp
0,SEG,31.5,31.5,26.2,27.06,617939,2024-08-01
1,SEG,25.4,26.7,25.0125,25.32,210232,2024-08-02
2,SEG,23.49,25.66,23.255,25.0,242652,2024-08-05
3,SEG,24.57,25.66,24.34,25.1,369590,2024-08-06
4,SEG,25.1,28.4,25.1,26.47,149054,2024-08-07
5,SEG,27.07,29.38,26.47,27.01,129018,2024-08-08
6,SEG,27.2,28.4,26.4,27.2,142343,2024-08-09
7,SEG,26.51,27.345,25.33,25.61,64966,2024-08-12
8,SEG,25.69,26.13,25.25,25.25,74751,2024-08-13
9,SEG,25.2,25.295,24.72,25.15,61012,2024-08-14
10,SEG,25.18,25.325,24.47,24.49,139236,2024-08-15
11,SEG,24.31,24.96,24.08,24.2,159970,2024-08-16
12,SEG,24.5,26.9553,24.5,26.0,118690,2024-08-19
13,SEG,26.0142,26.65,25.88,26.21,98684,2024-08-20
14,SEG,26.36,29.5,26.0,28.71,415371,2024-08-21
15,SEG,29.33,31.175,28.77,30.62,191421,2024-08-22
16,SEG,31.65,31.65,30.3,30.9,384487,2024-08-23
17,SEG,31.36,31.55,30.73,31.17,250884,2024-08-26
18,SEG,31.94,33.3966,30.07,33.38,199772,2024-08-27
19,SEG,32.97,33.2351,32.34,32.86,143990,2024-08-28
20,SEG,33.33,33.63,29.97,30.15,96263,2024-08-29
21,SEG,30.09,30.85,29.59,30.78,141110,2024-08-30
22,SEG,30.0,30.06,28.61,29.73,64470,2024-09-03
23,SEG,29.39,29.46,27.79,27.8,101963,2024-09-04
24,SEG,27.81,29.09,27.67,27.7,114519,2024-09-05
25,SEG,27.69,28.175,27.1,27.8,78651,2024-09-06
26,SEG,27.4,27.97,26.78,27.76,69446,2024-09-09
27,SEG,27.6,29.0999,26.9792,28.76,211993,2024-09-10
28,SEG,28.86,28.86,27.65,28.42,233890,2024-09-11
29,SEG,29.0,29.0657,27.67,28.27,65297,2024-09-12
30,SEG,28.49,29.14,28.08,28.81,74857,2024-09-13
31,SEG,29.26,31.86,29.26,31.13,211846,2024-09-16
