,ticker,open,high,low,close,volume,timestamp
0,SELF,4.32,4.4,4.2946,4.4,11926.0,2020-01-02
1,SELF,4.28,4.39,4.28,4.34,11432.0,2020-01-03
2,SELF,4.31,4.34,4.28,4.31,10839.0,2020-01-06
3,SELF,4.3,4.34,4.26,4.32,14542.0,2020-01-07
4,SELF,4.32,4.4,4.3,4.3,26130.0,2020-01-08
5,SELF,4.322,4.33,4.3,4.3,9780.0,2020-01-09
6,SELF,4.3,4.44,4.3,4.42,26798.0,2020-01-10
7,SELF,4.42,4.43,4.38,4.4,32866.0,2020-01-13
8,SELF,4.43,4.4455,4.33,4.33,5964.0,2020-01-14
9,SELF,4.35,4.44,4.33,4.33,4545.0,2020-01-15
10,SELF,4.45,4.45,4.3301,4.45,14982.0,2020-01-16
11,SELF,4.39,4.44,4.32,4.41,18177.0,2020-01-17
12,SELF,4.3886,4.43,4.3886,4.43,5742.0,2020-01-21
13,SELF,4.39,4.43,4.3578,4.401,4995.0,2020-01-22
14,SELF,4.421,4.421,4.3323,4.38,8182.0,2020-01-23
15,SELF,4.38,4.38,4.35,4.35,4653.0,2020-01-24
16,SELF,4.3,4.37,4.25,4.25,18419.0,2020-01-27
17,SELF,4.26,4.3078,4.21,4.23,10656.0,2020-01-28
18,SELF,4.22,4.2676,4.1526,4.23,9114.0,2020-01-29
19,SELF,4.27,4.2709,4.23,4.25,12053.0,2020-01-30
20,SELF,4.2708,4.2708,4.181,4.19,15868.0,2020-01-31
21,SELF,4.22,4.43,4.2,4.21,29549.0,2020-02-03
22,SELF,4.2,4.3,4.2,4.22,17671.0,2020-02-04
23,SELF,4.21,4.359,4.21,4.3,9234.0,2020-02-05
24,SELF,4.295,4.2987,4.29,4.29,2530.0,2020-02-06
25,SELF,4.27,4.3,4.27,4.29,19855.0,2020-02-07
26,SELF,4.25,4.28,4.2271,4.265,5653.0,2020-02-10
27,SELF,4.29,4.29,4.2461,4.2461,6440.0,2020-02-11
28,SELF,4.2899,4.2899,4.22,4.23,27703.0,2020-02-12
29,SELF,4.2638,4.2733,4.23,4.2614,5141.0,2020-02-13
30,SELF,4.26,4.3,4.26,4.28,12362.0,2020-02-14
31,SELF,4.3,4.327,4.25,4.327,23593.0,2020-02-18
32,SELF,4.3141,4.3431,4.2601,4.32,11840.0,2020-02-19
33,SELF,4.29,4.32,4.2725,4.3036,12616.0,2020-02-20
34,SELF,4.3005,4.31,4.25,4.3,5463.0,2020-02-21
35,SELF,4.3,4.3,4.21,4.28,15481.0,2020-02-24
36,SELF,4.26,4.26,4.15,4.15,28622.0,2020-02-25
37,SELF,4.11,4.26,4.1,4.23,40165.0,2020-02-26
38,SELF,4.1267,4.2987,4.12,4.13,14166.0,2020-02-27
39,SELF,4.11,4.31,4.09,4.31,35636.0,2020-02-28
40,SELF,4.31,4.31,3.93,4.18,68466.0,2020-03-02
41,SELF,4.252,4.27,4.1,4.27,16832.0,2020-03-03
42,SELF,4.3,4.3,4.2187,4.27,14221.0,2020-03-04
43,SELF,4.31,4.31,4.1665,4.195,18007.0,2020-03-05
44,SELF,4.12,4.23,4.11,4.17,12297.0,2020-03-06
45,SELF,4.11,4.22,4.06,4.22,21858.0,2020-03-09
46,SELF,4.21,4.21,4.1,4.12,11855.0,2020-03-10
47,SELF,4.11,4.11,4.06,4.07,27448.0,2020-03-11
48,SELF,4.0,4.0,3.43,3.928,49616.0,2020-03-12
49,SELF,4.07,4.123,3.55,3.8611,31525.0,2020-03-13
50,SELF,3.6,4.0,3.39,3.8023,35325.0,2020-03-16
51,SELF,3.99,3.99,3.51,3.51,15794.0,2020-03-17
52,SELF,3.5,3.5,3.01,3.22,70077.0,2020-03-18
53,SELF,3.11,3.405,3.11,3.405,26398.0,2020-03-19
54,SELF,3.4,3.92,3.2112,3.24,10556.0,2020-03-20
55,SELF,3.23,3.75,2.65,3.21,44645.0,2020-03-23
56,SELF,3.46,3.6006,3.1794,3.29,7298.0,2020-03-24
57,SELF,3.33,3.459,3.25,3.375,9348.0,2020-03-25
58,SELF,3.5695,3.6478,3.53,3.58,3210.0,2020-03-26
59,SELF,3.58,3.65,3.29,3.644,14873.0,2020-03-27
60,SELF,3.55,3.55,3.32,3.45,32254.0,2020-03-30
61,SELF,3.43,3.65,3.34,3.51,46264.0,2020-03-31
62,SELF,3.54,3.6498,3.41,3.41,20621.0,2020-04-01
63,SELF,3.5772,3.5772,3.39,3.39,24294.0,2020-04-02
64,SELF,3.39,3.45,3.35,3.45,8817.0,2020-04-03
65,SELF,3.54,3.65,3.475,3.53,16092.0,2020-04-06
66,SELF,3.6107,3.7935,3.6107,3.7,27131.0,2020-04-07
67,SELF,3.6838,3.94,3.655,3.78,41672.0,2020-04-08
68,SELF,3.79,3.88,3.65,3.7,42851.0,2020-04-09
69,SELF,3.76,3.8641,3.7,3.72,45642.0,2020-04-13
70,SELF,3.87,3.87,3.8,3.81,9345.0,2020-04-14
71,SELF,3.8,3.86,3.57,3.819,28828.0,2020-04-15
72,SELF,3.78,3.83,3.7,3.7,33579.0,2020-04-16
73,SELF,3.67,3.79,3.63,3.71,9419.0,2020-04-17
74,SELF,3.64,3.75,3.6,3.61,16224.0,2020-04-20
75,SELF,3.56,3.6856,3.51,3.51,22778.0,2020-04-21
76,SELF,3.52,3.9676,3.52,3.73,38122.0,2020-04-22
77,SELF,3.6615,3.93,3.64,3.64,15141.0,2020-04-23
78,SELF,3.6,3.84,3.6,3.72,4830.0,2020-04-24
79,SELF,3.7,3.79,3.61,3.74,14651.0,2020-04-27
80,SELF,3.71,3.8,3.71,3.8,4711.0,2020-04-28
81,SELF,3.9699,4.05,3.77,3.8,91480.0,2020-04-29
82,SELF,3.7,4.0498,3.7,3.97,14237.0,2020-04-30
83,SELF,3.85,3.8656,3.75,3.75,9258.0,2020-05-01
84,SELF,3.725,3.86,3.701,3.83,35889.0,2020-05-04
85,SELF,3.83,3.9023,3.775,3.83,21460.0,2020-05-05
86,SELF,3.8195,3.84,3.7,3.7,10245.0,2020-05-06
87,SELF,3.765,3.82,3.71,3.73,4154.0,2020-05-07
88,SELF,3.77,3.8,3.7,3.7,6865.0,2020-05-08
89,SELF,3.8209,3.84,3.75,3.75,37039.0,2020-05-11
90,SELF,3.72,3.72,3.65,3.65,3755.0,2020-05-12
91,SELF,3.6915,3.7,3.55,3.55,12311.0,2020-05-13
92,SELF,3.65,3.76,3.5,3.76,9526.0,2020-05-14
93,SELF,3.67,3.76,3.6057,3.71,21933.0,2020-05-15
