,ticker,open,high,low,close,volume,timestamp
0,SFWL,4.1,4.2,3.33,4.02,940642.0,2023-03-31
1,SFWL,3.95,4.2,3.6,4.04,1973028.0,2023-04-03
2,SFWL,3.95,4.15,3.95,4.05,641693.0,2023-04-04
3,SFWL,4.02,4.1,3.96,4.01,113145.0,2023-04-05
4,SFWL,3.98,4.55,3.95,3.95,753207.0,2023-04-06
5,SFWL,3.93,5.97,3.86,5.06,1471144.0,2023-04-10
6,SFWL,4.94,4.95,4.5,4.68,375645.0,2023-04-11
7,SFWL,4.55,4.88,4.5001,4.61,38579.0,2023-04-12
8,SFWL,4.76,4.79,4.3,4.74,189487.0,2023-04-13
9,SFWL,4.4967,4.76,4.4,4.5,39033.0,2023-04-14
10,SFWL,4.35,4.59,2.94,4.17,898696.0,2023-04-17
11,SFWL,3.93,4.1453,3.93,4.01,11860.0,2023-04-18
12,SFWL,3.95,4.11,3.95,4.1,48072.0,2023-04-19
13,SFWL,4.04,4.22,3.99,4.15,480648.0,2023-04-20
14,SFWL,4.01,4.1999,3.97,4.05,166228.0,2023-04-21
15,SFWL,4.02,4.11,3.97,4.1,21928.0,2023-04-24
16,SFWL,3.99,4.09,3.99,4.07,6684.0,2023-04-25
17,SFWL,4.03,4.15,3.99,4.15,6482.0,2023-04-26
18,SFWL,3.99,4.11,3.97,4.0873,46143.0,2023-04-27
19,SFWL,4.18,4.22,4.04,4.11,74597.0,2023-04-28
20,SFWL,4.01,4.2499,3.96,4.1,351828.0,2023-05-01
21,SFWL,4.03,4.15,3.95,4.09,110530.0,2023-05-02
22,SFWL,4.05,4.2,4.05,4.15,29540.0,2023-05-03
23,SFWL,4.18,4.25,4.0,4.0,188577.0,2023-05-04
24,SFWL,4.0,4.16,4.0,4.09,206410.0,2023-05-05
25,SFWL,4.18,4.49,4.15,4.36,232631.0,2023-05-08
26,SFWL,4.39,12.45,4.355,8.8,19633059.0,2023-05-09
27,SFWL,6.49,6.7,5.53,5.87,1570168.0,2023-05-10
28,SFWL,5.56,8.0,5.41,6.79,4133787.0,2023-05-11
29,SFWL,7.47,8.55,7.1,7.95,1643530.0,2023-05-12
30,SFWL,8.5,8.7,7.8,8.16,464986.0,2023-05-15
31,SFWL,8.07,8.4,7.2,7.29,238585.0,2023-05-16
32,SFWL,7.16,7.26,6.03,6.66,302747.0,2023-05-17
33,SFWL,6.51,6.92,6.5001,6.61,73673.0,2023-05-18
34,SFWL,6.61,6.9,5.94,6.01,204216.0,2023-05-19
35,SFWL,5.5,6.45,5.23,6.16,474496.0,2023-05-22
36,SFWL,6.21,6.46,5.81,6.05,175467.0,2023-05-23
37,SFWL,6.2,7.6699,6.2,7.46,422312.0,2023-05-24
