,ticker,open,high,low,close,volume,timestamp
0,SIGI,65.45,65.49,64.45,65.44,258858.0,2020-01-02
1,SIGI,64.96,65.98,64.75,65.82,191756.0,2020-01-03
2,SIGI,65.42,66.81,65.22,66.56,245694.0,2020-01-06
3,SIGI,66.27,66.45,65.5572,65.76,212746.0,2020-01-07
4,SIGI,65.7,66.445,65.46,66.15,235463.0,2020-01-08
5,SIGI,66.31,67.045,65.7775,66.85,166826.0,2020-01-09
6,SIGI,66.81,66.97,66.02,66.21,171744.0,2020-01-10
7,SIGI,66.15,66.56,65.91,66.21,174644.0,2020-01-13
8,SIGI,66.07,66.6,65.8,66.51,155644.0,2020-01-14
9,SIGI,66.32,67.2,66.1295,66.75,207531.0,2020-01-15
10,SIGI,67.2,68.02,67.12,67.985,188510.0,2020-01-16
11,SIGI,68.37,68.62,67.53,68.25,184551.0,2020-01-17
12,SIGI,68.01,68.39,67.67,68.21,161251.0,2020-01-21
13,SIGI,68.27,68.6,67.965,68.055,151259.0,2020-01-22
14,SIGI,67.77,67.77,66.32,66.6,327392.0,2020-01-23
15,SIGI,66.67,66.76,65.83,66.09,311662.0,2020-01-24
16,SIGI,65.35,66.78,65.29,66.32,296672.0,2020-01-27
17,SIGI,66.62,66.92,66.13,66.38,207402.0,2020-01-28
18,SIGI,66.42,67.24,65.78,65.81,222021.0,2020-01-29
19,SIGI,65.41,67.24,65.16,67.22,208316.0,2020-01-30
20,SIGI,70.0,70.89,66.09,66.25,384725.0,2020-01-31
21,SIGI,66.76,67.9,66.665,67.03,351658.0,2020-02-03
22,SIGI,67.63,68.39,67.25,67.86,208622.0,2020-02-04
23,SIGI,68.52,68.52,67.27,67.39,175653.0,2020-02-05
24,SIGI,67.65,68.57,67.65,68.08,186731.0,2020-02-06
25,SIGI,68.01,68.64,67.85,68.35,230265.0,2020-02-07
26,SIGI,67.79,68.9,67.76,68.79,194078.0,2020-02-10
27,SIGI,68.85,69.71,68.85,69.4,247637.0,2020-02-11
28,SIGI,69.65,69.65,68.68,68.83,291285.0,2020-02-12
29,SIGI,68.45,69.93,68.4,69.92,209681.0,2020-02-13
30,SIGI,69.85,70.32,69.55,69.98,230844.0,2020-02-14
31,SIGI,69.69,69.745,67.91,68.07,371324.0,2020-02-18
32,SIGI,68.16,68.2,66.98,67.06,158893.0,2020-02-19
33,SIGI,66.82,66.94,65.27,66.18,160802.0,2020-02-20
34,SIGI,66.12,66.435,65.3,66.18,215922.0,2020-02-21
35,SIGI,64.75,65.88,64.57,65.08,245492.0,2020-02-24
36,SIGI,64.97,65.24,63.09,63.42,241457.0,2020-02-25
37,SIGI,63.65,64.52,62.795,63.01,150427.0,2020-02-26
38,SIGI,62.19,62.31,59.54,59.58,219743.0,2020-02-27
39,SIGI,57.95,58.93,54.79,55.78,778297.0,2020-02-28
40,SIGI,56.07,58.5,55.81,57.95,521785.0,2020-03-02
41,SIGI,57.87,58.55,56.4,56.86,509207.0,2020-03-03
42,SIGI,57.6,59.4,57.29,59.09,241121.0,2020-03-04
43,SIGI,57.64,58.135,54.52,55.74,270436.0,2020-03-05
44,SIGI,54.67,56.445,54.12,55.72,368193.0,2020-03-06
45,SIGI,54.39,54.39,49.7,50.96,428829.0,2020-03-09
46,SIGI,52.49,54.41,51.18,54.31,465990.0,2020-03-10
47,SIGI,52.67,53.02,50.77,51.8,633439.0,2020-03-11
48,SIGI,49.03,49.03,45.05,47.21,694686.0,2020-03-12
49,SIGI,49.65,51.45,46.93,51.45,466021.0,2020-03-13
50,SIGI,37.05,47.2295,37.05,41.31,840693.0,2020-03-16
51,SIGI,42.18,47.43,39.2,47.29,769889.0,2020-03-17
52,SIGI,44.27,47.3,41.7,46.34,631332.0,2020-03-18
53,SIGI,45.54,49.91,43.355,48.16,762135.0,2020-03-19
54,SIGI,48.08,49.63,46.14,46.42,756769.0,2020-03-20
55,SIGI,46.72,46.72,43.13,45.72,554021.0,2020-03-23
56,SIGI,47.93,51.26,44.88,50.74,703425.0,2020-03-24
57,SIGI,50.06,51.72,46.865,47.28,500031.0,2020-03-25
58,SIGI,47.4,50.06,47.0,48.78,399602.0,2020-03-26
59,SIGI,47.11,50.69,46.5965,48.86,475623.0,2020-03-27
60,SIGI,49.45,51.36,47.43,51.1,300982.0,2020-03-30
61,SIGI,50.56,50.95,49.05,49.7,524228.0,2020-03-31
62,SIGI,47.71,49.06,47.28,48.52,396295.0,2020-04-01
63,SIGI,47.75,50.32,47.0,48.38,280454.0,2020-04-02
64,SIGI,47.64,48.58,46.14,46.97,229857.0,2020-04-03
65,SIGI,48.71,49.74,47.3132,48.6,365874.0,2020-04-06
66,SIGI,50.01,50.88,47.08,47.83,355067.0,2020-04-07
67,SIGI,48.66,50.42,47.4,49.43,490374.0,2020-04-08
68,SIGI,50.87,52.86,50.19,52.72,335529.0,2020-04-09
69,SIGI,52.29,53.12,50.78,51.86,295122.0,2020-04-13
70,SIGI,52.8755,53.88,52.41,53.44,314245.0,2020-04-14
71,SIGI,51.63,51.805,49.46,49.48,292467.0,2020-04-15
72,SIGI,49.29,50.18,48.16,49.98,368930.0,2020-04-16
73,SIGI,51.78,52.28,50.02,51.12,336823.0,2020-04-17
74,SIGI,50.09,51.0,49.73,50.29,212993.0,2020-04-20
75,SIGI,48.8,49.75,48.4279,49.27,234110.0,2020-04-21
76,SIGI,50.31,50.31,48.67,48.83,191130.0,2020-04-22
77,SIGI,49.02,49.7,48.11,48.19,269439.0,2020-04-23
78,SIGI,48.27,48.84,47.365,48.32,251457.0,2020-04-24
79,SIGI,48.82,51.13,48.55,50.57,328387.0,2020-04-27
80,SIGI,51.65,52.3,50.35,50.89,386922.0,2020-04-28
81,SIGI,52.45,53.585,51.06,52.72,366344.0,2020-04-29
82,SIGI,51.63,51.92,49.79,50.13,492382.0,2020-04-30
83,SIGI,48.77,49.34,47.18,47.48,306039.0,2020-05-01
84,SIGI,46.91,47.99,46.14,47.99,296891.0,2020-05-04
85,SIGI,48.92,50.21,48.13,48.87,315728.0,2020-05-05
86,SIGI,46.86,47.16,45.085,45.22,630541.0,2020-05-06
87,SIGI,45.86,47.33,45.4,46.17,388422.0,2020-05-07
88,SIGI,47.23,48.18,46.6,48.15,329020.0,2020-05-08
89,SIGI,47.55,48.46,46.86,47.51,449636.0,2020-05-11
90,SIGI,47.68,47.88,45.23,45.27,343537.0,2020-05-12
91,SIGI,44.6,44.77,42.345,42.9,314546.0,2020-05-13
92,SIGI,42.75,44.39,42.14,44.24,465683.0,2020-05-14
93,SIGI,43.84,46.645,43.125,46.52,618090.0,2020-05-15
94,SIGI,48.88,51.12,48.84,50.96,556766.0,2020-05-18
95,SIGI,51.31,51.44,49.19,49.2,444411.0,2020-05-19
96,SIGI,50.05,51.05,49.56,50.68,270767.0,2020-05-20
97,SIGI,50.69,52.13,50.66,52.0,421544.0,2020-05-21
98,SIGI,52.4,52.72,51.41,52.39,327674.0,2020-05-22
99,SIGI,54.35,55.185,52.71,52.975,344414.0,2020-05-26
100,SIGI,54.51,55.12,53.86,54.98,309147.0,2020-05-27
101,SIGI,55.77,55.77,52.61,53.13,325861.0,2020-05-28
102,SIGI,52.41,52.97,51.83,52.45,343003.0,2020-05-29
103,SIGI,52.87,52.87,51.64,52.14,264058.0,2020-06-01
104,SIGI,53.0,54.31,52.22,53.45,215361.0,2020-06-02
105,SIGI,54.53,56.43,54.2,54.97,251752.0,2020-06-03
106,SIGI,54.22,54.645,53.8,54.49,267527.0,2020-06-04
107,SIGI,57.18,58.49,56.3448,57.47,321114.0,2020-06-05
108,SIGI,58.21,58.56,57.35,57.96,242469.0,2020-06-08
109,SIGI,56.8,57.46,56.15,56.42,238704.0,2020-06-09
110,SIGI,56.06,56.06,54.59,54.77,249290.0,2020-06-10
111,SIGI,52.43,53.33,50.21,50.28,336475.0,2020-06-11
112,SIGI,52.48,52.5,48.81,50.24,328386.0,2020-06-12
113,SIGI,48.39,52.38,48.07,52.0,299057.0,2020-06-15
114,SIGI,54.16,54.27,51.945,52.53,214598.0,2020-06-16
115,SIGI,52.76,52.76,51.42,51.72,218765.0,2020-06-17
