,ticker,open,high,low,close,volume,timestamp
0,SISI,109.6,117.0,109.6,114.3,1013.8,2021-10-18
1,SISI,111.1,121.0,110.1,118.7,8487.8,2021-10-19
2,SISI,116.3,121.15,116.3,117.0,1688.3,2021-10-20
3,SISI,119.4,138.9,100.801,106.1,84968.5,2021-10-21
4,SISI,103.6,105.171,102.0,104.0,7052.3,2021-10-22
5,SISI,110.0,110.0,100.1,105.8,4616.5,2021-10-25
6,SISI,109.7,109.7,102.3,104.8,6397.1,2021-10-26
7,SISI,103.3,108.4,102.6,107.0,1565.4,2021-10-27
8,SISI,107.9,107.9,104.4,107.0,1810.9,2021-10-28
9,SISI,107.5,107.5,101.0,103.2,4369.0,2021-10-29
10,SISI,104.8,105.8,101.3,105.2,3075.7,2021-11-01
11,SISI,104.2,109.7,103.4,109.7,2531.0,2021-11-02
12,SISI,109.9,109.9,104.2,108.5,1183.2,2021-11-03
13,SISI,106.0,111.9,105.101,111.3,3409.2,2021-11-04
14,SISI,111.9,113.0,108.6,110.3,1845.3,2021-11-05
15,SISI,110.9,110.9,105.5,109.6,2715.1,2021-11-08
16,SISI,109.7,109.7,97.601,103.6,9292.6,2021-11-09
17,SISI,101.9,103.3,91.0,101.2,6382.8,2021-11-10
18,SISI,100.55,101.1,90.1,98.5,9049.1,2021-11-11
19,SISI,99.0,100.95,93.9,99.9,6583.2,2021-11-12
20,SISI,102.4,104.973,92.5,100.2,5099.2,2021-11-15
21,SISI,101.0,101.0,90.6,90.6,5674.2,2021-11-16
22,SISI,92.2,92.2,73.8,87.3,5591.8,2021-11-17
23,SISI,88.7,94.5,88.6,92.5,3033.5,2021-11-18
24,SISI,91.1,94.35,91.0,94.3,2745.7,2021-11-19
25,SISI,92.3,100.982,86.3,91.8,5496.0,2021-11-22
26,SISI,89.1,91.7,86.0,91.0,1811.9,2021-11-23
27,SISI,89.0,95.0,88.85,93.9,2146.4,2021-11-24
28,SISI,91.1,93.8,89.0,92.9,1973.6,2021-11-26
29,SISI,89.8,93.6,86.4,91.9,2110.9,2021-11-29
30,SISI,91.6,96.7,89.5,94.3,2483.6,2021-11-30
31,SISI,95.1,96.499,82.5,88.8,2514.0,2021-12-01
32,SISI,89.5,93.0,87.9,91.5,1637.8,2021-12-02
33,SISI,91.5,93.0,82.9,91.0,5833.3,2021-12-03
34,SISI,88.4,89.0,81.1,87.5,4178.0,2021-12-06
35,SISI,92.4,92.4,75.73,79.0,2511.5,2021-12-07
36,SISI,79.5,82.7,76.2,78.7,2007.6,2021-12-08
37,SISI,76.5,77.688,71.7,74.9,3178.9,2021-12-09
38,SISI,76.6,76.6,68.0,72.3,2428.6,2021-12-10
39,SISI,70.4,73.9,68.5,73.0,3723.4,2021-12-13
40,SISI,77.4,77.4,68.5,71.3,1769.4,2021-12-14
41,SISI,70.8,74.8,65.8,72.0,2409.2,2021-12-15
42,SISI,72.0,72.0,54.7,65.7,6782.6,2021-12-16
43,SISI,66.2,69.0,62.401,67.0,2340.4,2021-12-17
44,SISI,67.0,70.0,64.0,70.0,3583.2,2021-12-20
45,SISI,70.0,70.9,68.1,69.9,2231.3,2021-12-21
46,SISI,69.8,71.0,65.6,70.6,3487.2,2021-12-22
47,SISI,69.9,71.0,68.4,70.8,3903.7,2021-12-23
48,SISI,68.6,70.8,66.6,70.7,2793.9,2021-12-27
49,SISI,69.8,70.5,66.7,68.5,2225.7,2021-12-28
50,SISI,69.0,69.3,63.4,67.2,4178.8,2021-12-29
51,SISI,64.6,69.6,63.55,66.8,2643.5,2021-12-30
52,SISI,65.6,69.7,63.5,66.4,2915.5,2021-12-31
53,SISI,65.8,65.8,50.4,55.3,9574.4,2022-01-03
54,SISI,54.9,54.9,47.0,54.4,7722.6,2022-01-04
55,SISI,54.4,54.4,49.8,52.7,2537.9,2022-01-05
56,SISI,52.3,52.3,42.4,45.5,12176.2,2022-01-06
57,SISI,46.3,48.9,42.4,44.4,4289.6,2022-01-07
58,SISI,43.8,43.8,38.0,42.4,6416.1,2022-01-10
59,SISI,41.6,45.0,40.4,45.0,3558.7,2022-01-11
60,SISI,43.785,43.9,38.6,42.4,7839.0,2022-01-12
61,SISI,41.6,44.4,34.574,36.2,19414.8,2022-01-13
62,SISI,34.4,36.789,33.501,36.3,9305.9,2022-01-14
63,SISI,36.0,40.9,33.45,35.7,10588.0,2022-01-18
64,SISI,36.65,37.9,34.4,35.2,4892.6,2022-01-19
65,SISI,38.2,38.7,34.1,34.3,4639.4,2022-01-20
66,SISI,34.4,34.56,30.5,31.3,5075.8,2022-01-21
67,SISI,31.3,37.0,30.0,32.5,19174.9,2022-01-24
68,SISI,31.5,34.9,28.1,32.8,3271.6,2022-01-25
69,SISI,33.1,36.9,33.1,35.2,4251.1,2022-01-26
70,SISI,35.2,36.7,33.0,33.8,2054.4,2022-01-27
71,SISI,32.9,35.2,32.0,33.8,3511.6,2022-01-28
72,SISI,34.65,37.0,34.1,34.7,1830.6,2022-01-31
73,SISI,36.7,37.0,35.6,36.6,873.0,2022-02-01
74,SISI,39.2,44.0,37.9,41.9,13863.2,2022-02-02
75,SISI,41.8,41.8,35.2,41.0,5793.4,2022-02-03
76,SISI,39.2,39.4,38.001,38.3,1350.6,2022-02-04
77,SISI,37.3,38.6,37.0,38.4,1081.5,2022-02-07
78,SISI,35.6,39.0,35.6,38.7,887.0,2022-02-08
79,SISI,39.0,40.0,36.5,40.0,825.3,2022-02-09
80,SISI,38.5,39.8,36.5,37.1,2190.4,2022-02-10
81,SISI,37.4,41.0,37.4,39.3,2279.1,2022-02-11
82,SISI,38.0,39.9,38.0,39.023,630.9,2022-02-14
83,SISI,39.6,41.0,36.601,40.9,668.9,2022-02-15
84,SISI,37.138,44.097,35.5,39.3,5112.1,2022-02-16
85,SISI,40.502,40.576,36.0,36.0,1392.7,2022-02-17
86,SISI,36.933,38.6,36.8,38.2,702.1,2022-02-18
87,SISI,39.8,39.8,34.0,35.0,2241.2,2022-02-22
88,SISI,37.6,37.6,32.5,34.0,2605.1,2022-02-23
89,SISI,32.2,36.8,32.2,35.6,907.7,2022-02-24
90,SISI,32.229,35.5,32.0,34.9,401.5,2022-02-25
91,SISI,32.3,36.4,32.0,36.2,1503.9,2022-02-28
92,SISI,34.9,34.9,32.4,32.6,2413.3,2022-03-01
93,SISI,32.1,33.3,32.0,32.3,355.6,2022-03-02
94,SISI,32.0,34.4,32.0,34.4,547.4,2022-03-03
95,SISI,33.0,36.3,32.6,33.5,877.0,2022-03-04
96,SISI,34.583,34.583,31.0,33.7,3898.6,2022-03-07
97,SISI,32.7,33.2,32.6,33.2,194.2,2022-03-08
98,SISI,33.7,46.0,31.5,40.0,16237.4,2022-03-09
99,SISI,39.9,39.9,37.5,38.107,562.9,2022-03-10
100,SISI,38.5,63.8,38.3,38.4,426553.1,2022-03-11
101,SISI,37.1,37.1,32.5,33.1,13456.4,2022-03-14
102,SISI,32.3,34.0,27.4,27.895,11325.9,2022-03-15
103,SISI,28.7,29.6,22.4,25.2,11482.9,2022-03-16
104,SISI,26.4,27.05,25.1,25.3,2601.9,2022-03-17
105,SISI,27.0,30.0,25.2,28.2,9889.5,2022-03-18
106,SISI,27.8,29.3,25.5,26.4,4461.5,2022-03-21
107,SISI,26.085,31.0,26.085,28.4,14787.8,2022-03-22
108,SISI,27.8,27.845,25.8,25.9,8682.4,2022-03-23
109,SISI,26.1,29.0,26.0,26.8,13435.4,2022-03-24
110,SISI,27.3,27.3,25.6,25.7,11360.3,2022-03-25
111,SISI,26.9,27.1,22.933,24.0,10773.9,2022-03-28
112,SISI,24.0,27.5,24.0,25.8,25853.9,2022-03-29
113,SISI,26.0,28.6,25.6,28.6,11174.8,2022-03-30
114,SISI,29.4,29.4,26.0,26.1,5574.1,2022-03-31
115,SISI,26.4,27.9,25.75,26.3,3260.7,2022-04-01
116,SISI,25.7,28.544,25.65,27.4,782.7,2022-04-04
117,SISI,29.2,29.5,25.0,25.2,11059.7,2022-04-05
118,SISI,26.3,27.2,25.1,25.4,10116.4,2022-04-06
119,SISI,26.0,26.25,23.106,23.5,5452.7,2022-04-07
120,SISI,24.3,24.3,22.427,23.4,8476.9,2022-04-08
121,SISI,23.7,23.7,22.35,23.0,15771.6,2022-04-11
122,SISI,22.7,23.6,22.0,22.9,17308.6,2022-04-12
123,SISI,22.4,23.3,20.6,22.0,17231.5,2022-04-13
124,SISI,20.327,22.2,17.0,18.1,13242.6,2022-04-14
125,SISI,18.6,19.0,17.505,19.0,1397.1,2022-04-18
126,SISI,18.5,19.899,17.501,19.6,688.2,2022-04-19
127,SISI,19.4,21.1,18.9,20.1,2830.7,2022-04-20
128,SISI,19.3,22.5,19.1,20.4,3707.7,2022-04-21
129,SISI,20.7,21.558,20.0,20.7,1193.4,2022-04-22
130,SISI,21.0,24.9,20.127,22.3,3760.2,2022-04-25
131,SISI,21.9,25.4,20.5,24.2,3813.9,2022-04-26
132,SISI,25.7,25.8,23.3,25.5,3446.3,2022-04-27
133,SISI,26.1,27.5,24.3,25.6,2800.1,2022-04-28
134,SISI,25.5,25.758,22.3,24.2,730.4,2022-04-29
135,SISI,23.6,24.55,22.139,24.55,431.7,2022-05-02
136,SISI,20.5,25.628,20.5,23.8,457.3,2022-05-03
137,SISI,21.7,24.8,17.6,18.0,3139.9,2022-05-04
138,SISI,18.0,20.5,18.0,20.5,3148.7,2022-05-05
139,SISI,19.9,20.9,18.5,20.6,1221.3,2022-05-06
