,ticker,open,high,low,close,volume,timestamp
0,SLE,4.08,7.65,3.01,3.25,47614250.0,2023-09-11
1,SLE,2.4584,2.73,1.86,1.95,3988374.0,2023-09-12
2,SLE,2.45,2.671,2.0,2.19,13943016.0,2023-09-13
3,SLE,2.01,2.44,1.66,1.86,2129585.0,2023-09-14
4,SLE,1.72,1.8,1.57,1.71,772523.0,2023-09-15
5,SLE,1.69,1.69,1.55,1.65,529592.0,2023-09-18
6,SLE,1.59,1.61,1.47,1.52,420240.0,2023-09-19
7,SLE,1.52,1.7465,1.48,1.67,450205.0,2023-09-20
8,SLE,1.62,1.845,1.55,1.83,798054.0,2023-09-21
9,SLE,1.82,1.86,1.7,1.79,303946.0,2023-09-22
10,SLE,1.77,1.93,1.72,1.87,177613.0,2023-09-25
11,SLE,1.78,1.96,1.74,1.81,269369.0,2023-09-26
12,SLE,1.85,1.88,1.7501,1.82,117200.0,2023-09-27
13,SLE,1.84,1.85,1.77,1.8,94777.0,2023-09-28
14,SLE,1.79,1.825,1.74,1.74,70137.0,2023-09-29
15,SLE,1.77,1.77,1.6,1.67,116313.0,2023-10-02
16,SLE,1.7,1.77,1.66,1.77,132488.0,2023-10-03
17,SLE,1.72,1.76,1.69,1.74,46128.0,2023-10-04
18,SLE,1.72,1.8,1.66,1.74,52522.0,2023-10-05
19,SLE,1.74,1.7425,1.6802,1.74,31554.0,2023-10-06
20,SLE,1.67,1.676,1.57,1.6,71916.0,2023-10-09
21,SLE,1.53,1.6599,1.51,1.61,29198.0,2023-10-10
22,SLE,1.58,1.65,1.53,1.58,67314.0,2023-10-11
23,SLE,1.56,1.56,1.3407,1.35,169408.0,2023-10-12
24,SLE,1.35,1.3873,1.2601,1.33,134860.0,2023-10-13
25,SLE,1.44,1.58,1.33,1.56,160836.0,2023-10-16
26,SLE,1.52,1.61,1.37,1.48,103659.0,2023-10-17
27,SLE,1.48,1.56,1.414,1.54,35299.0,2023-10-18
28,SLE,1.42,1.5298,1.42,1.44,36751.0,2023-10-19
