,ticker,open,high,low,close,volume,timestamp
0,SLM,8.98,9.01,8.82,8.94,1765648.0,2020-01-02
1,SLM,8.86,8.91,8.735,8.81,4168240.0,2020-01-03
2,SLM,8.79,8.86,8.69,8.82,5859495.0,2020-01-06
3,SLM,8.79,8.82,8.61,8.67,2415545.0,2020-01-07
4,SLM,8.65,8.73,8.54,8.64,2482222.0,2020-01-08
5,SLM,8.68,8.7,8.51,8.61,2788221.0,2020-01-09
6,SLM,8.58,8.615,8.38,8.39,4035683.0,2020-01-10
7,SLM,8.41,8.45,8.3,8.41,1962897.0,2020-01-13
8,SLM,8.36,8.56,8.36,8.53,3408517.0,2020-01-14
9,SLM,8.5,8.61,8.48,8.61,3279542.0,2020-01-15
10,SLM,8.66,8.89,8.66,8.825,2888076.0,2020-01-16
11,SLM,8.82,8.87,8.795,8.86,2084007.0,2020-01-17
12,SLM,8.81,8.925,8.77,8.82,4276619.0,2020-01-21
13,SLM,8.85,9.185,8.85,9.09,8976052.0,2020-01-22
14,SLM,11.15,11.84,10.61,11.75,23890230.0,2020-01-23
15,SLM,11.44,11.65,11.22,11.48,8841912.0,2020-01-24
16,SLM,11.27,11.36,11.11,11.2,6404521.0,2020-01-27
17,SLM,11.25,11.35,11.05,11.13,4747802.0,2020-01-28
18,SLM,11.07,11.4,11.02,11.29,5281509.0,2020-01-29
19,SLM,11.16,11.26,10.82,11.01,4714163.0,2020-01-30
20,SLM,10.93,11.0,10.77,10.92,4450730.0,2020-01-31
21,SLM,10.99,11.1,10.665,10.71,3932500.0,2020-02-03
22,SLM,10.88,11.0,10.705,10.73,3497240.0,2020-02-04
23,SLM,10.88,11.23,10.835,11.18,3994583.0,2020-02-05
24,SLM,11.27,11.28,11.105,11.24,3539533.0,2020-02-06
25,SLM,11.15,11.37,11.11,11.29,3524008.0,2020-02-07
26,SLM,11.26,11.61,11.25,11.6,5099913.0,2020-02-10
27,SLM,11.71,11.95,11.61,11.9,5723358.0,2020-02-11
28,SLM,11.97,12.09,11.86,11.97,4775046.0,2020-02-12
29,SLM,11.95,12.035,11.705,11.92,6035265.0,2020-02-13
30,SLM,11.91,12.07,11.78,12.06,4457412.0,2020-02-14
31,SLM,11.98,12.15,11.96,12.02,2305271.0,2020-02-18
32,SLM,12.04,12.1,11.9,11.97,3232796.0,2020-02-19
33,SLM,12.0,12.31,11.96,12.28,3253811.0,2020-02-20
34,SLM,12.28,12.32,12.0,12.04,4183873.0,2020-02-21
35,SLM,11.64,11.82,11.51,11.72,5415090.0,2020-02-24
36,SLM,11.76,11.76,10.98,10.99,4113774.0,2020-02-25
37,SLM,11.07,11.13,10.635,10.66,3618407.0,2020-02-26
38,SLM,10.43,10.755,10.16,10.36,4775484.0,2020-02-27
39,SLM,10.0,10.46,9.9,10.37,6599549.0,2020-02-28
40,SLM,10.5,10.98,10.23,10.96,5134335.0,2020-03-02
41,SLM,10.94,11.07,10.24,10.3,5409650.0,2020-03-03
42,SLM,10.64,10.97,10.21,10.91,10289908.0,2020-03-04
43,SLM,10.48,10.69,10.24,10.39,3553611.0,2020-03-05
44,SLM,9.96,10.28,9.77,9.98,7930746.0,2020-03-06
45,SLM,9.26,9.5,8.73,9.36,4203567.0,2020-03-09
46,SLM,9.78,9.88,9.305,9.54,8893443.0,2020-03-10
47,SLM,9.24,9.57,8.905,8.95,6727371.0,2020-03-11
48,SLM,8.14,8.44,7.62,8.09,6772111.0,2020-03-12
49,SLM,8.65,8.8836,7.9,8.26,6074509.0,2020-03-13
50,SLM,7.06,7.4758,6.253,6.79,6483538.0,2020-03-16
51,SLM,6.9,6.98,5.6,6.71,10346837.0,2020-03-17
52,SLM,6.25,7.085,5.73,6.86,6973236.0,2020-03-18
53,SLM,6.83,7.32,6.28,6.91,4690209.0,2020-03-19
54,SLM,6.98,7.16,6.33,6.63,9791960.0,2020-03-20
55,SLM,6.6,6.89,6.235,6.45,5811944.0,2020-03-23
56,SLM,6.79,7.33,6.79,6.95,7423559.0,2020-03-24
57,SLM,7.06,7.715,6.86,7.19,4772668.0,2020-03-25
58,SLM,7.37,7.89,7.23,7.75,5356047.0,2020-03-26
59,SLM,7.39,7.59,7.11,7.34,4070166.0,2020-03-27
60,SLM,7.45,7.47,6.87,7.29,3838141.0,2020-03-30
61,SLM,7.45,7.47,7.03,7.19,4390177.0,2020-03-31
62,SLM,6.85,6.975,6.41,6.76,3876267.0,2020-04-01
63,SLM,6.81,6.99,6.48,6.67,2462832.0,2020-04-02
64,SLM,6.61,6.94,6.06,6.1,5797937.0,2020-04-03
65,SLM,6.47,6.73,6.395,6.7,3433772.0,2020-04-06
66,SLM,7.18,7.565,6.7,6.72,5181318.0,2020-04-07
67,SLM,6.85,7.11,6.78,7.03,3646449.0,2020-04-08
68,SLM,7.3,7.54,7.105,7.19,4355155.0,2020-04-09
69,SLM,7.25,7.29,6.74,6.95,3873113.0,2020-04-13
70,SLM,6.8321,7.2499,6.73,6.84,4159466.0,2020-04-14
71,SLM,6.5,6.77,6.31,6.57,4484160.0,2020-04-15
72,SLM,6.33,6.58,6.115,6.55,3998026.0,2020-04-16
73,SLM,6.83,6.99,6.63,6.9,4780239.0,2020-04-17
74,SLM,6.65,7.1,6.59,6.83,4224374.0,2020-04-20
75,SLM,6.52,6.83,6.44,6.76,3653157.0,2020-04-21
76,SLM,6.91,6.99,6.7,6.84,4217372.0,2020-04-22
77,SLM,6.92,7.41,6.92,7.18,4870302.0,2020-04-23
78,SLM,7.21,7.51,7.2,7.45,4001504.0,2020-04-24
79,SLM,7.5,7.625,7.45,7.46,4375913.0,2020-04-27
80,SLM,7.7,7.8,7.48,7.64,3607304.0,2020-04-28
81,SLM,7.99,8.62,7.914,8.53,6378052.0,2020-04-29
82,SLM,8.36,8.55,8.21,8.34,3699019.0,2020-04-30
83,SLM,8.11,8.18,7.9504,8.09,2955688.0,2020-05-01
84,SLM,7.95,8.145,7.74,8.09,2616857.0,2020-05-04
85,SLM,8.21,8.34,8.01,8.06,2537024.0,2020-05-05
86,SLM,8.08,8.19,7.82,7.87,4209508.0,2020-05-06
87,SLM,7.99,8.13,7.82,7.85,3239413.0,2020-05-07
88,SLM,8.05,8.2,8.045,8.13,2255650.0,2020-05-08
89,SLM,8.06,8.08,7.89,7.975,4085872.0,2020-05-11
90,SLM,8.04,8.19,7.67,7.68,3338541.0,2020-05-12
91,SLM,7.56,7.84,7.285,7.29,5871906.0,2020-05-13
92,SLM,7.13,7.5,7.08,7.395,4369122.0,2020-05-14
