,ticker,open,high,low,close,volume,timestamp
0,SMHI,13.79,13.92,13.65,13.85,8087.0,2020-01-02
1,SMHI,14.1,14.1,13.66,13.75,65631.0,2020-01-03
2,SMHI,13.65,14.05,13.64,13.89,46078.0,2020-01-06
3,SMHI,13.8,13.84,13.5757,13.67,9178.0,2020-01-07
4,SMHI,13.75,13.75,13.35,13.36,7980.0,2020-01-08
5,SMHI,13.34,13.47,13.15,13.37,13038.0,2020-01-09
6,SMHI,13.33,13.33,13.02,13.08,19671.0,2020-01-10
7,SMHI,13.0,13.0,12.0,12.59,30366.0,2020-01-13
8,SMHI,12.52,12.86,12.31,12.63,13221.0,2020-01-14
9,SMHI,12.46,12.67,12.21,12.25,31072.0,2020-01-15
10,SMHI,12.32,12.94,12.06,12.65,25052.0,2020-01-16
11,SMHI,12.78,12.78,12.03,12.08,54966.0,2020-01-17
12,SMHI,11.9,12.16,11.81,12.15,33668.0,2020-01-21
13,SMHI,12.2,12.2,11.89,12.1,29633.0,2020-01-22
14,SMHI,11.86,12.03,11.69,11.8,40078.0,2020-01-23
15,SMHI,11.83,11.83,11.19,11.45,21523.0,2020-01-24
16,SMHI,11.11,11.22,10.64,10.67,25124.0,2020-01-27
17,SMHI,10.73,10.85,10.44,10.62,24863.0,2020-01-28
18,SMHI,10.61,10.7027,10.5,10.57,22146.0,2020-01-29
19,SMHI,10.4,10.66,10.4,10.58,42235.0,2020-01-30
20,SMHI,10.51,10.67,10.38,10.44,36741.0,2020-01-31
21,SMHI,10.47,10.63,9.71,9.82,30070.0,2020-02-03
22,SMHI,10.06,10.18,9.73,9.82,26980.0,2020-02-04
23,SMHI,10.06,10.06,9.41,9.52,22143.0,2020-02-05
24,SMHI,9.1,9.44,9.06,9.36,53076.0,2020-02-06
25,SMHI,9.34,9.34,9.03,9.06,23087.0,2020-02-07
26,SMHI,8.99,9.08,8.66,8.68,36617.0,2020-02-10
27,SMHI,8.75,8.99,8.75,8.93,13664.0,2020-02-11
28,SMHI,9.05,9.325,9.01,9.21,14615.0,2020-02-12
29,SMHI,9.23,9.4518,8.95,9.03,13989.0,2020-02-13
30,SMHI,9.0,9.0,8.7311,8.91,21342.0,2020-02-14
31,SMHI,8.88,8.88,8.63,8.66,6419.0,2020-02-18
32,SMHI,8.66,8.93,8.61,8.85,17495.0,2020-02-19
33,SMHI,8.84,8.97,8.81,8.85,20627.0,2020-02-20
34,SMHI,8.86,8.86,8.72,8.75,22863.0,2020-02-21
35,SMHI,8.66,8.7091,8.3,8.32,27057.0,2020-02-24
36,SMHI,8.3,8.35,7.79,7.85,31094.0,2020-02-25
37,SMHI,7.85,8.01,7.61,7.92,13495.0,2020-02-26
38,SMHI,7.67,8.16,7.67,7.77,29773.0,2020-02-27
39,SMHI,7.56,8.14,7.32,7.95,56188.0,2020-02-28
40,SMHI,7.96,8.19,7.73,8.13,27636.0,2020-03-02
41,SMHI,7.97,8.255,6.805,7.05,59705.0,2020-03-03
42,SMHI,7.5,8.0,7.28,8.0,37205.0,2020-03-04
43,SMHI,7.7,7.96,6.78,6.97,51144.0,2020-03-05
44,SMHI,6.12,7.36,6.12,7.28,53034.0,2020-03-06
45,SMHI,6.54,6.54,5.39,5.67,82867.0,2020-03-09
46,SMHI,5.76,6.38,5.26,6.23,107855.0,2020-03-10
47,SMHI,6.03,6.32,5.6,6.03,55594.0,2020-03-11
48,SMHI,5.6,6.61,5.6,5.96,81513.0,2020-03-12
49,SMHI,6.34,6.57,5.65,6.56,54811.0,2020-03-13
50,SMHI,6.0,6.29,5.47,5.73,61330.0,2020-03-16
51,SMHI,5.81,5.81,5.02,5.16,90662.0,2020-03-17
52,SMHI,5.0,5.11,4.1,4.14,92317.0,2020-03-18
53,SMHI,3.93,4.66,3.81,4.53,73561.0,2020-03-19
54,SMHI,4.53,4.79,3.3,3.73,176905.0,2020-03-20
55,SMHI,4.1,4.4987,3.15,3.66,107840.0,2020-03-23
56,SMHI,3.84,4.83,3.7535,4.62,72901.0,2020-03-24
57,SMHI,4.49,4.52,3.89,4.28,37358.0,2020-03-25
58,SMHI,4.4828,4.91,4.3027,4.81,25318.0,2020-03-26
59,SMHI,4.38,4.59,4.25,4.26,22905.0,2020-03-27
60,SMHI,4.26,4.315,3.69,3.81,43021.0,2020-03-30
61,SMHI,3.74,4.6,3.74,4.38,43948.0,2020-03-31
62,SMHI,4.35,4.38,3.6,3.63,38398.0,2020-04-01
63,SMHI,3.99,4.25,3.6,3.6,80566.0,2020-04-02
64,SMHI,3.54,4.02,3.45,3.94,61628.0,2020-04-03
65,SMHI,3.82,4.9,3.5827,4.79,75902.0,2020-04-06
66,SMHI,4.79,4.94,4.06,4.13,51208.0,2020-04-07
67,SMHI,4.16,4.495,4.04,4.14,28052.0,2020-04-08
68,SMHI,4.24,4.69,3.98,4.19,64264.0,2020-04-09
69,SMHI,4.19,4.29,3.71,3.72,37094.0,2020-04-13
70,SMHI,3.88,3.9621,3.74,3.82,39358.0,2020-04-14
71,SMHI,3.7,3.7,3.4,3.45,37597.0,2020-04-15
72,SMHI,3.46,3.47,2.95,3.03,43710.0,2020-04-16
73,SMHI,3.0,3.35,3.0,3.17,51582.0,2020-04-17
74,SMHI,3.17,3.17,2.835,2.97,71992.0,2020-04-20
75,SMHI,2.95,3.03,2.94,2.97,32002.0,2020-04-21
76,SMHI,3.05,3.151,2.9,3.05,41419.0,2020-04-22
77,SMHI,3.07,3.16,2.92,3.03,80440.0,2020-04-23
78,SMHI,3.1,3.14,2.97,3.05,41981.0,2020-04-24
79,SMHI,3.03,3.12,2.8394,3.01,61920.0,2020-04-27
80,SMHI,3.08,3.22,2.935,3.03,61858.0,2020-04-28
81,SMHI,3.18,3.77,3.17,3.32,134848.0,2020-04-29
82,SMHI,3.28,3.29,3.0,3.13,84818.0,2020-04-30
83,SMHI,3.06,3.19,2.97,2.99,94710.0,2020-05-01
84,SMHI,2.9,3.03,2.79,2.84,112172.0,2020-05-04
85,SMHI,2.97,3.0573,2.5363,2.61,124199.0,2020-05-05
86,SMHI,2.72,2.8,2.55,2.58,52042.0,2020-05-06
87,SMHI,2.68,2.68,2.32,2.39,89394.0,2020-05-07
88,SMHI,2.4,2.67,2.39,2.41,115962.0,2020-05-08
89,SMHI,2.35,2.4108,2.16,2.29,160253.0,2020-05-11
90,SMHI,2.31,2.36,2.07,2.09,188838.0,2020-05-12
91,SMHI,2.09,2.1201,1.93,1.95,150568.0,2020-05-13
92,SMHI,1.91,1.92,1.78,1.82,159533.0,2020-05-14
93,SMHI,1.9,1.92,1.85,1.87,165256.0,2020-05-15
94,SMHI,1.92,1.985,1.77,1.78,296423.0,2020-05-18
95,SMHI,1.8,1.8,1.55,1.56,648685.0,2020-05-19
96,SMHI,1.57,1.65,1.4701,1.5,572145.0,2020-05-20
97,SMHI,1.51,1.55,1.49,1.49,202305.0,2020-05-21
98,SMHI,1.56,1.64,1.48,1.54,1222103.0,2020-05-22
99,SMHI,1.59,1.6,1.53,1.57,825413.0,2020-05-26
100,SMHI,1.62,1.63,1.4927,1.51,876494.0,2020-05-27
101,SMHI,1.57,1.58,1.49,1.52,947806.0,2020-05-28
102,SMHI,1.6,1.6,1.46,1.55,1431824.0,2020-05-29
103,SMHI,1.57,1.57,1.5,1.5,521192.0,2020-06-01
104,SMHI,1.52,1.54,1.49,1.51,365841.0,2020-06-02
105,SMHI,1.55,1.97,1.5,1.82,2015129.0,2020-06-03
106,SMHI,1.97,2.63,1.85,2.45,2438029.0,2020-06-04
107,SMHI,2.99,3.4,2.69,3.31,2488125.0,2020-06-05
108,SMHI,3.64,5.0,3.63,4.79,1787346.0,2020-06-08
109,SMHI,4.5,4.65,3.56,4.39,830130.0,2020-06-09
110,SMHI,4.4,4.75,3.3301,3.93,987277.0,2020-06-10
111,SMHI,3.16,3.91,3.0,3.56,669195.0,2020-06-11
112,SMHI,4.01,4.06,3.36,3.43,559750.0,2020-06-12
113,SMHI,3.3,3.6473,3.04,3.54,456064.0,2020-06-15
114,SMHI,3.82,4.2,3.6,3.65,357883.0,2020-06-16
