,ticker,open,high,low,close,volume,timestamp
0,SN,30.05,52.9,30.05,42.31,1201396.0,2023-07-31
1,SN,38.49,44.19,36.0112,40.02,2013072.0,2023-08-01
2,SN,37.01,38.145,35.01,36.92,3612710.0,2023-08-02
3,SN,35.06,35.7,28.955,30.05,5977509.0,2023-08-03
4,SN,29.45,29.73,25.84,26.9,7847611.0,2023-08-04
5,SN,27.42,31.61,26.94,30.1,2581833.0,2023-08-07
6,SN,28.81,30.55,28.5,28.87,1663192.0,2023-08-08
7,SN,28.7,30.675,28.51,29.95,2375259.0,2023-08-09
8,SN,29.95,31.9675,29.95,31.33,945177.0,2023-08-10
9,SN,31.5,32.45,31.36,32.02,1497279.0,2023-08-11
10,SN,31.91,32.21,29.99,30.29,926575.0,2023-08-14
11,SN,29.67,31.54,29.42,31.17,1230287.0,2023-08-15
12,SN,30.73,31.04,29.48,30.3,1961131.0,2023-08-16
13,SN,30.09,31.69,29.95,31.22,647053.0,2023-08-17
14,SN,30.72,32.06,30.43,31.64,773362.0,2023-08-18
15,SN,31.59,32.23,31.32,31.94,969912.0,2023-08-21
16,SN,32.0,33.55,32.0,33.27,1304921.0,2023-08-22
17,SN,32.87,33.005,31.51,31.97,1573513.0,2023-08-23
18,SN,34.92,36.75,34.5,35.61,2235862.0,2023-08-24
19,SN,35.61,35.89,34.0,34.97,1328486.0,2023-08-25
20,SN,36.44,36.89,34.82,35.17,1123852.0,2023-08-28
21,SN,35.15,35.55,34.25,35.12,891038.0,2023-08-29
22,SN,35.12,35.8,34.67,35.33,758597.0,2023-08-30
23,SN,35.0,36.325,33.78,34.92,1127363.0,2023-08-31
24,SN,34.92,36.415,34.81,36.09,761070.0,2023-09-01
25,SN,36.25,37.03,35.1,35.43,1804700.0,2023-09-05
26,SN,35.17,35.4792,34.3,34.67,999549.0,2023-09-06
27,SN,34.2,34.5,33.7,33.9,1574156.0,2023-09-07
28,SN,33.8,36.0799,33.08,35.02,1644844.0,2023-09-08
29,SN,37.0,40.84,36.76,40.5,4789777.0,2023-09-11
30,SN,40.0,41.82,39.8,41.71,1634633.0,2023-09-12
31,SN,41.67,42.08,39.42,40.17,2564328.0,2023-09-13
32,SN,40.02,41.05,39.78,40.02,1035894.0,2023-09-14
33,SN,40.0,41.33,39.66,40.71,1606757.0,2023-09-15
34,SN,40.49,41.89,40.05,41.89,985479.0,2023-09-18
35,SN,41.55,43.12,40.68,43.0,1319884.0,2023-09-19
36,SN,42.81,44.81,42.81,44.44,1889372.0,2023-09-20
37,SN,43.78,44.66,41.73,43.97,1560783.0,2023-09-21
38,SN,43.97,44.98,43.78,43.78,1348727.0,2023-09-22
39,SN,43.43,43.47,41.76,42.45,979108.0,2023-09-25
40,SN,42.25,43.21,42.01,43.0,682239.0,2023-09-26
41,SN,44.46,46.04,43.86,45.5,1678455.0,2023-09-27
42,SN,45.5,45.5,44.55,44.93,1060409.0,2023-09-28
43,SN,45.06,46.6,44.79,46.36,709033.0,2023-09-29
44,SN,46.52,46.6,45.71,46.5,743437.0,2023-10-02
45,SN,46.28,46.32,44.8,45.24,830908.0,2023-10-03
46,SN,45.0,45.305,44.38,45.07,568860.0,2023-10-04
47,SN,45.19,45.3,44.445,44.63,601083.0,2023-10-05
48,SN,43.86,45.0299,43.53,44.47,314006.0,2023-10-06
49,SN,44.24,45.24,43.51,44.25,384018.0,2023-10-09
50,SN,44.3,45.2,43.55,44.3,592542.0,2023-10-10
51,SN,43.99,44.48,43.43,44.06,579049.0,2023-10-11
52,SN,43.93,44.0,41.9501,42.3,446797.0,2023-10-12
53,SN,41.57,42.57,40.5747,41.47,686642.0,2023-10-13
54,SN,41.58,43.47,39.54,43.16,494159.0,2023-10-16
55,SN,42.74,44.02,42.63,43.54,298033.0,2023-10-17
56,SN,43.27,43.71,42.63,43.15,290429.0,2023-10-18
57,SN,43.15,43.57,42.42,42.95,370739.0,2023-10-19
58,SN,43.0,43.435,42.18,42.75,544437.0,2023-10-20
59,SN,42.31,42.94,41.38,41.38,483494.0,2023-10-23
60,SN,41.5,42.575,40.49,40.71,750652.0,2023-10-24
61,SN,41.95,41.96,40.2,40.68,916377.0,2023-10-25
62,SN,40.59,40.79,38.69,40.48,851178.0,2023-10-26
63,SN,40.48,41.22,40.12,40.25,340744.0,2023-10-27
64,SN,40.65,41.84,40.59,41.49,316435.0,2023-10-30
65,SN,41.26,42.42,40.83,41.76,460991.0,2023-10-31
66,SN,41.54,42.54,40.27,42.46,551885.0,2023-11-01
67,SN,43.21,44.85,42.9,44.14,593622.0,2023-11-02
68,SN,44.55,46.085,44.27,45.64,535561.0,2023-11-03
69,SN,45.84,46.32,44.71,45.76,607354.0,2023-11-06
70,SN,45.7,46.6973,45.17,46.27,599116.0,2023-11-07
71,SN,46.25,46.33,43.58,44.0,1551486.0,2023-11-08
72,SN,44.5,44.99,41.26,43.62,2238066.0,2023-11-09
73,SN,43.66,43.82,42.14,42.91,584513.0,2023-11-10
74,SN,42.92,42.92,41.12,42.14,1036273.0,2023-11-13
75,SN,42.9,44.57,42.74,43.18,2228152.0,2023-11-14
76,SN,43.2,45.01,42.905,44.0,2838773.0,2023-11-15
77,SN,44.15,44.31,43.25,43.98,1329355.0,2023-11-16
78,SN,44.2,46.0,43.31,46.0,1063572.0,2023-11-17
79,SN,46.21,47.0,44.97,45.91,659262.0,2023-11-20
80,SN,45.7,47.08,45.2191,46.3,628196.0,2023-11-21
81,SN,46.49,48.66,46.3986,47.4,1087595.0,2023-11-22
82,SN,47.75,48.0,46.71,47.79,377560.0,2023-11-24
83,SN,47.26,47.5999,45.69,46.63,1330898.0,2023-11-27
84,SN,47.15,49.4899,46.22,48.9,1173537.0,2023-11-28
85,SN,49.0,49.25,46.5,46.52,1605993.0,2023-11-29
86,SN,46.08,47.2986,45.35,47.0,749093.0,2023-11-30
87,SN,46.93,49.05,46.6,49.01,1220003.0,2023-12-01
88,SN,46.6,47.785,45.87,46.64,762655.0,2023-12-04
89,SN,46.08,48.66,45.7,48.46,1226679.0,2023-12-05
90,SN,49.32,50.12,46.79,47.41,3909508.0,2023-12-06
91,SN,47.24,48.4,47.0,47.71,1372271.0,2023-12-07
92,SN,47.87,47.99,46.9,47.58,945736.0,2023-12-08
93,SN,47.4,48.12,47.06,47.65,801482.0,2023-12-11
94,SN,47.5,47.78,46.66,47.28,586755.0,2023-12-12
95,SN,47.3,48.47,46.85,48.46,724016.0,2023-12-13
96,SN,48.61,50.89,48.55,50.0,2236982.0,2023-12-14
97,SN,50.29,50.3,48.76,49.17,1051456.0,2023-12-15
98,SN,49.36,50.23,48.6453,50.12,1042412.0,2023-12-18
99,SN,50.33,51.78,49.94,51.34,1024327.0,2023-12-19
