,ticker,open,high,low,close,volume,timestamp
0,SPWH,8.07,8.0702,7.58,7.635,1768177.0,2020-01-02
1,SPWH,7.53,7.82,7.48,7.65,1677150.0,2020-01-03
2,SPWH,7.67,8.24,7.67,8.22,2126398.0,2020-01-06
3,SPWH,8.22,8.67,8.16,8.44,1717263.0,2020-01-07
4,SPWH,8.51,8.905,8.41,8.64,1414884.0,2020-01-08
5,SPWH,8.63,8.6846,7.92,7.98,2166916.0,2020-01-09
6,SPWH,7.07,7.13,6.6,6.63,5748668.0,2020-01-10
7,SPWH,6.66,6.73,6.31,6.35,2589164.0,2020-01-13
8,SPWH,6.4,6.47,6.24,6.295,2103114.0,2020-01-14
9,SPWH,6.25,6.52,6.2,6.35,1839765.0,2020-01-15
10,SPWH,6.5,6.64,6.38,6.52,1041041.0,2020-01-16
11,SPWH,6.6,6.79,6.5,6.72,1531023.0,2020-01-17
12,SPWH,6.61,6.81,6.46,6.52,1608638.0,2020-01-21
13,SPWH,6.52,6.58,6.17,6.25,1089683.0,2020-01-22
14,SPWH,6.22,6.46,6.2,6.37,984196.0,2020-01-23
15,SPWH,6.38,6.52,6.36,6.46,834560.0,2020-01-24
16,SPWH,6.33,6.5,6.2848,6.44,705878.0,2020-01-27
17,SPWH,6.47,6.5,6.31,6.42,570486.0,2020-01-28
18,SPWH,6.42,6.59,6.4,6.58,859356.0,2020-01-29
19,SPWH,6.55,6.56,6.445,6.54,758026.0,2020-01-30
20,SPWH,6.5,6.555,6.445,6.48,658263.0,2020-01-31
21,SPWH,6.48,6.535,6.27,6.27,786701.0,2020-02-03
22,SPWH,6.33,6.418,5.9,5.97,2103574.0,2020-02-04
23,SPWH,6.02,6.37,5.88,6.34,1265327.0,2020-02-05
24,SPWH,6.37,6.45,6.25,6.37,786141.0,2020-02-06
25,SPWH,6.29,6.29,6.115,6.17,862282.0,2020-02-07
26,SPWH,6.17,6.27,6.12,6.19,849643.0,2020-02-10
27,SPWH,6.19,6.34,6.16,6.3,1129823.0,2020-02-11
28,SPWH,6.36,6.515,6.25,6.5,460209.0,2020-02-12
29,SPWH,6.48,6.69,6.4493,6.65,623562.0,2020-02-13
30,SPWH,6.67,6.69,6.565,6.58,326694.0,2020-02-14
31,SPWH,6.53,6.64,6.46,6.51,552261.0,2020-02-18
32,SPWH,6.55,6.55,6.24,6.4,1072923.0,2020-02-19
33,SPWH,6.41,6.565,6.39,6.52,610851.0,2020-02-20
34,SPWH,6.52,6.58,6.39,6.53,461596.0,2020-02-21
35,SPWH,6.43,6.45,6.11,6.12,586746.0,2020-02-24
36,SPWH,6.14,6.265,6.01,6.03,819642.0,2020-02-25
37,SPWH,6.03,6.12,5.95,6.05,855099.0,2020-02-26
38,SPWH,5.95,6.14,5.68,6.07,982540.0,2020-02-27
39,SPWH,5.99,6.12,5.875,6.0,1013745.0,2020-02-28
40,SPWH,6.03,6.05,5.655,5.88,1173360.0,2020-03-02
41,SPWH,5.9,5.92,5.8,5.86,1265028.0,2020-03-03
42,SPWH,5.93,6.29,5.88,6.26,780515.0,2020-03-04
43,SPWH,6.17,6.22,5.88,5.96,511894.0,2020-03-05
44,SPWH,5.83,5.955,5.59,5.65,618461.0,2020-03-06
45,SPWH,5.18,5.5,5.01,5.04,547842.0,2020-03-09
46,SPWH,5.26,5.29,4.83,5.0,875909.0,2020-03-10
47,SPWH,4.85,4.95,4.605,4.82,1235693.0,2020-03-11
48,SPWH,4.57,4.7,4.28,4.3,1017177.0,2020-03-12
49,SPWH,4.5,4.83,4.35,4.58,1217060.0,2020-03-13
50,SPWH,4.18,5.1,4.08,4.88,1115450.0,2020-03-16
51,SPWH,5.0,5.81,4.99,5.76,1683556.0,2020-03-17
52,SPWH,5.75,6.54,5.235,5.62,2220204.0,2020-03-18
53,SPWH,5.63,6.34,5.49,5.99,1938012.0,2020-03-19
54,SPWH,5.87,5.96,4.95,5.1,1722029.0,2020-03-20
55,SPWH,5.03,5.95,4.98,5.58,1100731.0,2020-03-23
56,SPWH,5.83,6.23,5.41,5.63,982001.0,2020-03-24
57,SPWH,5.65,5.96,5.502,5.63,718771.0,2020-03-25
58,SPWH,5.69,5.81,5.53,5.61,955946.0,2020-03-26
59,SPWH,6.19,6.19,5.31,5.96,1590504.0,2020-03-27
60,SPWH,6.09,6.46,5.818,6.24,1412375.0,2020-03-30
61,SPWH,6.22,6.48,6.05,6.16,1322204.0,2020-03-31
62,SPWH,6.02,6.16,5.52,5.63,1014168.0,2020-04-01
63,SPWH,5.57,5.87,5.555,5.85,802576.0,2020-04-02
64,SPWH,5.81,5.87,5.46,5.5,710002.0,2020-04-03
65,SPWH,5.71,6.43,5.7,6.38,764108.0,2020-04-06
66,SPWH,6.56,6.62,5.91,5.99,681661.0,2020-04-07
