,ticker,open,high,low,close,volume,timestamp
0,SRG,40.23,40.28,38.67,39.21,250616.0,2020-01-02
1,SRG,38.88,39.52,38.83,39.27,111185.0,2020-01-03
2,SRG,39.05,39.79,38.92,39.58,106881.0,2020-01-06
3,SRG,39.33,39.72,39.18,39.51,113924.0,2020-01-07
4,SRG,39.5,39.75,39.405,39.71,122283.0,2020-01-08
5,SRG,39.68,39.83,39.36,39.54,116932.0,2020-01-09
6,SRG,39.56,39.56,38.86,39.32,206219.0,2020-01-10
7,SRG,39.32,39.97,39.25,39.6,160603.0,2020-01-13
8,SRG,39.55,40.19,39.3,40.0,115920.0,2020-01-14
9,SRG,39.99,40.36,39.07,39.64,377136.0,2020-01-15
10,SRG,39.6,40.345,39.6,40.13,119109.0,2020-01-16
11,SRG,40.37,40.61,40.13,40.5,206314.0,2020-01-17
12,SRG,40.45,40.63,39.8008,39.92,263478.0,2020-01-21
13,SRG,39.74,39.93,39.23,39.31,170653.0,2020-01-22
14,SRG,39.04,40.01,38.885,39.75,183527.0,2020-01-23
15,SRG,39.61,40.14,39.54,39.86,191878.0,2020-01-24
16,SRG,39.62,39.62,38.89,39.1,234358.0,2020-01-27
17,SRG,39.23,39.485,39.13,39.33,139728.0,2020-01-28
18,SRG,39.34,39.49,39.075,39.35,106477.0,2020-01-29
19,SRG,39.0,39.19,37.76,37.84,392564.0,2020-01-30
20,SRG,37.72,37.72,36.54,36.72,420138.0,2020-01-31
21,SRG,36.79,37.19,36.46,37.13,269184.0,2020-02-03
22,SRG,37.41,38.67,37.25,38.28,144020.0,2020-02-04
23,SRG,38.5,38.57,38.12,38.32,189950.0,2020-02-05
24,SRG,38.59,38.595,38.16,38.38,160566.0,2020-02-06
25,SRG,38.37,38.43,37.94,38.02,122772.0,2020-02-07
26,SRG,38.37,38.51,38.08,38.37,108628.0,2020-02-10
27,SRG,38.61,39.23,38.53,38.57,101830.0,2020-02-11
28,SRG,38.8,38.91,38.355,38.41,135050.0,2020-02-12
29,SRG,38.41,38.6,37.5,37.73,240984.0,2020-02-13
30,SRG,37.73,37.94,37.47,37.72,166122.0,2020-02-14
31,SRG,37.75,37.75,37.41,37.7,108830.0,2020-02-18
32,SRG,37.6,37.77,37.05,37.07,144481.0,2020-02-19
33,SRG,37.13,38.22,37.13,38.01,136141.0,2020-02-20
34,SRG,38.04,38.31,37.71,37.93,110762.0,2020-02-21
35,SRG,37.15,37.32,36.75,37.23,100327.0,2020-02-24
36,SRG,37.24,37.24,36.11,36.14,157239.0,2020-02-25
37,SRG,36.22,36.23,35.55,35.93,167129.0,2020-02-26
38,SRG,35.65,36.61,34.76,35.0,536560.0,2020-02-27
39,SRG,34.31,35.18,33.6,34.38,701371.0,2020-02-28
40,SRG,34.45,34.76,33.16,33.44,418015.0,2020-03-02
41,SRG,33.48,34.0153,31.55,32.21,446568.0,2020-03-03
42,SRG,32.27,33.04,31.56,32.3,244629.0,2020-03-04
43,SRG,31.7,31.895,29.28,30.4,622714.0,2020-03-05
44,SRG,29.7,31.29,29.7,30.99,402352.0,2020-03-06
45,SRG,28.58,28.73,25.25,27.37,858107.0,2020-03-09
46,SRG,27.92,28.8,26.77,28.8,484950.0,2020-03-10
47,SRG,28.13,28.19,25.41,25.57,1340665.0,2020-03-11
48,SRG,23.99,24.0,20.89,21.57,1476575.0,2020-03-12
49,SRG,22.57,22.754,20.26,22.09,935609.0,2020-03-13
50,SRG,19.9,20.11,15.95,16.2,953523.0,2020-03-16
51,SRG,16.41,16.7114,12.74,13.12,1736291.0,2020-03-17
52,SRG,12.46,12.6,5.0,7.43,3093034.0,2020-03-18
53,SRG,7.85,9.4575,7.5606,8.51,1939199.0,2020-03-19
54,SRG,8.86,9.44,6.05,6.49,2417125.0,2020-03-20
55,SRG,6.53,7.22,6.27,7.19,1266137.0,2020-03-23
56,SRG,7.69,8.815,7.68,8.45,1052588.0,2020-03-24
57,SRG,8.75,12.85,8.75,11.17,1974430.0,2020-03-25
58,SRG,11.36,12.38,8.1501,8.85,2115888.0,2020-03-26
59,SRG,8.91,9.0,7.34,8.03,2015653.0,2020-03-27
60,SRG,7.99,8.06,6.7506,7.08,2990808.0,2020-03-30
61,SRG,7.09,9.26,6.9306,9.11,1659469.0,2020-03-31
62,SRG,8.47,8.47,7.0,7.3,1850630.0,2020-04-01
63,SRG,7.19,7.88,7.06,7.61,719813.0,2020-04-02
64,SRG,7.56,7.71,6.26,6.68,1653710.0,2020-04-03
65,SRG,7.11,7.75,7.11,7.61,1239539.0,2020-04-06
66,SRG,8.3,9.77,7.825,8.22,1558242.0,2020-04-07
67,SRG,8.5,9.95,8.4,9.47,2157044.0,2020-04-08
68,SRG,9.9,16.19,9.872,11.67,7745223.0,2020-04-09
69,SRG,12.66,13.81,10.4206,11.38,1686351.0,2020-04-13
70,SRG,12.36,12.64,10.83,11.18,1101439.0,2020-04-14
71,SRG,10.5,10.61,9.6,9.8,1872339.0,2020-04-15
72,SRG,9.7,9.8326,8.1,8.73,1820944.0,2020-04-16
73,SRG,9.6,11.23,9.25,9.95,2009797.0,2020-04-17
74,SRG,9.27,9.709,8.31,8.32,2553793.0,2020-04-20
75,SRG,8.01,9.16,7.765,9.08,2316044.0,2020-04-21
76,SRG,9.32,9.49,8.27,8.28,1369813.0,2020-04-22
77,SRG,8.36,9.03,8.25,8.57,1126789.0,2020-04-23
78,SRG,8.6,8.99,8.25,8.82,1191973.0,2020-04-24
79,SRG,9.0,9.98,8.9702,9.54,1421865.0,2020-04-27
80,SRG,10.17,10.9,9.81,10.54,1354519.0,2020-04-28
81,SRG,11.59,11.74,10.6398,11.59,1653973.0,2020-04-29
82,SRG,11.03,11.05,10.42,10.58,1065961.0,2020-04-30
83,SRG,10.08,10.29,9.0,9.01,1096652.0,2020-05-01
84,SRG,8.6,8.95,7.925,8.61,1835940.0,2020-05-04
85,SRG,8.97,9.49,8.26,8.34,1657319.0,2020-05-05
86,SRG,8.54,8.84,7.68,7.91,1876416.0,2020-05-06
87,SRG,8.0,8.49,7.83,8.09,997132.0,2020-05-07
88,SRG,8.45,9.42,7.62,8.16,3165214.0,2020-05-08
89,SRG,7.93,8.44,7.31,8.14,2072126.0,2020-05-11
90,SRG,8.41,8.59,7.66,7.67,1168855.0,2020-05-12
91,SRG,7.56,7.7,6.61,6.67,2090892.0,2020-05-13
92,SRG,6.5,6.9399,6.03,6.79,1548828.0,2020-05-14
93,SRG,6.67,7.08,6.3,6.92,1741235.0,2020-05-15
94,SRG,7.36,7.69,7.05,7.51,1461810.0,2020-05-18
95,SRG,7.46,7.55,6.96,7.14,1074626.0,2020-05-19
