,ticker,open,high,low,close,volume,timestamp
0,SSYS,20.49,20.4975,19.925,20.14,308148.0,2020-01-02
1,SSYS,19.8,20.03,19.72,19.76,310596.0,2020-01-03
2,SSYS,19.5,19.83,19.22,19.74,478268.0,2020-01-06
3,SSYS,19.7,20.15,19.51,20.06,423608.0,2020-01-07
4,SSYS,20.12,21.34,20.12,20.925,711389.0,2020-01-08
5,SSYS,20.9,21.13,20.39,20.51,416486.0,2020-01-09
6,SSYS,20.54,20.58,20.0601,20.5,339388.0,2020-01-10
7,SSYS,20.73,21.34,20.42,21.22,731549.0,2020-01-13
8,SSYS,21.22,21.45,20.6701,21.015,531489.0,2020-01-14
9,SSYS,21.12,21.79,20.95,21.07,579787.0,2020-01-15
10,SSYS,21.13,21.91,20.9079,21.89,708115.0,2020-01-16
11,SSYS,21.95,22.21,21.57,21.77,602195.0,2020-01-17
12,SSYS,21.95,21.9562,21.45,21.77,595608.0,2020-01-21
13,SSYS,21.78,22.04,21.65,21.67,396516.0,2020-01-22
14,SSYS,21.65,21.97,21.16,21.6,480707.0,2020-01-23
15,SSYS,21.62,21.81,20.02,20.09,891724.0,2020-01-24
16,SSYS,19.68,19.87,18.94,19.58,817654.0,2020-01-27
17,SSYS,19.69,20.03,19.32,19.4,725461.0,2020-01-28
18,SSYS,19.32,19.389,18.8,19.0,761883.0,2020-01-29
19,SSYS,18.68,18.98,18.43,18.88,571769.0,2020-01-30
20,SSYS,18.81,18.81,17.93,17.98,1044835.0,2020-01-31
21,SSYS,18.19,19.1499,18.03,18.92,731749.0,2020-02-03
22,SSYS,19.31,19.81,19.21,19.27,563429.0,2020-02-04
23,SSYS,19.62,19.7338,19.195,19.48,689201.0,2020-02-05
24,SSYS,19.64,19.64,18.93,18.98,539191.0,2020-02-06
25,SSYS,18.95,18.98,18.22,18.595,463719.0,2020-02-07
26,SSYS,18.29,18.81,18.29,18.74,453771.0,2020-02-10
27,SSYS,18.85,19.7,18.74,19.7,579432.0,2020-02-11
28,SSYS,19.96,21.0,19.9564,20.55,702518.0,2020-02-12
29,SSYS,20.34,20.47,19.91,20.39,527970.0,2020-02-13
30,SSYS,20.34,20.34,19.68,19.77,451102.0,2020-02-14
31,SSYS,19.67,20.4,19.54,20.29,494788.0,2020-02-18
32,SSYS,20.4,20.58,19.97,20.18,500599.0,2020-02-19
33,SSYS,20.18,20.65,20.13,20.61,750308.0,2020-02-20
34,SSYS,20.54,20.55,19.8,20.21,557464.0,2020-02-21
35,SSYS,19.3,19.66,19.09,19.13,489613.0,2020-02-24
36,SSYS,19.25,19.59,18.22,18.26,840445.0,2020-02-25
37,SSYS,18.15,18.3279,16.9,17.44,2021891.0,2020-02-26
38,SSYS,16.95,17.01,15.123,15.15,1746800.0,2020-02-27
39,SSYS,15.1,16.34,14.93,16.0,1174460.0,2020-02-28
40,SSYS,16.03,16.39,15.49,16.055,1084607.0,2020-03-02
41,SSYS,16.1,16.98,15.38,15.72,729731.0,2020-03-03
42,SSYS,16.06,16.23,15.34,16.21,567804.0,2020-03-04
43,SSYS,15.7,15.99,15.0,15.3,756229.0,2020-03-05
44,SSYS,14.9,15.595,14.65,14.99,685935.0,2020-03-06
45,SSYS,14.01,14.41,13.5001,14.08,970094.0,2020-03-09
46,SSYS,14.72,15.04,14.0,14.59,865973.0,2020-03-10
47,SSYS,14.07,14.84,13.79,14.16,932977.0,2020-03-11
48,SSYS,12.37,14.25,12.18,13.02,1097122.0,2020-03-12
49,SSYS,13.8,14.55,12.96,14.5,1001575.0,2020-03-13
50,SSYS,12.9,14.24,12.25,13.94,1020753.0,2020-03-16
51,SSYS,14.14,16.9927,13.72,15.94,1582909.0,2020-03-17
52,SSYS,14.79,15.43,13.9,15.3,912079.0,2020-03-18
53,SSYS,15.95,17.34,15.8,16.68,1286074.0,2020-03-19
54,SSYS,17.44,17.45,16.75,17.14,1666145.0,2020-03-20
55,SSYS,17.17,17.89,16.47,16.58,1245970.0,2020-03-23
56,SSYS,17.09,17.3,14.9,15.31,1044914.0,2020-03-24
57,SSYS,15.43,16.48,15.0301,15.55,824224.0,2020-03-25
58,SSYS,15.74,16.69,15.64,16.59,592499.0,2020-03-26
59,SSYS,15.75,16.4162,15.0847,15.62,856329.0,2020-03-27
60,SSYS,16.03,16.43,15.28,15.7,616507.0,2020-03-30
61,SSYS,15.72,16.5099,15.57,15.95,994260.0,2020-03-31
62,SSYS,15.46,15.74,13.9,14.06,1114925.0,2020-04-01
63,SSYS,13.98,14.37,13.61,14.16,959259.0,2020-04-02
64,SSYS,14.2,14.7599,13.5,13.79,846105.0,2020-04-03
65,SSYS,14.46,16.1,14.31,16.0,845620.0,2020-04-06
66,SSYS,16.3,16.47,14.64,14.8,824351.0,2020-04-07
67,SSYS,15.1,15.65,14.76,15.58,603184.0,2020-04-08
68,SSYS,15.77,16.6,15.65,16.59,656670.0,2020-04-09
69,SSYS,16.59,16.6,15.72,16.08,567420.0,2020-04-13
70,SSYS,16.63,16.76,16.3,16.49,296517.0,2020-04-14
71,SSYS,15.87,16.01,15.425,15.63,444281.0,2020-04-15
72,SSYS,15.79,15.99,15.4107,15.93,357138.0,2020-04-16
73,SSYS,16.34,16.87,16.04,16.73,420668.0,2020-04-17
74,SSYS,16.4,17.81,16.35,17.11,601052.0,2020-04-20
75,SSYS,16.76,16.99,16.03,16.11,506812.0,2020-04-21
76,SSYS,16.54,16.64,15.84,15.97,561778.0,2020-04-22
77,SSYS,15.91,16.6,15.83,16.1,900295.0,2020-04-23
78,SSYS,16.28,16.39,15.6614,16.09,549101.0,2020-04-24
