,ticker,open,high,low,close,volume,timestamp
0,STHO,18.03,19.5,16.95,17.39,4507106.0,2023-03-31
1,STHO,17.8,18.62,17.62,18.3,641360.0,2023-04-03
2,STHO,17.67,19.575,17.67,18.1,519457.0,2023-04-04
3,STHO,17.74,18.17,16.77,17.13,719035.0,2023-04-05
4,STHO,16.91,18.0,16.75,17.73,538481.0,2023-04-06
5,STHO,17.35,18.49,17.14,17.76,614084.0,2023-04-10
6,STHO,17.76,18.28,17.48,17.6,366121.0,2023-04-11
7,STHO,17.67,17.84,16.99,17.01,290715.0,2023-04-12
8,STHO,17.1,17.7,16.45,16.57,336772.0,2023-04-13
9,STHO,16.53,16.81,15.67,15.87,730106.0,2023-04-14
10,STHO,15.93,17.08,15.93,17.0,231819.0,2023-04-17
11,STHO,16.8,17.2,16.58,17.05,151296.0,2023-04-18
12,STHO,17.08,17.7,16.82,17.15,150315.0,2023-04-19
13,STHO,16.97,16.99,16.75,16.9,92639.0,2023-04-20
14,STHO,16.83,17.085,16.66,16.93,142558.0,2023-04-21
15,STHO,16.98,17.16,16.66,17.13,86984.0,2023-04-24
16,STHO,16.67,16.99,16.35,16.45,159182.0,2023-04-25
17,STHO,16.2,16.61,15.87,15.93,69634.0,2023-04-26
18,STHO,15.93,16.445,15.93,16.13,59203.0,2023-04-27
19,STHO,15.97,16.25,15.95,16.14,68877.0,2023-04-28
20,STHO,15.95,16.1625,15.575,15.69,94060.0,2023-05-01
21,STHO,15.41,15.815,15.37,15.49,100394.0,2023-05-02
22,STHO,15.49,16.0919,15.49,15.62,101203.0,2023-05-03
23,STHO,15.33,16.08,15.33,16.04,98886.0,2023-05-04
24,STHO,16.08,16.74,15.885,16.49,126102.0,2023-05-05
25,STHO,16.31,16.63,16.125,16.6,26086.0,2023-05-08
26,STHO,16.46,17.04,16.0003,16.57,70876.0,2023-05-09
27,STHO,16.79,17.045,16.45,16.71,40629.0,2023-05-10
28,STHO,16.39,16.76,16.39,16.71,70216.0,2023-05-11
29,STHO,16.58,16.7983,16.32,16.71,45710.0,2023-05-12
30,STHO,16.57,16.97,16.55,16.87,93860.0,2023-05-15
31,STHO,16.72,17.065,16.22,16.3,96795.0,2023-05-16
32,STHO,16.24,16.69,15.95,16.5,60291.0,2023-05-17
33,STHO,16.34,16.525,16.34,16.43,22243.0,2023-05-18
34,STHO,16.67,16.67,16.16,16.29,31179.0,2023-05-19
35,STHO,16.26,16.47,15.76,16.32,495232.0,2023-05-22
36,STHO,16.04,16.44,15.91,16.01,138803.0,2023-05-23
37,STHO,15.99,16.15,15.25,15.29,72601.0,2023-05-24
38,STHO,15.26,15.26,14.4,14.81,149385.0,2023-05-25
39,STHO,14.69,15.13,14.55,15.03,54578.0,2023-05-26
40,STHO,15.11,15.589,15.04,15.38,57229.0,2023-05-30
41,STHO,15.26,16.0,15.23,15.5,125465.0,2023-05-31
42,STHO,15.5,15.9,15.23,15.59,43127.0,2023-06-01
43,STHO,15.78,16.15,15.78,16.1,41242.0,2023-06-02
44,STHO,15.92,15.92,14.81,15.03,76869.0,2023-06-05
45,STHO,14.93,15.42,14.93,15.14,66985.0,2023-06-06
46,STHO,14.85,15.72,14.85,15.65,70896.0,2023-06-07
47,STHO,15.66,15.66,15.2,15.49,35044.0,2023-06-08
48,STHO,15.33,15.63,15.03,15.23,65513.0,2023-06-09
49,STHO,15.1,15.2,14.87,15.03,86976.0,2023-06-12
50,STHO,15.06,15.27,14.59,14.6,78286.0,2023-06-13
51,STHO,14.61,14.83,14.01,14.21,189569.0,2023-06-14
52,STHO,14.13,14.21,13.83,14.15,131599.0,2023-06-15
53,STHO,14.33,14.33,13.91,14.03,217343.0,2023-06-16
54,STHO,13.96,14.03,13.63,13.95,201842.0,2023-06-20
55,STHO,13.87,13.96,13.5575,13.89,127713.0,2023-06-21
56,STHO,13.71,13.875,13.4,13.56,73806.0,2023-06-22
57,STHO,13.45,13.57,13.15,13.34,221349.0,2023-06-23
58,STHO,13.46,14.0,13.3,13.84,73894.0,2023-06-26
59,STHO,13.37,14.12,13.37,13.96,80714.0,2023-06-27
60,STHO,13.91,14.08,13.72,14.05,53174.0,2023-06-28
61,STHO,14.02,14.38,14.02,14.35,107230.0,2023-06-29
62,STHO,14.44,14.75,14.35,14.67,54836.0,2023-06-30
63,STHO,14.68,15.07,14.68,15.07,39281.0,2023-07-03
64,STHO,14.96,15.2891,14.75,15.1,67032.0,2023-07-05
65,STHO,14.83,15.06,14.08,14.92,118332.0,2023-07-06
66,STHO,14.84,15.42,14.66,15.23,140572.0,2023-07-07
67,STHO,15.24,15.41,15.07,15.3,45173.0,2023-07-10
68,STHO,15.3,15.7173,15.3,15.58,42703.0,2023-07-11
69,STHO,15.87,15.99,15.605,15.74,36442.0,2023-07-12
70,STHO,15.725,15.865,15.56,15.67,25703.0,2023-07-13
71,STHO,15.57,15.57,15.005,15.1,35552.0,2023-07-14
72,STHO,15.01,15.44,14.52,14.58,30743.0,2023-07-17
73,STHO,14.46,15.03,14.41,14.75,31778.0,2023-07-18
74,STHO,14.75,15.1522,14.75,15.1,49121.0,2023-07-19
75,STHO,14.96,15.1,14.64,15.0,41631.0,2023-07-20
76,STHO,15.07,15.22,14.955,15.06,30626.0,2023-07-21
77,STHO,15.08,15.36,14.99,15.29,20735.0,2023-07-24
78,STHO,15.27,15.63,15.16,15.51,63134.0,2023-07-25
79,STHO,15.4612,16.0,15.4612,15.77,41114.0,2023-07-26
80,STHO,15.73,15.845,15.45,15.51,38901.0,2023-07-27
81,STHO,15.58,15.71,15.46,15.55,25963.0,2023-07-28
82,STHO,15.75,15.84,15.5,15.59,184000.0,2023-07-31
83,STHO,15.39,15.44,14.91,15.32,34398.0,2023-08-01
84,STHO,15.18,15.425,14.81,14.845,55185.0,2023-08-02
85,STHO,14.67,15.059,14.57,15.04,27790.0,2023-08-03
86,STHO,15.07,15.29,14.65,14.86,21884.0,2023-08-04
87,STHO,14.86,15.11,14.605,14.99,16795.0,2023-08-07
88,STHO,14.2,14.35,13.56,13.73,139384.0,2023-08-08
89,STHO,13.88,13.88,13.37,13.6,97171.0,2023-08-09
90,STHO,13.71,14.0,13.47,13.76,41706.0,2023-08-10
91,STHO,13.48,13.78,13.01,13.66,66605.0,2023-08-11
92,STHO,13.34,13.65,13.2,13.5,134972.0,2023-08-14
93,STHO,13.31,13.52,13.14,13.45,27074.0,2023-08-15
94,STHO,13.56,13.65,13.2,13.25,22949.0,2023-08-16
95,STHO,13.37,13.6,13.12,13.21,27903.0,2023-08-17
96,STHO,13.04,13.41,13.01,13.22,26595.0,2023-08-18
97,STHO,13.07,13.41,12.92,13.35,30783.0,2023-08-21
98,STHO,13.35,13.67,13.35,13.46,134942.0,2023-08-22
99,STHO,13.5,13.81,13.465,13.73,29330.0,2023-08-23
100,STHO,13.59,13.75,13.46,13.53,51856.0,2023-08-24
101,STHO,13.55,13.92,13.34,13.57,42461.0,2023-08-25
102,STHO,13.49,13.72,13.4243,13.65,21241.0,2023-08-28
103,STHO,13.32,13.83,13.32,13.76,22663.0,2023-08-29
104,STHO,13.6,13.88,13.43,13.75,17633.0,2023-08-30
105,STHO,13.71,13.915,13.4987,13.62,25077.0,2023-08-31
106,STHO,13.73,13.76,13.54,13.54,12001.0,2023-09-01
107,STHO,13.47,13.47,12.81,12.81,80133.0,2023-09-05
108,STHO,12.76,12.9,12.56,12.77,66583.0,2023-09-06
109,STHO,12.71,13.03,12.71,12.98,43919.0,2023-09-07
110,STHO,12.95,13.0,12.67,12.77,172044.0,2023-09-08
111,STHO,12.79,12.82,12.36,12.39,101387.0,2023-09-11
112,STHO,12.49,13.48,12.305,12.46,30052.0,2023-09-12
113,STHO,12.52,12.78,12.47,12.49,73563.0,2023-09-13
114,STHO,12.69,12.82,12.575,12.71,28821.0,2023-09-14
115,STHO,12.63,12.746,12.39,12.45,285772.0,2023-09-15
116,STHO,12.43,12.43,12.04,12.22,36108.0,2023-09-18
117,STHO,12.12,12.68,12.12,12.29,192864.0,2023-09-19
118,STHO,12.36,12.82,12.36,12.47,40290.0,2023-09-20
119,STHO,12.29,12.57,12.02,12.13,90867.0,2023-09-21
120,STHO,12.15,12.42,12.06,12.32,104108.0,2023-09-22
121,STHO,12.2,12.74,12.13,12.69,130549.0,2023-09-25
122,STHO,12.54,12.68,12.46,12.62,78675.0,2023-09-26
123,STHO,12.6,12.765,12.11,12.47,57232.0,2023-09-27
124,STHO,12.61,12.61,12.18,12.42,35867.0,2023-09-28
125,STHO,12.45,12.58,12.33,12.52,25311.0,2023-09-29
126,STHO,12.5,12.55,11.69,11.98,89884.0,2023-10-02
127,STHO,11.99,12.335,11.69,11.91,89935.0,2023-10-03
128,STHO,11.81,12.16,11.722,12.12,56013.0,2023-10-04
129,STHO,12.1,12.1,11.75,11.86,101937.0,2023-10-05
130,STHO,11.73,12.02,11.6052,11.83,80499.0,2023-10-06
131,STHO,11.66,12.37,11.47,12.22,72232.0,2023-10-09
132,STHO,12.2,12.81,12.07,12.69,109920.0,2023-10-10
133,STHO,12.71,12.9475,12.69,12.72,38244.0,2023-10-11
134,STHO,12.67,12.67,12.2,12.31,38366.0,2023-10-12
135,STHO,11.66,12.32,11.66,12.0,46351.0,2023-10-13
136,STHO,11.87,12.44,11.87,12.37,110384.0,2023-10-16
137,STHO,12.45,12.47,12.12,12.19,73728.0,2023-10-17
138,STHO,11.861,11.92,11.65,11.69,51809.0,2023-10-18
139,STHO,11.54,11.74,11.42,11.47,40898.0,2023-10-19
140,STHO,11.47,11.52,11.28,11.28,44501.0,2023-10-20
141,STHO,11.13,11.34,11.0311,11.1,102883.0,2023-10-23
142,STHO,11.11,11.335,11.1,11.31,81526.0,2023-10-24
143,STHO,11.215,11.29,10.9,10.96,32879.0,2023-10-25
144,STHO,10.91,11.32,10.91,11.19,86225.0,2023-10-26
145,STHO,11.055,11.15,10.76,10.8,47854.0,2023-10-27
146,STHO,10.96,11.43,10.9,11.37,71021.0,2023-10-30
147,STHO,11.56,11.94,11.32,11.45,39231.0,2023-10-31
148,STHO,11.32,11.48,10.98,11.18,119602.0,2023-11-01
149,STHO,11.41,11.6,11.19,11.58,137066.0,2023-11-02
150,STHO,11.9,12.41,11.51,12.355,53363.0,2023-11-03
151,STHO,12.49,12.49,11.9619,12.18,53102.0,2023-11-06
152,STHO,12.23,12.34,11.69,11.83,74590.0,2023-11-07
153,STHO,12.15,12.15,11.1,11.47,93969.0,2023-11-08
154,STHO,11.54,11.54,10.96,11.16,109744.0,2023-11-09
155,STHO,11.29,11.35,10.9,11.28,70580.0,2023-11-10
156,STHO,11.31,11.31,10.935,11.06,85321.0,2023-11-13
157,STHO,11.42,12.54,11.42,12.5,110575.0,2023-11-14
158,STHO,12.59,12.99,12.385,12.51,58444.0,2023-11-15
159,STHO,12.54,12.54,12.03,12.09,35696.0,2023-11-16
160,STHO,12.15,12.19,11.905,12.03,45847.0,2023-11-17
161,STHO,12.14,12.28,12.1,12.23,26382.0,2023-11-20
162,STHO,12.07,12.235,11.76,12.02,48757.0,2023-11-21
163,STHO,12.1,12.52,11.2601,12.25,57143.0,2023-11-22
164,STHO,12.24,12.43,12.06,12.43,16762.0,2023-11-24
165,STHO,12.25,12.4,12.01,12.23,48072.0,2023-11-27
166,STHO,12.23,12.33,11.95,12.07,63360.0,2023-11-28
167,STHO,12.515,12.59,12.25,12.29,40485.0,2023-11-29
168,STHO,12.3,12.315,11.95,12.22,112492.0,2023-11-30
169,STHO,12.33,13.48,12.22,13.47,98297.0,2023-12-01
170,STHO,13.32,13.64,13.14,13.42,111500.0,2023-12-04
171,STHO,13.52,13.67,13.18,13.24,39307.0,2023-12-05
172,STHO,13.26,13.67,13.05,13.1,41950.0,2023-12-06
173,STHO,12.83,13.195,12.83,13.1,92362.0,2023-12-07
174,STHO,13.05,13.15,12.891,13.11,33827.0,2023-12-08
175,STHO,12.91,13.34,12.91,13.07,68961.0,2023-12-11
176,STHO,13.07,13.21,12.83,13.06,72046.0,2023-12-12
177,STHO,12.93,14.07,12.605,13.92,131984.0,2023-12-13
178,STHO,14.19,14.84,14.19,14.64,232330.0,2023-12-14
179,STHO,14.71,14.71,14.0,14.24,247114.0,2023-12-15
180,STHO,14.26,14.445,13.96,14.07,43642.0,2023-12-18
181,STHO,14.2,14.7,13.865,13.92,68407.0,2023-12-19
182,STHO,13.99,14.21,13.63,13.7,56405.0,2023-12-20
183,STHO,13.86,14.0,13.58,13.75,40796.0,2023-12-21
184,STHO,13.78,14.335,13.57,13.87,37818.0,2023-12-22
185,STHO,14.121,14.121,13.701,13.96,22947.0,2023-12-26
186,STHO,13.9754,14.52,13.7403,14.45,82158.0,2023-12-27
187,STHO,14.54,14.94,14.54,14.88,129781.0,2023-12-28
188,STHO,14.96,15.24,14.83,14.98,82324.0,2023-12-29
189,STHO,14.61,15.31,14.61,14.89,87201.0,2024-01-02
190,STHO,14.81,14.81,14.14,14.26,53565.0,2024-01-03
191,STHO,14.39,14.42,14.15,14.31,58772.0,2024-01-04
192,STHO,14.16,14.46,14.06,14.14,59031.0,2024-01-05
193,STHO,13.92,14.25,13.92,14.15,31717.0,2024-01-08
194,STHO,13.86,13.88,13.67,13.72,49087.0,2024-01-09
195,STHO,13.58,14.15,13.58,13.78,18147.0,2024-01-10
196,STHO,13.7,13.87,13.415,13.57,53977.0,2024-01-11
197,STHO,13.88,13.88,13.4,13.61,33505.0,2024-01-12
198,STHO,13.37,13.5,12.89,13.12,61355.0,2024-01-16
199,STHO,12.82,12.88,12.17,12.41,102557.0,2024-01-17
200,STHO,12.47,12.47,12.11,12.2,85854.0,2024-01-18
201,STHO,12.32,12.63,12.21,12.46,54418.0,2024-01-19
202,STHO,12.49,13.09,12.49,12.8,130213.0,2024-01-22
203,STHO,13.0,13.2,12.99,13.01,52771.0,2024-01-23
204,STHO,13.29,13.29,12.52,12.71,38956.0,2024-01-24
205,STHO,13.03,13.03,12.73,12.91,31486.0,2024-01-25
206,STHO,12.83,13.01,12.58,12.68,65482.0,2024-01-26
207,STHO,12.9442,12.9442,12.48,12.59,55288.0,2024-01-29
208,STHO,12.48,12.5,11.92,11.96,74085.0,2024-01-30
209,STHO,11.93,12.08,11.51,11.59,129640.0,2024-01-31
210,STHO,11.62,12.11,11.62,12.11,123481.0,2024-02-01
211,STHO,11.92,12.18,11.92,12.03,40703.0,2024-02-02
212,STHO,11.74,12.1,11.71,11.86,54069.0,2024-02-05
213,STHO,11.75,12.15,11.66,11.78,38878.0,2024-02-06
214,STHO,11.71,11.75,11.46,11.55,39597.0,2024-02-07
215,STHO,11.66,11.83,11.6498,11.72,27969.0,2024-02-08
216,STHO,11.69,11.94,11.685,11.84,53059.0,2024-02-09
217,STHO,12.17,12.25,11.98,11.99,59533.0,2024-02-12
218,STHO,11.51,11.8,11.44,11.56,86808.0,2024-02-13
219,STHO,11.65,11.95,11.58,11.85,57612.0,2024-02-14
220,STHO,11.9,12.66,11.9,12.49,109546.0,2024-02-15
221,STHO,12.28,12.4,12.19,12.25,39192.0,2024-02-16
222,STHO,12.19,12.33,12.02,12.1,38791.0,2024-02-20
223,STHO,12.04,12.365,11.96,12.31,98777.0,2024-02-21
224,STHO,12.25,12.35,12.02,12.05,39626.0,2024-02-22
225,STHO,11.9615,12.13,11.95,12.03,44088.0,2024-02-23
226,STHO,11.93,12.135,11.81,11.86,75504.0,2024-02-26
227,STHO,12.055,12.055,11.81,11.89,46112.0,2024-02-27
228,STHO,11.68,12.1,11.68,11.83,108779.0,2024-02-28
229,STHO,12.12,12.41,12.09,12.35,80150.0,2024-02-29
230,STHO,12.47,12.74,12.18,12.69,40970.0,2024-03-01
231,STHO,12.63,12.73,12.16,12.36,46871.0,2024-03-04
232,STHO,12.49,12.49,12.055,12.08,31207.0,2024-03-05
233,STHO,12.29,12.29,11.86,11.9,44817.0,2024-03-06
234,STHO,11.96,11.96,11.56,11.91,63749.0,2024-03-07
235,STHO,12.09,12.4,12.06,12.19,83444.0,2024-03-08
236,STHO,12.25,12.45,11.88,11.94,57190.0,2024-03-11
237,STHO,11.88,11.9,11.6,11.82,124173.0,2024-03-12
238,STHO,11.76,11.925,11.66,11.84,63318.0,2024-03-13
239,STHO,11.83,11.83,11.5,11.67,58005.0,2024-03-14
240,STHO,11.6,11.89,11.27,11.87,1121623.0,2024-03-15
241,STHO,12.01,12.25,11.81,12.1,61274.0,2024-03-18
242,STHO,12.11,12.35,12.11,12.28,76790.0,2024-03-19
243,STHO,12.29,13.11,12.29,12.99,70122.0,2024-03-20
244,STHO,13.16,13.5,13.01,13.1,57289.0,2024-03-21
245,STHO,13.2,13.38,12.84,12.84,57038.0,2024-03-22
246,STHO,12.89,12.95,12.56,12.62,36090.0,2024-03-25
247,STHO,12.63,12.715,12.4801,12.52,40279.0,2024-03-26
248,STHO,12.675,12.77,12.61,12.72,65195.0,2024-03-27
249,STHO,12.82,13.07,12.58,12.92,68504.0,2024-03-28
250,STHO,12.97,13.12,12.7,12.82,79738.0,2024-04-01
251,STHO,12.44,12.57,12.315,12.46,56045.0,2024-04-02
252,STHO,12.36,12.755,12.35,12.7,28268.0,2024-04-03
253,STHO,12.82,13.0,12.49,12.56,46752.0,2024-04-04
254,STHO,12.48,12.67,12.3,12.62,59802.0,2024-04-05
255,STHO,12.65,12.87,12.59,12.62,33405.0,2024-04-08
256,STHO,12.59,13.099,12.59,13.01,48937.0,2024-04-09
257,STHO,12.45,12.91,12.21,12.39,86143.0,2024-04-10
258,STHO,12.41,12.425,12.13,12.35,27397.0,2024-04-11
259,STHO,12.53,12.53,12.06,12.16,51609.0,2024-04-12
260,STHO,12.12,12.205,11.73,11.81,32006.0,2024-04-15
261,STHO,11.57,11.65,11.51,11.54,59547.0,2024-04-16
262,STHO,11.6,11.83,11.6,11.64,33169.0,2024-04-17
263,STHO,11.8,11.87,11.59,11.66,59004.0,2024-04-18
264,STHO,11.59,11.96,11.59,11.85,31639.0,2024-04-19
265,STHO,12.13,12.13,11.86,12.05,28077.0,2024-04-22
266,STHO,12.12,12.33,12.04,12.04,20832.0,2024-04-23
267,STHO,11.88,11.99,11.77,11.88,36567.0,2024-04-24
268,STHO,11.7,11.82,11.6,11.73,52089.0,2024-04-25
269,STHO,11.8,11.81,11.66,11.72,18510.0,2024-04-26
270,STHO,11.8,12.15,11.755,12.12,50555.0,2024-04-29
271,STHO,11.9,12.25,11.88,11.89,24541.0,2024-04-30
272,STHO,12.05,12.32,11.9775,12.11,21322.0,2024-05-01
273,STHO,12.37,12.48,12.115,12.36,17117.0,2024-05-02
274,STHO,12.695,12.79,12.43,12.63,16656.0,2024-05-03
275,STHO,12.835,12.835,12.56,12.64,14957.0,2024-05-06
276,STHO,13.0,13.32,12.9,13.12,26549.0,2024-05-07
277,STHO,13.1,13.32,12.91,12.96,22237.0,2024-05-08
278,STHO,12.95,13.51,12.95,13.39,31226.0,2024-05-09
279,STHO,13.22,13.22,12.37,13.13,26421.0,2024-05-10
280,STHO,13.0426,13.88,13.0426,13.33,26370.0,2024-05-13
281,STHO,13.6,13.6331,13.3508,13.62,20929.0,2024-05-14
282,STHO,13.72,13.93,13.59,13.855,51748.0,2024-05-15
283,STHO,13.315,13.66,13.315,13.45,19901.0,2024-05-16
284,STHO,13.47,13.57,13.3715,13.48,23119.0,2024-05-17
285,STHO,13.37,13.6,13.16,13.25,19515.0,2024-05-20
286,STHO,12.8768,13.19,12.8768,13.11,15658.0,2024-05-21
287,STHO,13.01,13.18,12.9,12.96,15499.0,2024-05-22
288,STHO,12.9,13.04,12.74,12.74,37711.0,2024-05-23
289,STHO,12.9,12.9,12.69,12.86,11111.0,2024-05-24
290,STHO,12.74,12.88,12.61,12.66,13870.0,2024-05-28
291,STHO,12.41,12.57,12.3,12.38,34466.0,2024-05-29
292,STHO,12.67,12.97,12.37,12.83,60892.0,2024-05-30
