,ticker,open,high,low,close,volume,timestamp
0,TELA,12.86,13.06,12.17,12.95,75733.0,2020-01-02
1,TELA,12.77,12.95,12.14,12.35,37512.0,2020-01-03
2,TELA,12.36,12.67,12.2,12.45,39037.0,2020-01-06
3,TELA,12.5,13.38,12.25,13.19,68412.0,2020-01-07
4,TELA,13.03,14.19,12.71,13.92,153971.0,2020-01-08
5,TELA,13.27,13.8404,12.527,13.02,73017.0,2020-01-09
6,TELA,14.14,14.14,13.0,13.67,95051.0,2020-01-10
7,TELA,13.56,14.25,13.45,14.06,48448.0,2020-01-13
8,TELA,14.01,14.5,13.71,14.38,65056.0,2020-01-14
9,TELA,13.91,15.0,13.91,14.67,99453.0,2020-01-15
10,TELA,14.98,15.5,14.9,15.14,101370.0,2020-01-16
11,TELA,15.34,15.9153,14.65,14.93,61868.0,2020-01-17
12,TELA,14.9,14.9,13.55,14.53,64668.0,2020-01-21
13,TELA,14.6,15.7,13.9585,15.48,39613.0,2020-01-22
14,TELA,15.55,15.9689,14.5901,15.72,14153.0,2020-01-23
15,TELA,15.74,15.94,15.5,15.5,32692.0,2020-01-24
16,TELA,15.47,15.83,15.0803,15.5,17225.0,2020-01-27
17,TELA,15.74,15.75,15.0204,15.19,11927.0,2020-01-28
18,TELA,15.57,15.6,15.02,15.15,20914.0,2020-01-29
19,TELA,14.99,15.42,14.46,14.78,19307.0,2020-01-30
20,TELA,14.9,15.3,14.5,14.9,19106.0,2020-01-31
21,TELA,14.95,15.39,14.48,15.15,34986.0,2020-02-03
22,TELA,15.2,15.6696,15.08,15.44,23340.0,2020-02-04
23,TELA,15.84,15.84,14.97,15.37,66399.0,2020-02-05
24,TELA,15.35,15.7,14.34,15.7,36512.0,2020-02-06
25,TELA,15.4,15.43,15.02,15.25,12134.0,2020-02-07
26,TELA,15.2538,15.49,14.65,15.39,22209.0,2020-02-10
27,TELA,15.0,15.6961,15.0,15.55,25183.0,2020-02-11
28,TELA,15.72,15.95,15.5,15.7,37831.0,2020-02-12
29,TELA,15.6736,15.75,15.29,15.45,18883.0,2020-02-13
30,TELA,15.63,15.85,15.5,15.8,15560.0,2020-02-14
31,TELA,15.8,18.0,15.7131,18.0,151043.0,2020-02-18
32,TELA,17.83,18.08,17.1886,17.95,49015.0,2020-02-19
33,TELA,17.65,17.76,16.8,17.54,13416.0,2020-02-20
34,TELA,17.8,18.49,17.2469,17.62,31083.0,2020-02-21
35,TELA,17.59,18.74,17.3,18.335,22464.0,2020-02-24
36,TELA,18.88,18.88,16.96,17.75,11877.0,2020-02-25
37,TELA,17.58,17.94,16.82,17.44,28287.0,2020-02-26
38,TELA,17.11,17.38,15.46,15.82,30301.0,2020-02-27
39,TELA,15.44,15.5074,13.81,15.49,30591.0,2020-02-28
40,TELA,17.8,17.99,14.345,15.99,51009.0,2020-03-02
41,TELA,16.99,16.99,15.52,15.55,54242.0,2020-03-03
42,TELA,15.57,15.72,14.55,14.55,29678.0,2020-03-04
43,TELA,14.15,15.36,14.0,14.8,11337.0,2020-03-05
44,TELA,14.41,15.48,14.2,14.9,9821.0,2020-03-06
45,TELA,14.01,14.4,11.81,12.01,30097.0,2020-03-09
46,TELA,12.72,13.74,11.15,13.74,57448.0,2020-03-10
47,TELA,12.66,12.66,11.225,11.9,123849.0,2020-03-11
48,TELA,11.0,11.55,9.78,10.89,64008.0,2020-03-12
49,TELA,10.98,11.5,10.31,11.11,56513.0,2020-03-13
50,TELA,10.22,10.22,8.82,9.14,37939.0,2020-03-16
51,TELA,9.48,9.5,8.17,8.75,46741.0,2020-03-17
52,TELA,8.2,8.69,5.27,5.39,68453.0,2020-03-18
53,TELA,5.25,7.83,5.25,6.48,121565.0,2020-03-19
54,TELA,6.66,6.97,6.46,6.57,64289.0,2020-03-20
55,TELA,6.5,7.21,6.02,6.12,83258.0,2020-03-23
56,TELA,7.93,7.93,6.9,7.37,75105.0,2020-03-24
57,TELA,7.6,9.5399,7.57,8.1,106190.0,2020-03-25
58,TELA,8.34,9.4399,7.76,8.0,137100.0,2020-03-26
59,TELA,8.43,8.88,8.0,8.01,145611.0,2020-03-27
60,TELA,7.69,8.37,7.52,8.05,127184.0,2020-03-30
61,TELA,7.91,8.8,7.37,7.82,102491.0,2020-03-31
62,TELA,7.74,8.51,6.51,7.97,61633.0,2020-04-01
63,TELA,7.94,8.39,7.68,7.75,30221.0,2020-04-02
64,TELA,8.27,8.27,7.71,8.0,20669.0,2020-04-03
65,TELA,8.11,8.245,7.78,7.94,40794.0,2020-04-06
66,TELA,8.3,8.47,7.71,8.02,58421.0,2020-04-07
67,TELA,8.15,8.5,8.0,8.48,46141.0,2020-04-08
68,TELA,8.5,8.8,8.16,8.45,72376.0,2020-04-09
69,TELA,8.32,8.32,7.71,7.93,25596.0,2020-04-13
