,ticker,open,high,low,close,volume,timestamp
0,THG,137.26,137.61,135.5788,136.48,174141,2020-01-02
1,THG,135.48,137.21,135.48,136.48,252679,2020-01-03
2,THG,135.92,137.38,135.5,137.13,327078,2020-01-06
3,THG,136.79,137.04,136.08,136.2,137752,2020-01-07
4,THG,136.33,137.76,136.33,136.46,192290,2020-01-08
5,THG,136.82,138.13,136.665,137.95,140200,2020-01-09
6,THG,137.83,138.9,136.69,136.95,161983,2020-01-10
7,THG,137.03,137.305,136.32,136.85,202822,2020-01-13
8,THG,137.07,138.43,136.99,137.8,205104,2020-01-14
9,THG,137.57,139.06,137.3501,138.43,188098,2020-01-15
10,THG,138.83,139.82,136.82,138.86,294849,2020-01-16
11,THG,138.96,139.96,138.27,139.28,191458,2020-01-17
12,THG,138.79,139.68,138.385,138.63,200961,2020-01-21
13,THG,138.82,139.72,138.675,138.89,175626,2020-01-22
14,THG,138.01,139.01,136.06,137.48,406988,2020-01-23
15,THG,137.56,137.96,136.61,136.75,222702,2020-01-24
16,THG,135.92,137.715,135.92,137.02,226600,2020-01-27
17,THG,137.36,139.03,137.31,138.03,170139,2020-01-28
18,THG,138.26,138.49,137.56,137.7,149093,2020-01-29
19,THG,137.11,139.92,137.11,139.82,133477,2020-01-30
20,THG,139.46,140.6,138.25,138.58,326035,2020-01-31
21,THG,139.26,140.57,138.885,139.32,179518,2020-02-03
22,THG,140.05,140.83,139.71,140.54,164188,2020-02-04
23,THG,144.71,144.71,138.715,139.55,320529,2020-02-05
24,THG,139.4,140.24,138.16,138.7,344802,2020-02-06
25,THG,138.49,139.08,138.02,138.58,164241,2020-02-07
26,THG,138.06,139.4,138.06,138.69,157039,2020-02-10
27,THG,138.69,139.2,137.86,137.88,226987,2020-02-11
28,THG,138.01,138.01,136.63,137.24,191328,2020-02-12
29,THG,137.03,138.44,137.03,137.76,170098,2020-02-13
30,THG,137.69,138.29,137.17,137.78,112297,2020-02-14
31,THG,137.49,138.8,137.47,137.63,242953,2020-02-18
32,THG,137.82,138.325,137.05,137.51,228251,2020-02-19
33,THG,137.11,138.04,136.71,137.41,198622,2020-02-20
34,THG,137.23,137.95,136.23,136.7,319434,2020-02-21
35,THG,134.96,136.05,133.82,134.22,280394,2020-02-24
36,THG,134.3,135.99,130.14,130.29,292293,2020-02-25
37,THG,131.18,132.09,130.44,130.44,275647,2020-02-26
38,THG,129.01,129.69,124.95,124.95,234266,2020-02-27
39,THG,123.16,123.46,117.44,118.54,374757,2020-02-28
40,THG,118.75,124.58,118.075,124.46,390515,2020-03-02
41,THG,124.23,125.81,120.36,120.56,292429,2020-03-03
42,THG,122.17,123.75,120.11,123.07,286114,2020-03-04
43,THG,120.31,121.19,117.73,118.95,224358,2020-03-05
44,THG,115.84,118.83,114.64,118.31,259331,2020-03-06
45,THG,111.45,114.29,108.77,110.78,461045,2020-03-09
46,THG,113.86,115.13,109.36,113.63,385371,2020-03-10
47,THG,110.29,111.13,105.42,106.03,380749,2020-03-11
48,THG,85.0,103.47,85.0,94.25,460841,2020-03-12
49,THG,99.77,103.195,93.74,103.03,543900,2020-03-13
50,THG,91.0,97.81,87.04,87.22,454902,2020-03-16
51,THG,88.9,93.64,84.76,92.93,537060,2020-03-17
52,THG,87.34,88.72,75.11,84.05,458964,2020-03-18
53,THG,83.0,89.0,79.5001,86.51,389030,2020-03-19
54,THG,86.4,89.8,83.04,85.04,634284,2020-03-20
55,THG,83.95,84.42,78.74,83.67,364019,2020-03-23
56,THG,87.28,91.49,85.2,90.86,392413,2020-03-24
57,THG,91.2,94.01,86.59,91.92,561955,2020-03-25
58,THG,92.92,94.1,90.99,93.9,301730,2020-03-26
59,THG,89.9,94.25,88.87,91.14,280390,2020-03-27
60,THG,91.41,93.33,85.9,92.68,410578,2020-03-30
61,THG,91.9,92.535,90.27,90.58,362154,2020-03-31
62,THG,86.64,88.9,86.1205,87.9,448744,2020-04-01
63,THG,87.23,90.73,86.43,88.38,302369,2020-04-02
64,THG,87.13,88.35,83.08,84.64,212565,2020-04-03
65,THG,86.8,89.695,86.6,89.29,408595,2020-04-06
66,THG,92.44,95.79,91.44,93.3,449793,2020-04-07
67,THG,94.88,95.62,92.24,95.11,213653,2020-04-08
68,THG,96.55,99.78,95.62,98.58,149106,2020-04-09
69,THG,98.58,100.3,95.935,99.35,369204,2020-04-13
70,THG,102.04,103.34,99.7,101.47,249572,2020-04-14
71,THG,98.46,100.38,95.24,95.4,216957,2020-04-15
72,THG,95.0,95.86,92.58,95.71,272929,2020-04-16
73,THG,99.38,101.215,98.09,100.14,285154,2020-04-17
74,THG,98.24,99.51,96.84,97.55,194313,2020-04-20
75,THG,95.0,99.53,94.91,97.21,396553,2020-04-21
76,THG,99.45,99.45,95.93,96.04,215552,2020-04-22
77,THG,96.16,97.8031,95.12,95.74,148585,2020-04-23
78,THG,96.38,96.38,93.73,95.15,141372,2020-04-24
79,THG,95.0,99.88,94.73,99.18,176790,2020-04-27
80,THG,101.46,102.2,99.74,100.7,261715,2020-04-28
81,THG,105.28,105.305,97.48,104.46,422840,2020-04-29
82,THG,102.41,103.76,99.82,100.38,432993,2020-04-30
83,THG,98.39,99.31,94.84,95.51,325925,2020-05-01
84,THG,94.46,94.46,92.62,94.17,264402,2020-05-04
85,THG,95.0,97.69,94.09,94.09,208507,2020-05-05
86,THG,94.65,94.65,92.08,92.13,219387,2020-05-06
87,THG,93.2,95.63,93.2,94.89,288449,2020-05-07
88,THG,96.68,97.76,95.1,97.61,203995,2020-05-08
89,THG,96.29,97.28,94.23,95.76,322014,2020-05-11
90,THG,95.96,96.39,90.69,90.75,318656,2020-05-12
91,THG,89.87,90.25,85.06,85.25,286134,2020-05-13
92,THG,83.79,86.33,80.785,85.55,358994,2020-05-14
93,THG,84.7,86.48,83.895,86.01,498951,2020-05-15
94,THG,89.78,91.84,89.54,90.96,235932,2020-05-18
95,THG,91.04,91.09,88.77,88.95,223173,2020-05-19
96,THG,90.38,93.72,90.1,93.54,294366,2020-05-20
97,THG,93.43,98.62,93.43,98.14,371609,2020-05-21
98,THG,98.01,98.3,95.57,97.53,203716,2020-05-22
99,THG,101.31,102.14,98.83,99.85,290673,2020-05-26
100,THG,102.67,103.51,100.645,102.94,245372,2020-05-27
101,THG,104.54,104.54,101.86,102.94,236135,2020-05-28
102,THG,101.84,102.45,99.57,100.35,259163,2020-05-29
103,THG,100.69,102.45,99.2,101.88,251970,2020-06-01
104,THG,102.36,104.11,102.29,102.72,172566,2020-06-02
105,THG,104.59,106.48,104.59,105.3,174010,2020-06-03
106,THG,104.26,106.89,103.29,106.83,276954,2020-06-04
107,THG,111.18,111.965,108.64,110.58,199792,2020-06-05
108,THG,112.25,115.13,111.88,115.06,296569,2020-06-08
109,THG,112.67,114.32,111.42,113.09,274431,2020-06-09
110,THG,112.24,112.24,109.63,110.01,336578,2020-06-10
111,THG,105.34,105.935,100.61,100.72,297768,2020-06-11
112,THG,104.69,104.69,98.49,100.8,279579,2020-06-12
113,THG,97.49,101.865,96.87,101.46,312834,2020-06-15
114,THG,105.43,105.45,101.265,101.64,350947,2020-06-16
115,THG,101.67,102.68,100.17,101.24,308851,2020-06-17
116,THG,100.35,102.98,99.5,101.86,320210,2020-06-18
117,THG,102.89,103.5,101.03,102.46,664538,2020-06-19
118,THG,101.85,102.85,100.43,102.5,346238,2020-06-22
119,THG,103.87,104.12,101.05,101.67,327250,2020-06-23
120,THG,100.42,100.77,97.5,98.55,240134,2020-06-24
121,THG,98.01,99.47,97.35,99.26,197222,2020-06-25
122,THG,98.08,99.17,95.28,95.86,378103,2020-06-26
123,THG,97.24,100.85,95.9,100.02,257523,2020-06-29
124,THG,100.11,102.6,99.575,101.33,224188,2020-06-30
125,THG,101.01,101.83,99.06,99.22,248021,2020-07-01
126,THG,101.09,101.53,98.63,98.71,237026,2020-07-02
127,THG,101.04,101.69,98.55,98.94,235475,2020-07-06
128,THG,97.26,98.0,95.44,95.71,238784,2020-07-07
129,THG,95.39,97.455,95.19,96.96,243857,2020-07-08
130,THG,96.73,96.73,93.01,93.36,199373,2020-07-09
131,THG,93.73,96.13,93.2537,95.63,405578,2020-07-10
132,THG,96.67,97.01,94.67,96.62,286242,2020-07-13
133,THG,96.62,98.89,95.95,98.29,239926,2020-07-14
134,THG,100.36,103.26,100.36,101.93,373950,2020-07-15
135,THG,101.44,103.25,100.45,100.87,210653,2020-07-16
