,ticker,open,high,low,close,volume,timestamp
0,TTSH,8.49,8.5999,8.4,8.49,255937.0,2021-06-17
1,TTSH,8.69,8.69,8.3,8.39,376391.0,2021-06-18
2,TTSH,8.39,8.55,8.15,8.46,53381.0,2021-06-21
3,TTSH,8.12,8.62,8.12,8.56,81896.0,2021-06-22
4,TTSH,8.82,8.82,8.3097,8.68,70768.0,2021-06-23
5,TTSH,8.72,8.81,8.44,8.44,54208.0,2021-06-24
6,TTSH,8.49,8.69,8.2,8.2,84314.0,2021-06-25
7,TTSH,8.2,8.4473,8.1,8.22,116998.0,2021-06-28
8,TTSH,8.29,8.29,8.06,8.14,124581.0,2021-06-29
9,TTSH,8.01,8.23,7.9201,8.05,56190.0,2021-06-30
10,TTSH,8.82,8.9,8.06,8.26,448734.0,2021-07-01
11,TTSH,8.21,8.27,7.96,7.9999,121258.0,2021-07-02
12,TTSH,8.04,8.04,7.85,7.98,102835.0,2021-07-06
13,TTSH,7.91,7.91,7.61,7.7,175359.0,2021-07-07
14,TTSH,7.08,7.94,7.08,7.68,134606.0,2021-07-08
15,TTSH,7.68,7.83,7.5,7.73,95614.0,2021-07-09
16,TTSH,7.65,7.83,7.5,7.58,136888.0,2021-07-12
17,TTSH,7.5101,7.7,7.26,7.43,177990.0,2021-07-13
18,TTSH,7.3441,7.66,7.32,7.36,82968.0,2021-07-14
19,TTSH,7.4,7.4,7.04,7.22,191043.0,2021-07-15
20,TTSH,7.18,7.34,7.08,7.16,124673.0,2021-07-16
21,TTSH,7.05,7.25,7.0,7.09,87622.0,2021-07-19
22,TTSH,7.11,7.36,7.08,7.32,49662.0,2021-07-20
23,TTSH,7.39,7.63,7.28,7.46,47758.0,2021-07-21
24,TTSH,7.32,7.54,7.32,7.49,78773.0,2021-07-22
25,TTSH,7.5,7.861,7.47,7.73,74575.0,2021-07-23
26,TTSH,7.7,7.81,7.53,7.59,66684.0,2021-07-26
27,TTSH,7.59,7.67,7.3,7.35,73585.0,2021-07-27
28,TTSH,7.51,7.525,7.17,7.27,131576.0,2021-07-28
29,TTSH,7.23,7.48,7.205,7.46,105184.0,2021-07-29
30,TTSH,7.34,7.46,7.21,7.29,106681.0,2021-07-30
31,TTSH,7.33,7.57,7.22,7.51,102940.0,2021-08-02
32,TTSH,7.51,7.53,7.26,7.44,146681.0,2021-08-03
