,ticker,open,high,low,close,volume,timestamp
0,UBSI,38.9,39.07,38.19,38.7,399576.0,2020-01-02
1,UBSI,38.19,38.3,37.8,38.18,417972.0,2020-01-03
2,UBSI,37.88,38.14,37.49,38.02,360791.0,2020-01-06
3,UBSI,37.82,37.92,37.3,37.35,311444.0,2020-01-07
4,UBSI,37.26,37.73,37.26,37.61,376283.0,2020-01-08
5,UBSI,37.79,37.81,37.4,37.51,283024.0,2020-01-09
6,UBSI,37.51,37.79,37.08,37.21,293944.0,2020-01-10
7,UBSI,37.33,37.61,37.15,37.59,252806.0,2020-01-13
8,UBSI,37.55,37.7,37.25,37.51,447240.0,2020-01-14
9,UBSI,37.37,37.54,37.11,37.39,377494.0,2020-01-15
10,UBSI,37.68,38.13,37.68,38.06,362887.0,2020-01-16
11,UBSI,38.33,38.33,37.735,37.79,379406.0,2020-01-17
12,UBSI,37.61,37.68,37.1,37.12,348638.0,2020-01-21
13,UBSI,37.09,37.29,36.98,37.19,369550.0,2020-01-22
14,UBSI,37.08,37.36,36.71,37.2,387331.0,2020-01-23
15,UBSI,37.13,37.23,36.22,36.55,429101.0,2020-01-24
16,UBSI,36.0,36.39,35.64,35.68,540319.0,2020-01-27
17,UBSI,35.99,36.05,35.52,35.55,495942.0,2020-01-28
18,UBSI,35.6,35.71,34.19,34.31,815692.0,2020-01-29
19,UBSI,34.72,35.35,34.21,35.01,794655.0,2020-01-30
20,UBSI,34.65,35.12,34.14,34.3,2362240.0,2020-01-31
21,UBSI,34.55,34.85,34.25,34.3,653441.0,2020-02-03
22,UBSI,34.91,34.98,34.61,34.72,439549.0,2020-02-04
23,UBSI,35.24,35.56,35.0,35.445,386013.0,2020-02-05
24,UBSI,35.66,35.67,34.89,34.91,540380.0,2020-02-06
25,UBSI,34.73,34.84,34.2435,34.3,300544.0,2020-02-07
26,UBSI,34.1,34.39,33.955,34.38,484012.0,2020-02-10
27,UBSI,34.56,34.86,34.41,34.43,233949.0,2020-02-11
28,UBSI,34.74,34.74,34.29,34.51,301117.0,2020-02-12
29,UBSI,34.37,34.63,34.37,34.54,198010.0,2020-02-13
30,UBSI,34.52,34.52,34.28,34.36,262868.0,2020-02-14
31,UBSI,34.3,34.41,33.67,33.76,194066.0,2020-02-18
32,UBSI,33.89,33.93,33.66,33.72,320647.0,2020-02-19
