,ticker,open,high,low,close,volume,timestamp
0,UFCS,30.33,30.761,30.01,30.44,72729,2022-09-19
1,UFCS,30.23,30.23,29.74,30.1,40417,2022-09-20
2,UFCS,30.26,30.76,30.13,30.13,40720,2022-09-21
3,UFCS,30.12,30.2776,28.93,29.49,45896,2022-09-22
4,UFCS,29.1,29.19,28.65,29.18,51220,2022-09-23
5,UFCS,28.82,29.18,28.1115,28.37,59834,2022-09-26
6,UFCS,28.43,28.88,28.29,28.6,56221,2022-09-27
7,UFCS,28.67,29.37,28.585,29.21,80442,2022-09-28
8,UFCS,29.04,29.18,27.63,28.94,52615,2022-09-29
9,UFCS,28.86,29.8,28.7,28.73,148795,2022-09-30
10,UFCS,29.46,29.46,28.61,28.91,65665,2022-10-03
11,UFCS,29.13,30.18,29.13,30.0,50206,2022-10-04
12,UFCS,29.58,30.23,29.42,29.95,44190,2022-10-05
13,UFCS,29.74,29.85,29.39,29.65,42361,2022-10-06
14,UFCS,29.43,29.562,28.79,29.11,45273,2022-10-07
15,UFCS,29.23,30.2,28.85,29.99,33665,2022-10-10
16,UFCS,30.06,30.96,29.54,30.76,62394,2022-10-11
17,UFCS,30.68,30.8,29.75,29.87,54770,2022-10-12
18,UFCS,29.54,31.97,29.37,31.84,73457,2022-10-13
19,UFCS,31.9,32.41,31.14,31.68,78235,2022-10-14
20,UFCS,31.82,32.0909,30.0,31.56,74546,2022-10-17
21,UFCS,31.61,32.7061,31.61,32.21,57221,2022-10-18
22,UFCS,31.91,32.5,31.72,32.29,57813,2022-10-19
23,UFCS,32.07,32.07,30.975,31.71,89541,2022-10-20
24,UFCS,31.94,32.98,31.68,32.74,51974,2022-10-21
25,UFCS,32.88,33.5568,32.48,33.08,51034,2022-10-24
26,UFCS,33.03,33.62,32.7,33.57,79083,2022-10-25
27,UFCS,33.81,33.97,33.25,33.7,51887,2022-10-26
28,UFCS,32.68,33.32,31.5,31.75,92922,2022-10-27
29,UFCS,30.87,30.99,25.66,26.12,236703,2022-10-28
30,UFCS,26.35,27.36,25.9963,27.1,141431,2022-10-31
31,UFCS,27.0,27.89,26.76,27.27,105399,2022-11-01
32,UFCS,26.91,27.3,26.37,26.71,105379,2022-11-02
33,UFCS,26.16,27.005,25.13,26.09,79623,2022-11-03
34,UFCS,26.17,27.005,26.115,27.0,50068,2022-11-04
35,UFCS,27.21,28.64,26.26,28.21,81880,2022-11-07
36,UFCS,28.48,28.94,27.86,28.27,73225,2022-11-08
37,UFCS,28.27,28.83,27.9173,28.3,62668,2022-11-09
38,UFCS,28.94,30.23,26.06,29.38,100969,2022-11-10
39,UFCS,29.67,32.1636,27.98,28.57,71804,2022-11-11
40,UFCS,28.56,29.07,28.21,28.9,78267,2022-11-14
41,UFCS,29.13,29.74,28.87,29.7,74814,2022-11-15
42,UFCS,29.49,29.97,29.05,29.8,85011,2022-11-16
43,UFCS,29.32,30.79,29.3,30.65,74841,2022-11-17
44,UFCS,31.24,31.58,29.615,29.83,74571,2022-11-18
45,UFCS,29.81,30.49,29.5,30.26,76720,2022-11-21
