,ticker,open,high,low,close,volume,timestamp
0,VLGEA,23.3,23.43,22.95,23.04,56194,2020-01-02
1,VLGEA,22.96,23.3532,22.96,23.05,27885,2020-01-03
2,VLGEA,23.0,23.4255,22.7614,23.02,64644,2020-01-06
3,VLGEA,22.85,23.15,22.85,23.03,34918,2020-01-07
4,VLGEA,23.2,23.39,22.96,23.24,52163,2020-01-08
5,VLGEA,23.5,23.5,22.99,23.04,35310,2020-01-09
6,VLGEA,23.02,23.27,22.76,23.22,71970,2020-01-10
7,VLGEA,23.12,23.23,23.035,23.13,54666,2020-01-13
8,VLGEA,23.17,23.17,23.0,23.13,39591,2020-01-14
9,VLGEA,23.1,23.2,22.76,23.015,92171,2020-01-15
10,VLGEA,23.16,23.16,22.975,23.03,64844,2020-01-16
11,VLGEA,23.04,23.1,22.885,23.0,42632,2020-01-17
12,VLGEA,22.96,22.99,22.62,22.84,66418,2020-01-21
13,VLGEA,22.84,22.84,22.27,22.67,72707,2020-01-22
14,VLGEA,22.67,23.1,22.31,22.83,91390,2020-01-23
15,VLGEA,22.85,22.85,22.375,22.46,53375,2020-01-24
16,VLGEA,22.36,22.85,22.11,22.76,129893,2020-01-27
17,VLGEA,22.89,22.9,22.54,22.76,48011,2020-01-28
18,VLGEA,22.71,22.77,22.33,22.38,53692,2020-01-29
19,VLGEA,22.34,22.69,22.07,22.63,74574,2020-01-30
20,VLGEA,22.58,22.6149,22.14,22.26,50841,2020-01-31
21,VLGEA,22.47,22.61,22.285,22.51,63117,2020-02-03
22,VLGEA,22.58,22.765,22.44,22.73,90923,2020-02-04
23,VLGEA,22.75,23.31,22.74,23.02,54185,2020-02-05
24,VLGEA,23.04,23.06,22.82,22.85,49775,2020-02-06
25,VLGEA,22.75,22.89,22.57,22.78,38590,2020-02-07
26,VLGEA,22.74,22.74,22.1,22.26,57812,2020-02-10
27,VLGEA,22.28,22.35,22.1,22.22,38826,2020-02-11
28,VLGEA,22.27,22.45,22.01,22.36,52572,2020-02-12
29,VLGEA,22.39,22.63,22.27,22.6,49664,2020-02-13
30,VLGEA,22.65,22.68,22.4,22.54,30811,2020-02-14
31,VLGEA,22.59,22.85,22.55,22.6,59952,2020-02-18
32,VLGEA,22.6,22.65,22.5,22.6,51361,2020-02-19
33,VLGEA,22.66,22.86,22.52,22.79,49682,2020-02-20
34,VLGEA,22.7,22.87,22.61,22.66,55575,2020-02-21
35,VLGEA,22.41,22.69,22.315,22.62,40307,2020-02-24
36,VLGEA,22.63,22.63,21.8,21.97,92642,2020-02-25
37,VLGEA,21.99,22.0,21.12,21.26,34182,2020-02-26
38,VLGEA,21.07,21.25,20.62,20.99,61117,2020-02-27
39,VLGEA,20.69,20.89,20.07,20.55,78305,2020-02-28
40,VLGEA,20.7,21.295,20.58,21.17,39466,2020-03-02
41,VLGEA,21.12,21.5703,20.56,20.94,40284,2020-03-03
42,VLGEA,21.16,21.39,20.84,21.35,43796,2020-03-04
43,VLGEA,20.91,21.64,19.95,20.0,86864,2020-03-05
44,VLGEA,19.61,20.135,19.24,20.09,73740,2020-03-06
45,VLGEA,19.24,19.38,18.42,18.52,76004,2020-03-09
46,VLGEA,18.87,19.12,17.84,18.96,88331,2020-03-10
47,VLGEA,18.53,18.53,17.33,17.44,70282,2020-03-11
48,VLGEA,16.56,17.76,16.48,17.1,149861,2020-03-12
49,VLGEA,17.73,18.78,17.445,18.75,95511,2020-03-13
50,VLGEA,18.75,20.0096,18.75,19.71,92933,2020-03-16
51,VLGEA,19.51,23.93,19.51,23.69,150168,2020-03-17
52,VLGEA,23.24,23.92,21.585,22.3,155804,2020-03-18
53,VLGEA,22.61,23.46,21.37,21.57,110725,2020-03-19
54,VLGEA,21.65,21.95,20.08,21.71,122108,2020-03-20
55,VLGEA,21.8,22.7277,20.96,21.92,80252,2020-03-23
56,VLGEA,22.45,23.12,22.14,22.88,73309,2020-03-24
57,VLGEA,22.78,23.59,21.59,21.76,97521,2020-03-25
58,VLGEA,21.88,23.24,21.21,23.0,81457,2020-03-26
59,VLGEA,22.39,23.5,21.925,22.06,61801,2020-03-27
60,VLGEA,22.56,23.46,22.03,23.04,107374,2020-03-30
61,VLGEA,23.0,24.63,23.0,24.58,112475,2020-03-31
62,VLGEA,23.82,24.43,22.91,23.45,63114,2020-04-01
63,VLGEA,23.18,23.99,22.13,22.7,66438,2020-04-02
