,ticker,open,high,low,close,volume,timestamp
0,VLN,7.75,7.92,7.01,7.4,273182.0,2021-09-30
1,VLN,7.18,7.2254,6.17,6.59,262761.0,2021-10-01
2,VLN,6.61,6.9,6.6,6.89,257704.0,2021-10-04
3,VLN,6.72,6.72,6.12,6.15,225330.0,2021-10-05
4,VLN,6.6,6.62,6.13,6.25,524915.0,2021-10-06
5,VLN,6.34,7.06,6.2,6.95,391148.0,2021-10-07
6,VLN,6.92,7.75,6.8,7.32,270576.0,2021-10-08
7,VLN,7.5,7.69,7.3508,7.4,106532.0,2021-10-11
8,VLN,7.55,9.48,7.4,8.76,1373939.0,2021-10-12
9,VLN,8.45,8.9643,7.67,8.62,492605.0,2021-10-13
10,VLN,8.69,8.79,7.82,8.02,228270.0,2021-10-14
11,VLN,7.89,8.3299,7.83,8.01,151228.0,2021-10-15
12,VLN,7.99,8.17,7.26,7.36,275913.0,2021-10-18
13,VLN,7.29,7.45,7.16,7.2,112847.0,2021-10-19
14,VLN,7.2,7.6051,7.2,7.57,286589.0,2021-10-20
15,VLN,7.39,7.69,7.28,7.67,149892.0,2021-10-21
16,VLN,7.87,7.93,7.34,7.55,181181.0,2021-10-22
17,VLN,8.12,8.3,7.75,7.96,281084.0,2021-10-25
18,VLN,8.0,9.9,7.976,9.6,1016704.0,2021-10-26
19,VLN,9.62,9.72,8.57,8.72,345213.0,2021-10-27
20,VLN,9.0,9.49,8.76,9.09,226471.0,2021-10-28
21,VLN,9.22,9.4905,9.0051,9.19,126968.0,2021-10-29
22,VLN,9.2,10.0,9.2,10.0,229058.0,2021-11-01
23,VLN,10.11,10.15,9.21,9.33,188557.0,2021-11-02
24,VLN,9.47,9.76,9.351,9.55,126753.0,2021-11-03
25,VLN,10.0,10.0,9.44,9.6,127518.0,2021-11-04
26,VLN,9.56,10.24,9.56,9.94,126579.0,2021-11-05
27,VLN,10.1,10.98,10.1,10.93,263909.0,2021-11-08
28,VLN,10.97,11.5,10.97,11.25,251167.0,2021-11-09
29,VLN,11.98,12.1899,10.51,10.75,242966.0,2021-11-10
30,VLN,10.95,10.98,9.13,9.23,373406.0,2021-11-11
31,VLN,9.45,10.13,9.45,10.01,193990.0,2021-11-12
32,VLN,10.08,10.25,10.0,10.13,130393.0,2021-11-15
33,VLN,9.89,10.12,9.8127,9.96,85280.0,2021-11-16
34,VLN,9.98,10.09,9.68,9.79,91366.0,2021-11-17
35,VLN,9.8,9.85,9.01,9.23,113506.0,2021-11-18
36,VLN,9.31,9.61,9.1201,9.37,68682.0,2021-11-19
37,VLN,9.45,9.48,8.62,8.7,87577.0,2021-11-22
38,VLN,8.76,9.58,8.76,9.52,57931.0,2021-11-23
39,VLN,9.52,9.56,9.2928,9.45,51270.0,2021-11-24
40,VLN,9.39,9.395,9.15,9.24,25334.0,2021-11-26
41,VLN,9.59,9.59,9.05,9.27,40529.0,2021-11-29
42,VLN,9.21,9.25,8.531,8.56,88008.0,2021-11-30
43,VLN,8.86,9.2913,8.42,8.51,62248.0,2021-12-01
44,VLN,8.39,8.55,8.0,8.11,62029.0,2021-12-02
45,VLN,8.23,8.48,7.6161,8.09,111287.0,2021-12-03
46,VLN,8.07,8.1155,7.66,7.86,49669.0,2021-12-06
47,VLN,7.87,8.64,7.87,8.47,64681.0,2021-12-07
48,VLN,8.47,8.6,8.13,8.19,22135.0,2021-12-08
49,VLN,8.18,8.21,7.71,7.77,47577.0,2021-12-09
50,VLN,7.8,7.83,7.46,7.52,36127.0,2021-12-10
51,VLN,7.52,7.85,7.4201,7.83,54176.0,2021-12-13
52,VLN,7.69,7.79,7.4777,7.5,43765.0,2021-12-14
