,ticker,open,high,low,close,volume,timestamp
0,VRCA,16.12,16.15,15.13,15.26,73381.0,2020-01-02
1,VRCA,15.0,16.98,15.0,15.11,67563.0,2020-01-03
2,VRCA,15.0,15.2959,14.65,14.81,65982.0,2020-01-06
3,VRCA,14.73,15.13,14.52,14.89,30214.0,2020-01-07
4,VRCA,14.85,15.0,14.5,14.55,29405.0,2020-01-08
5,VRCA,14.71,14.71,14.14,14.54,43168.0,2020-01-09
6,VRCA,14.6,15.37,14.5,15.17,65441.0,2020-01-10
7,VRCA,15.17,15.47,14.765,15.33,43268.0,2020-01-13
8,VRCA,15.23,16.21,15.16,15.65,79546.0,2020-01-14
9,VRCA,15.69,16.3978,15.39,15.5,70144.0,2020-01-15
10,VRCA,15.88,15.99,15.6,15.88,42866.0,2020-01-16
11,VRCA,15.97,16.2,15.6,15.91,60560.0,2020-01-17
12,VRCA,16.06,16.06,14.84,15.27,65892.0,2020-01-21
13,VRCA,15.29,15.74,15.29,15.69,90058.0,2020-01-22
14,VRCA,15.6,17.0,15.16,16.86,159341.0,2020-01-23
15,VRCA,17.0,17.6,15.06,15.29,123999.0,2020-01-24
16,VRCA,15.05,15.2,14.3,14.53,132739.0,2020-01-27
17,VRCA,14.69,14.9,14.19,14.64,36877.0,2020-01-28
18,VRCA,14.69,16.1618,14.52,14.83,69923.0,2020-01-29
19,VRCA,14.57,14.95,14.0,14.59,66043.0,2020-01-30
20,VRCA,14.49,14.68,14.2,14.51,85011.0,2020-01-31
21,VRCA,14.64,15.29,14.3,14.87,85300.0,2020-02-03
22,VRCA,15.14,15.69,14.37,15.27,59176.0,2020-02-04
23,VRCA,15.64,15.8,15.16,15.26,55467.0,2020-02-05
24,VRCA,15.48,15.72,15.06,15.25,51273.0,2020-02-06
25,VRCA,15.12,15.12,14.6,14.65,49452.0,2020-02-07
26,VRCA,14.65,14.77,14.12,14.44,44681.0,2020-02-10
27,VRCA,14.52,14.7,14.28,14.61,50330.0,2020-02-11
28,VRCA,14.76,15.34,14.73,14.93,21257.0,2020-02-12
29,VRCA,14.79,15.16,14.655,14.84,16724.0,2020-02-13
30,VRCA,14.82,15.19,14.525,14.9,42859.0,2020-02-14
31,VRCA,14.82,15.2,14.19,14.74,51833.0,2020-02-18
32,VRCA,14.81,15.15,14.5,14.7,64483.0,2020-02-19
33,VRCA,14.57,14.93,14.51,14.64,44972.0,2020-02-20
34,VRCA,14.68,14.7714,14.32,14.5,39934.0,2020-02-21
35,VRCA,14.01,14.1776,13.5,13.91,52198.0,2020-02-24
36,VRCA,14.0,14.02,12.65,12.85,96714.0,2020-02-25
37,VRCA,13.0,14.49,12.74,12.97,55464.0,2020-02-26
38,VRCA,12.86,12.86,11.77,11.81,80374.0,2020-02-27
39,VRCA,11.34,12.215,11.06,11.87,79543.0,2020-02-28
40,VRCA,12.13,12.61,11.78,12.37,57767.0,2020-03-02
41,VRCA,12.4,12.53,11.59,12.01,78048.0,2020-03-03
42,VRCA,12.35,12.75,12.04,12.43,33972.0,2020-03-04
43,VRCA,12.12,12.65,11.75,12.41,53416.0,2020-03-05
44,VRCA,11.84,12.405,11.55,11.96,44671.0,2020-03-06
45,VRCA,11.5,11.5959,10.4,10.46,107508.0,2020-03-09
46,VRCA,10.91,11.04,9.68,10.18,76477.0,2020-03-10
47,VRCA,9.84,10.72,9.01,10.52,70553.0,2020-03-11
48,VRCA,10.246,11.2,6.79,8.12,245822.0,2020-03-12
49,VRCA,8.61,9.14,7.5,9.11,99566.0,2020-03-13
50,VRCA,6.9,8.82,6.9,7.14,83275.0,2020-03-16
51,VRCA,7.31,9.34,7.0,8.75,98115.0,2020-03-17
52,VRCA,8.2,8.75,7.25,7.51,96160.0,2020-03-18
