,ticker,open,high,low,close,volume,timestamp
0,WASH,53.91,53.91,53.215,53.465,49472,2020-01-02
1,WASH,52.94,53.6,52.77,53.17,54429,2020-01-03
2,WASH,52.83,53.23,52.61,53.01,31309,2020-01-06
3,WASH,52.77,52.88,52.15,52.49,27023,2020-01-07
4,WASH,52.51,53.2075,52.51,52.87,45661,2020-01-08
5,WASH,53.02,53.02,52.46,52.6,35271,2020-01-09
6,WASH,52.65,53.4507,52.12,52.24,40135,2020-01-10
7,WASH,52.2,52.36,48.92,52.3,37529,2020-01-13
8,WASH,52.14,52.43,52.01,52.09,36973,2020-01-14
9,WASH,51.84,51.98,51.48,51.73,23277,2020-01-15
10,WASH,51.98,52.3,51.49,52.25,53888,2020-01-16
11,WASH,52.5,52.5,51.7301,52.18,30312,2020-01-17
12,WASH,51.83,51.85,51.29,51.35,21489,2020-01-21
13,WASH,51.38,51.51,51.03,51.28,28646,2020-01-22
14,WASH,51.01,51.84,50.8756,51.77,48443,2020-01-23
15,WASH,51.82,51.82,50.78,51.2,22426,2020-01-24
16,WASH,50.57,51.2,50.57,51.1,33537,2020-01-27
17,WASH,49.0,50.1109,46.5527,47.32,93656,2020-01-28
18,WASH,47.13,47.84,47.01,47.12,57156,2020-01-29
19,WASH,46.97,48.65,46.97,48.53,46534,2020-01-30
20,WASH,48.21,48.51,47.14,47.33,52833,2020-01-31
21,WASH,47.4,48.57,47.4,48.23,32430,2020-02-03
22,WASH,48.83,48.95,47.93,48.58,27349,2020-02-04
23,WASH,48.86,49.17,48.66,49.0,68052,2020-02-05
24,WASH,49.26,49.39,48.83,48.91,25419,2020-02-06
25,WASH,48.54,49.01,48.4166,48.86,40894,2020-02-07
26,WASH,48.8,49.0,48.5536,49.0,25124,2020-02-10
27,WASH,49.05,49.33,49.0152,49.08,40573,2020-02-11
28,WASH,49.37,49.37,49.07,49.2,29084,2020-02-12
29,WASH,48.99,49.225,48.91,49.18,38282,2020-02-13
30,WASH,49.2,49.29,48.785,48.94,32181,2020-02-14
31,WASH,48.75,48.78,47.67,48.41,23906,2020-02-18
32,WASH,48.52,48.9,48.32,48.55,19796,2020-02-19
33,WASH,48.33,49.0,48.28,48.96,22144,2020-02-20
34,WASH,48.91,48.91,48.08,48.6,23199,2020-02-21
35,WASH,47.75,48.07,47.445,47.81,38477,2020-02-24
36,WASH,47.71,47.71,46.3,46.38,32131,2020-02-25
37,WASH,46.55,46.94,46.09,46.16,28596,2020-02-26
38,WASH,45.7,46.8,45.2291,45.25,60674,2020-02-27
39,WASH,44.5,44.5,41.34,42.92,82564,2020-02-28
40,WASH,42.7,44.23,42.4506,44.15,55798,2020-03-02
41,WASH,43.77,44.806,42.87,43.15,30296,2020-03-03
42,WASH,43.23,43.51,42.2743,43.12,31991,2020-03-04
43,WASH,42.15,42.79,40.57,41.51,43798,2020-03-05
44,WASH,40.25,41.41,39.5444,40.89,47105,2020-03-06
45,WASH,38.52,39.815,35.38,36.22,79932,2020-03-09
46,WASH,37.12,38.6999,35.01,37.68,62076,2020-03-10
47,WASH,36.8,36.93,35.11,35.75,72880,2020-03-11
48,WASH,35.58,36.27,33.26,33.58,126341,2020-03-12
49,WASH,35.28,38.07,34.67,38.07,103025,2020-03-13
50,WASH,34.54,36.912,34.19,34.22,85789,2020-03-16
51,WASH,34.72,39.52,34.1,39.39,110013,2020-03-17
52,WASH,36.74,38.68,35.56,35.56,99335,2020-03-18
53,WASH,34.48,37.6,34.48,36.92,81554,2020-03-19
54,WASH,36.66,36.84,31.81,31.93,125678,2020-03-20
55,WASH,31.82,31.82,25.86,30.65,158586,2020-03-23
56,WASH,32.27,34.17,30.02,34.17,85471,2020-03-24
57,WASH,34.35,34.52,32.26,32.93,71924,2020-03-25
58,WASH,33.25,36.37,33.22,36.21,89674,2020-03-26
59,WASH,34.45,37.0887,33.62,35.28,64612,2020-03-27
60,WASH,35.55,37.1343,34.4537,36.99,68066,2020-03-30
61,WASH,36.33,37.6,35.17,36.56,93465,2020-03-31
62,WASH,35.1,36.23,33.82,34.34,64629,2020-04-01
63,WASH,33.81,35.5,33.0,35.2,61744,2020-04-02
64,WASH,34.72,35.5441,32.02,32.74,65592,2020-04-03
65,WASH,34.08,34.559,32.44,34.18,71183,2020-04-06
66,WASH,35.62,36.09,32.79,34.19,125851,2020-04-07
67,WASH,34.62,36.07,34.02,35.8,69333,2020-04-08
68,WASH,36.73,38.8598,35.055,38.82,83827,2020-04-09
69,WASH,38.48,38.485,35.52,35.91,85643,2020-04-13
70,WASH,37.2,38.37,34.9,35.87,67850,2020-04-14
71,WASH,34.38,34.8317,33.32,33.66,49171,2020-04-15
72,WASH,33.41,34.04,31.38,32.1,120006,2020-04-16
73,WASH,32.75,34.025,32.75,33.3,127237,2020-04-17
74,WASH,32.4,32.95,31.06,32.4,124989,2020-04-20
75,WASH,31.26,32.5,31.05,32.4,91712,2020-04-21
76,WASH,32.58,32.61,31.6004,31.92,83910,2020-04-22
77,WASH,31.87,32.89,31.87,32.23,93830,2020-04-23
78,WASH,32.21,32.8,32.13,32.75,81434,2020-04-24
79,WASH,33.0,34.59,32.99,33.74,199639,2020-04-27
80,WASH,36.52,36.52,34.815,35.25,172968,2020-04-28
81,WASH,36.39,36.86,35.56,36.58,225959,2020-04-29
82,WASH,35.96,35.96,34.18,35.01,97877,2020-04-30
83,WASH,33.91,34.36,32.67,33.67,100249,2020-05-01
84,WASH,32.9,33.71,32.55,33.54,78736,2020-05-04
85,WASH,34.19,34.42,32.0,32.12,77487,2020-05-05
86,WASH,32.21,32.72,31.17,31.5,73188,2020-05-06
87,WASH,32.28,32.53,31.37,31.59,98542,2020-05-07
88,WASH,32.29,32.93,31.47,32.62,92478,2020-05-08
89,WASH,32.11,32.29,31.01,31.31,73265,2020-05-11
90,WASH,31.32,31.53,29.25,29.42,89754,2020-05-12
91,WASH,29.04,29.04,27.2,28.42,110521,2020-05-13
92,WASH,27.74,28.48,26.92,28.34,117058,2020-05-14
93,WASH,27.9,28.25,27.8,27.99,135435,2020-05-15
94,WASH,29.04,29.88,28.83,29.71,236660,2020-05-18
95,WASH,29.5,30.07,28.56,28.67,93266,2020-05-19
96,WASH,29.09,30.46,29.09,30.1,144563,2020-05-20
97,WASH,29.91,30.4,29.84,29.86,67654,2020-05-21
98,WASH,29.9,30.0,29.555,29.96,62048,2020-05-22
99,WASH,31.58,32.0,30.65,31.79,152911,2020-05-26
100,WASH,32.73,34.19,32.37,33.69,144542,2020-05-27
101,WASH,34.2,34.2,32.77,32.95,115682,2020-05-28
102,WASH,32.46,32.46,31.67,31.97,96359,2020-05-29
103,WASH,32.04,32.5,31.51,31.66,98099,2020-06-01
104,WASH,31.74,32.48,31.55,31.98,80081,2020-06-02
105,WASH,32.63,33.75,32.63,33.08,103709,2020-06-03
106,WASH,32.75,33.63,32.5845,33.4,95123,2020-06-04
107,WASH,35.93,35.93,34.46,35.3,135505,2020-06-05
108,WASH,36.37,36.37,35.195,35.95,85353,2020-06-08
109,WASH,35.33,35.94,35.1178,35.48,111789,2020-06-09
110,WASH,35.34,35.57,33.77,33.78,71721,2020-06-10
111,WASH,31.85,32.2,30.64,30.93,127746,2020-06-11
112,WASH,31.67,32.0,30.75,31.69,83046,2020-06-12
113,WASH,30.67,31.77,30.495,31.52,179024,2020-06-15
114,WASH,32.78,33.95,32.37,33.43,145136,2020-06-16
115,WASH,33.36,33.36,31.51,32.25,118375,2020-06-17
116,WASH,31.8,32.7,31.8,32.52,107067,2020-06-18
117,WASH,32.88,33.1217,31.89,32.45,162140,2020-06-19
118,WASH,32.1,32.75,31.95,32.62,130448,2020-06-22
119,WASH,33.02,33.25,32.62,32.87,130968,2020-06-23
120,WASH,32.46,32.5,31.96,32.09,145391,2020-06-24
121,WASH,31.81,32.75,31.81,32.72,148365,2020-06-25
122,WASH,32.32,32.32,30.9,31.6,736773,2020-06-26
123,WASH,31.94,32.75,31.82,32.5,110949,2020-06-29
124,WASH,32.13,33.0,32.12,32.75,143115,2020-06-30
125,WASH,32.88,33.07,31.64,31.83,103682,2020-07-01
126,WASH,32.41,32.9,31.55,31.66,68041,2020-07-02
127,WASH,32.46,32.75,31.24,31.56,65971,2020-07-06
