,ticker,open,high,low,close,volume,timestamp
0,WMPN,11.7,11.7,11.25,11.41,2068869.0,2021-03-25
1,WMPN,11.45,11.5152,11.4,11.44,575473.0,2021-03-26
2,WMPN,11.4,11.481,11.4,11.47,467515.0,2021-03-29
3,WMPN,11.47,11.48,11.36,11.36,386635.0,2021-03-30
4,WMPN,11.38,11.43,11.3,11.37,422343.0,2021-03-31
5,WMPN,11.38,11.42,11.36,11.36,108537.0,2021-04-01
6,WMPN,11.4,11.43,11.36,11.37,143650.0,2021-04-05
7,WMPN,11.36,11.44,11.36,11.39,145873.0,2021-04-06
8,WMPN,11.4,11.4,11.36,11.38,128997.0,2021-04-07
9,WMPN,11.38,11.4,11.35,11.38,156657.0,2021-04-08
10,WMPN,11.38,11.4,11.36,11.4,138538.0,2021-04-09
11,WMPN,11.4,11.42,11.38,11.39,286560.0,2021-04-12
12,WMPN,11.39,11.4,11.38,11.4,37867.0,2021-04-13
13,WMPN,11.4,11.4,11.38,11.38,88600.0,2021-04-14
14,WMPN,11.38,11.4,11.38,11.39,83561.0,2021-04-15
15,WMPN,11.4,11.4,11.38,11.38,65596.0,2021-04-16
16,WMPN,11.4,11.4,11.38,11.38,65928.0,2021-04-19
17,WMPN,11.38,11.4,11.37,11.39,93546.0,2021-04-20
18,WMPN,11.39,11.39,11.38,11.39,62925.0,2021-04-21
19,WMPN,11.39,11.39,11.35,11.35,135313.0,2021-04-22
20,WMPN,11.38,11.39,11.35,11.39,165211.0,2021-04-23
21,WMPN,11.38,11.43,11.37,11.43,190039.0,2021-04-26
22,WMPN,11.4,11.51,11.39,11.51,123271.0,2021-04-27
23,WMPN,11.5,11.51,11.45,11.5,144342.0,2021-04-28
24,WMPN,11.5,11.51,11.4632,11.5,62631.0,2021-04-29
25,WMPN,11.48,11.6,11.47,11.58,105841.0,2021-04-30
26,WMPN,11.58,11.651,11.52,11.6174,159307.0,2021-05-03
27,WMPN,11.64,11.65,11.6001,11.65,60793.0,2021-05-04
28,WMPN,11.65,11.67,11.63,11.67,75056.0,2021-05-05
29,WMPN,11.67,11.67,11.6,11.62,72035.0,2021-05-06
30,WMPN,11.62,11.6502,11.55,11.61,74768.0,2021-05-07
