,ticker,open,high,low,close,volume,timestamp
0,WORX,45.75,45.75,42.6,43.815,324.8667,2020-01-02
1,WORX,43.7415,45.0,41.85,43.5,1691.4667,2020-01-03
2,WORX,43.5,44.1,42.0,43.8,290.1333,2020-01-06
3,WORX,45.6,48.6,44.175,46.5015,6408.0667,2020-01-07
4,WORX,42.75,48.0,42.75,44.25,1000.4,2020-01-08
5,WORX,45.0795,46.389,45.0,45.45,148.4667,2020-01-09
6,WORX,45.75,48.0,44.9175,47.1,2251.8667,2020-01-10
7,WORX,47.25,47.85,43.971,44.25,2563.8667,2020-01-13
8,WORX,44.55,46.9125,43.8,43.8,1036.6667,2020-01-14
9,WORX,43.65,45.9,43.65,43.95,220.0,2020-01-15
10,WORX,44.25,44.7,43.65,44.7,1102.4,2020-01-16
11,WORX,44.55,44.55,43.8,43.8,140.1333,2020-01-17
12,WORX,43.65,45.45,42.9,45.45,634.6,2020-01-21
13,WORX,43.95,44.85,43.35,43.8,348.6667,2020-01-22
14,WORX,43.65,43.65,42.9,43.2,110.6,2020-01-23
15,WORX,42.9,43.188,38.25,40.95,1488.5333,2020-01-24
16,WORX,40.2,40.35,35.3025,35.4,1044.2667,2020-01-27
17,WORX,37.65,41.1,34.3545,40.2,2796.0,2020-01-28
18,WORX,40.05,41.25,38.1,38.25,2156.5333,2020-01-29
19,WORX,38.4855,38.4855,36.15,36.15,579.9333,2020-01-30
20,WORX,36.1605,40.557,36.15,36.45,779.4667,2020-01-31
21,WORX,35.25,36.9,33.0,33.15,278.1333,2020-02-03
22,WORX,36.3,36.3,33.15,33.3,636.6667,2020-02-04
23,WORX,33.75,35.982,30.3,30.3,2030.4667,2020-02-05
24,WORX,31.95,35.7,31.05,31.5,1571.3333,2020-02-06
25,WORX,32.25,32.25,30.0,30.0,1313.4,2020-02-07
26,WORX,30.0,34.731,30.0,31.5,2855.8,2020-02-10
27,WORX,33.3,37.83,31.5,36.15,5994.4667,2020-02-11
28,WORX,37.8,41.4,36.75,36.9,4034.4,2020-02-12
29,WORX,40.35,50.85,31.2,32.25,122964.0667,2020-02-13
30,WORX,31.8,39.6795,31.8,34.65,5287.6667,2020-02-14
31,WORX,37.5,38.85,34.65,36.6,5952.3333,2020-02-18
32,WORX,35.25,39.0,34.8,37.65,2156.7333,2020-02-19
33,WORX,37.8,38.1,37.5,37.8,871.0667,2020-02-20
34,WORX,36.6,38.8485,36.6,38.1,1602.1333,2020-02-21
35,WORX,35.55,37.8,35.55,37.2,610.2,2020-02-24
36,WORX,36.4815,37.35,35.1,37.2,1099.2,2020-02-25
37,WORX,34.2,37.302,34.2,35.85,1310.8667,2020-02-26
38,WORX,33.75,35.7,33.75,35.25,2349.8667,2020-02-27
39,WORX,35.01,38.4,32.4,37.65,3891.1333,2020-02-28
40,WORX,34.65,35.25,33.0,34.05,2018.7333,2020-03-02
41,WORX,33.0015,36.5715,32.325,32.325,987.1333,2020-03-03
42,WORX,33.45,38.1,32.7,38.1,3230.4667,2020-03-04
43,WORX,36.75,36.75,34.2,35.55,1744.3333,2020-03-05
44,WORX,33.429,35.25,32.85,32.85,1219.7333,2020-03-06
45,WORX,32.1,32.1,31.6005,31.65,770.6667,2020-03-09
46,WORX,31.35,36.0,31.35,34.65,4624.7333,2020-03-10
47,WORX,33.3,35.1,33.3,34.425,1435.6667,2020-03-11
48,WORX,31.9635,36.3,31.8,36.3,2458.0,2020-03-12
49,WORX,34.5,34.5,32.25,32.7,1336.0667,2020-03-13
50,WORX,31.65,34.5,23.25,23.25,2111.6,2020-03-16
51,WORX,27.0,33.648,23.25,23.4,2809.2,2020-03-17
52,WORX,24.15,25.9425,24.0,24.0,1859.2,2020-03-18
53,WORX,23.4,26.775,23.4,26.775,787.4,2020-03-19
54,WORX,29.55,43.5,28.725,36.0,17561.6,2020-03-20
55,WORX,36.0,36.0,31.5,35.25,1664.6667,2020-03-23
56,WORX,34.65,34.65,30.45,31.95,974.9333,2020-03-24
57,WORX,30.9,33.582,30.9,31.65,548.8,2020-03-25
58,WORX,31.05,35.25,31.05,34.05,1030.4,2020-03-26
59,WORX,43.5,54.3,27.3,31.95,114060.3333,2020-03-27
60,WORX,33.45,42.0,30.15,34.05,37532.6,2020-03-30
61,WORX,34.5,36.3225,33.15,33.75,5891.7333,2020-03-31
62,WORX,33.45,37.5,32.25,35.25,3915.0,2020-04-01
63,WORX,34.2,35.1,30.75,31.35,2921.4,2020-04-02
64,WORX,31.95,32.85,30.45,32.25,2921.4667,2020-04-03
65,WORX,31.65,32.25,30.0,31.95,4187.4,2020-04-06
66,WORX,31.479,34.875,30.9,32.4,2397.1333,2020-04-07
67,WORX,31.4415,37.113,31.4415,35.55,7651.7333,2020-04-08
68,WORX,35.6505,35.6505,33.3,33.75,1423.4667,2020-04-09
