,ticker,open,high,low,close,volume,timestamp
0,WRLD,87.56,90.07,87.0,89.83,145638,2020-01-02
1,WRLD,88.48,89.13,87.555,87.9,82212,2020-01-03
2,WRLD,87.27,87.52,85.66,87.3,79246,2020-01-06
3,WRLD,86.74,87.25,84.8,86.86,67982,2020-01-07
4,WRLD,86.79,87.7,86.06,87.04,54330,2020-01-08
5,WRLD,87.55,88.22,86.74,87.12,43443,2020-01-09
6,WRLD,86.77,87.77,85.23,86.21,45883,2020-01-10
7,WRLD,86.48,87.56,85.84,87.32,51354,2020-01-13
8,WRLD,87.32,89.26,86.64,88.8,53651,2020-01-14
9,WRLD,88.45,89.88,88.21,89.77,81636,2020-01-15
10,WRLD,90.56,91.98,89.49,91.81,54093,2020-01-16
11,WRLD,92.35,92.35,90.8,91.57,47017,2020-01-17
12,WRLD,91.0,91.5375,90.065,91.07,127926,2020-01-21
13,WRLD,91.63,92.24,91.03,91.28,44366,2020-01-22
14,WRLD,91.21,92.03,90.11,91.57,75771,2020-01-23
15,WRLD,92.05,93.04,89.115,89.92,93191,2020-01-24
16,WRLD,88.11,89.04,86.295,88.06,49291,2020-01-27
17,WRLD,88.79,89.0,87.27,88.08,62962,2020-01-28
18,WRLD,88.49,89.13,87.3425,88.25,61720,2020-01-29
19,WRLD,79.37,85.85,71.08,84.67,317982,2020-01-30
20,WRLD,85.22,86.84,83.3,86.47,125167,2020-01-31
21,WRLD,86.55,87.68,79.23,81.36,308886,2020-02-03
22,WRLD,81.78,82.38,78.12,79.55,199365,2020-02-04
23,WRLD,80.35,83.36,79.96,81.36,104884,2020-02-05
24,WRLD,81.87,81.99,80.79,81.71,37083,2020-02-06
25,WRLD,81.28,81.38,78.13,78.51,62398,2020-02-07
26,WRLD,78.67,79.25,77.48,78.71,68658,2020-02-10
27,WRLD,78.99,80.6,78.77,79.99,78772,2020-02-11
28,WRLD,80.12,82.36,79.36,81.44,74834,2020-02-12
29,WRLD,81.25,82.44,80.33,82.09,33674,2020-02-13
30,WRLD,81.89,82.35,80.8,81.88,53142,2020-02-14
31,WRLD,81.47,84.3406,80.9,81.99,32986,2020-02-18
32,WRLD,82.27,86.02,82.27,84.1,40678,2020-02-19
33,WRLD,83.55,84.89,81.42,83.69,38007,2020-02-20
34,WRLD,83.39,85.095,82.7,84.6,40177,2020-02-21
35,WRLD,81.53,84.4,81.06,84.07,63919,2020-02-24
36,WRLD,83.91,83.91,80.15,80.5,84880,2020-02-25
37,WRLD,80.87,81.45,79.79,80.37,66667,2020-02-26
38,WRLD,78.87,83.35,77.815,81.44,63715,2020-02-27
39,WRLD,79.03,81.71,77.28,78.1,76006,2020-02-28
40,WRLD,78.2,79.615,75.2,78.44,52622,2020-03-02
41,WRLD,78.36,78.82,74.27,75.16,63431,2020-03-03
42,WRLD,76.0,79.95,74.91,79.27,42409,2020-03-04
43,WRLD,77.84,77.84,75.13,76.56,72785,2020-03-05
44,WRLD,74.55,76.32,73.41,73.99,82896,2020-03-06
45,WRLD,69.68,69.68,66.05,67.71,101374,2020-03-09
46,WRLD,69.96,71.205,67.91,70.54,72373,2020-03-10
47,WRLD,69.03,69.38,61.97,64.22,127795,2020-03-11
48,WRLD,60.12,60.12,55.455,58.0,86730,2020-03-12
49,WRLD,61.68,70.82,52.42,62.61,182516,2020-03-13
50,WRLD,56.52,59.2,55.76,57.89,134320,2020-03-16
51,WRLD,59.09,65.62,56.91,64.52,96028,2020-03-17
52,WRLD,60.28,61.935,55.04,56.18,97347,2020-03-18
53,WRLD,55.36,65.02,54.265,55.62,107909,2020-03-19
54,WRLD,55.81,58.53,52.48,55.4,137703,2020-03-20
55,WRLD,55.72,55.72,50.7,54.1,134168,2020-03-23
56,WRLD,57.2,61.77,56.9501,58.63,90092,2020-03-24
57,WRLD,59.14,61.2,57.38,58.15,117180,2020-03-25
58,WRLD,58.13,61.42,55.71,58.0,72285,2020-03-26
59,WRLD,55.94,58.33,51.29,55.58,116351,2020-03-27
60,WRLD,55.66,58.02,52.92,57.5,72503,2020-03-30
61,WRLD,57.23,57.245,54.29,54.61,136760,2020-03-31
62,WRLD,53.65,54.39,48.96,50.01,116945,2020-04-01
63,WRLD,49.34,52.8,46.82,48.04,100402,2020-04-02
64,WRLD,47.73,47.89,43.16,44.35,99627,2020-04-03
65,WRLD,46.16,50.64,45.46,50.29,115318,2020-04-06
66,WRLD,51.19,55.085,51.19,53.32,101626,2020-04-07
67,WRLD,54.05,59.46,53.41,59.03,170998,2020-04-08
68,WRLD,61.17,68.7,60.87,61.73,146520,2020-04-09
69,WRLD,61.1,62.81,57.88,60.04,105054,2020-04-13
70,WRLD,61.22,61.22,56.5,59.26,102509,2020-04-14
71,WRLD,56.8,58.345,54.33,56.02,154350,2020-04-15
72,WRLD,56.12,58.0,54.412,56.26,85666,2020-04-16
73,WRLD,58.64,59.02,57.56,58.11,72694,2020-04-17
74,WRLD,56.9,58.6129,55.62,56.22,44038,2020-04-20
75,WRLD,54.44,55.23,53.04,53.25,50398,2020-04-21
76,WRLD,54.04,54.57,52.34,53.63,50196,2020-04-22
77,WRLD,54.27,56.19,53.63,55.34,53856,2020-04-23
78,WRLD,55.71,57.41,54.48,57.01,71643,2020-04-24
79,WRLD,57.45,61.17,57.45,60.35,52506,2020-04-27
80,WRLD,62.13,69.15,62.13,66.98,165398,2020-04-28
81,WRLD,68.92,76.21,67.96,75.37,155605,2020-04-29
82,WRLD,72.97,72.97,67.02,67.85,130637,2020-04-30
83,WRLD,65.14,67.08,58.005,59.02,118574,2020-05-01
84,WRLD,59.0,62.83,57.44,60.08,98379,2020-05-04
85,WRLD,61.8,61.86,57.78,58.4,43837,2020-05-05
86,WRLD,57.3,59.14,53.318,58.95,181537,2020-05-06
87,WRLD,63.19,63.77,59.76,60.43,102923,2020-05-07
88,WRLD,61.02,63.55,61.0,62.76,70573,2020-05-08
