,ticker,open,high,low,close,volume,timestamp
0,ZJYL,0.4,0.5145,0.3775,0.3975,6409700.0,2023-03-28
1,ZJYL,0.39,0.3967,0.37,0.3967,1646900.0,2023-03-29
2,ZJYL,0.3925,0.3991,0.3722,0.3825,194280.0,2023-03-30
3,ZJYL,0.371,0.387,0.369,0.3725,379620.0,2023-03-31
4,ZJYL,0.373,0.3885,0.369,0.375,1644640.0,2023-04-03
5,ZJYL,0.3707,0.3975,0.3105,0.3645,1446560.0,2023-04-04
6,ZJYL,0.3585,0.374,0.3413,0.374,875780.0,2023-04-05
7,ZJYL,0.363,0.383,0.35,0.3675,790300.0,2023-04-06
8,ZJYL,0.375,0.375,0.3458,0.3665,438420.0,2023-04-10
9,ZJYL,0.3585,0.374,0.343,0.369,2882440.0,2023-04-11
10,ZJYL,0.352,0.3655,0.3385,0.35,709900.0,2023-04-12
11,ZJYL,0.35,0.35,0.35,0.35,4920.0,2023-04-13
12,ZJYL,0.3386,0.3495,0.3386,0.3495,35300.0,2023-04-14
13,ZJYL,0.357,0.3875,0.357,0.3875,1035920.0,2023-04-17
14,ZJYL,0.3875,0.39,0.35,0.38,386660.0,2023-04-18
15,ZJYL,0.3655,0.385,0.352,0.372,81160.0,2023-04-19
16,ZJYL,0.3325,0.4095,0.3325,0.38,283840.0,2023-04-20
17,ZJYL,0.378,0.378,0.3655,0.366,20440.0,2023-04-21
18,ZJYL,0.3815,0.3815,0.369,0.374,26660.0,2023-04-24
19,ZJYL,0.3595,0.3825,0.3585,0.371,39760.0,2023-04-25
20,ZJYL,0.365,0.3795,0.355,0.369,365020.0,2023-04-26
21,ZJYL,0.3575,0.3615,0.3345,0.3575,123360.0,2023-04-27
22,ZJYL,0.355,0.384,0.3525,0.3815,88700.0,2023-04-28
23,ZJYL,0.4,0.4875,0.38,0.48,8934540.0,2023-05-01
24,ZJYL,0.4705,0.471,0.27,0.294,4053960.0,2023-05-02
25,ZJYL,0.2705,0.2975,0.2575,0.275,887660.0,2023-05-03
26,ZJYL,0.255,0.289,0.2525,0.28,549360.0,2023-05-04
27,ZJYL,0.28,0.3175,0.265,0.285,1402840.0,2023-05-05
28,ZJYL,0.295,0.295,0.253,0.28,1271060.0,2023-05-08
29,ZJYL,0.2675,0.2913,0.2625,0.2849,836580.0,2023-05-09
30,ZJYL,0.284,0.2875,0.2725,0.2795,560260.0,2023-05-10
31,ZJYL,0.281,0.31,0.277,0.277,1065180.0,2023-05-11
32,ZJYL,0.2775,0.2848,0.2675,0.2784,286180.0,2023-05-12
33,ZJYL,0.2705,0.2895,0.26,0.279,618620.0,2023-05-15
34,ZJYL,0.2775,0.284,0.265,0.279,190460.0,2023-05-16
35,ZJYL,0.27,0.2805,0.2641,0.2779,118680.0,2023-05-17
36,ZJYL,0.264,0.28,0.263,0.27,308760.0,2023-05-18
37,ZJYL,0.275,0.275,0.242,0.27,281240.0,2023-05-19
38,ZJYL,0.265,0.2695,0.2505,0.2685,302560.0,2023-05-22
39,ZJYL,0.2595,0.2725,0.255,0.2725,191780.0,2023-05-23
40,ZJYL,0.2715,0.352,0.27,0.2985,1545860.0,2023-05-24
41,ZJYL,0.27,0.2925,0.2675,0.275,362760.0,2023-05-25
42,ZJYL,0.28,0.2967,0.2655,0.285,488500.0,2023-05-26
43,ZJYL,0.294,0.3235,0.281,0.2838,252340.0,2023-05-30
44,ZJYL,0.3045,0.3181,0.2735,0.2861,363460.0,2023-05-31
45,ZJYL,0.2975,0.325,0.2975,0.3225,325720.0,2023-06-01
46,ZJYL,0.3025,0.3275,0.3001,0.3275,240460.0,2023-06-02
47,ZJYL,0.3275,0.337,0.307,0.336,115180.0,2023-06-05
48,ZJYL,0.336,0.3998,0.3275,0.3825,737180.0,2023-06-06
49,ZJYL,0.364,0.4485,0.3599,0.401,1907340.0,2023-06-07
